head,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
h2_hit_3_4h,daily,1,0.5,17296,1822,86,53,10.53422756706753,61.627906976744185,5.850254001480611
h2_hit_3_4h,daily,1,1.0,17296,1822,172,91,10.53422756706753,52.90697674418605,5.02238786919562
h2_hit_3_4h,daily,1,2.0,17296,1822,345,162,10.53422756706753,46.95652173913044,4.457519209659714
h2_hit_3_4h,daily,2,0.5,19527,3781,97,50,19.362933374302248,51.546391752577314,2.66211687847812
h2_hit_3_4h,daily,2,1.0,19527,3781,195,102,19.362933374302248,52.307692307692314,2.701434296991028
h2_hit_3_4h,daily,2,2.0,19527,3781,390,202,19.362933374302248,51.7948717948718,2.674949647020528
h2_hit_3_4h,daily,3,0.5,20200,3365,101,58,16.65841584158416,57.42574257425742,3.4472511144130755
h2_hit_3_4h,daily,3,1.0,20200,3365,202,99,16.65841584158416,49.00990099009901,2.942050520059435
h2_hit_3_4h,daily,3,2.0,20200,3365,404,184,16.65841584158416,45.54455445544555,2.734026745913819
h2_hit_3_4h,daily+4h,1,0.5,17296,1822,86,48,10.53422756706753,55.81395348837209,5.29834324662395
h2_hit_3_4h,daily+4h,1,1.0,17296,1822,172,90,10.53422756706753,52.32558139534884,4.967196793709953
h2_hit_3_4h,daily+4h,1,2.0,17296,1822,345,166,10.53422756706753,48.11594202898551,4.567581412367362
h2_hit_3_4h,daily+4h,2,0.5,19527,3781,97,57,19.362933374302248,58.76288659793815,3.034813241465057
h2_hit_3_4h,daily+4h,2,1.0,19527,3781,195,113,19.362933374302248,57.948717948717956,2.992765446666531
h2_hit_3_4h,daily+4h,2,2.0,19527,3781,390,210,19.362933374302248,53.84615384615385,2.7808882469025287
h2_hit_3_4h,daily+4h,3,0.5,20200,3365,101,68,16.65841584158416,67.32673267326733,4.041604754829123
h2_hit_3_4h,daily+4h,3,1.0,20200,3365,202,124,16.65841584158416,61.386138613861384,3.6849925705794946
h2_hit_3_4h,daily+4h,3,2.0,20200,3365,404,222,16.65841584158416,54.95049504950495,3.298662704309064
h2_hit_3_4h,daily+1h,1,0.5,17296,1822,86,49,10.53422756706753,56.97674418604651,5.4087253975952825
h2_hit_3_4h,daily+1h,1,1.0,17296,1822,172,98,10.53422756706753,56.97674418604651,5.4087253975952825
h2_hit_3_4h,daily+1h,1,2.0,17296,1822,345,169,10.53422756706753,48.98550724637681,4.650128064398097
h2_hit_3_4h,daily+1h,2,0.5,19527,3781,97,62,19.362933374302248,63.91752577319587,3.301024929312869
h2_hit_3_4h,daily+1h,2,1.0,19527,3781,195,118,19.362933374302248,60.51282051282051,3.125188696519032
h2_hit_3_4h,daily+1h,2,2.0,19527,3781,390,227,19.362933374302248,58.20512820512821,3.0060077716517815
h2_hit_3_4h,daily+1h,3,0.5,20200,3365,101,66,16.65841584158416,65.34653465346535,3.9227340267459136
h2_hit_3_4h,daily+1h,3,1.0,20200,3365,202,116,16.65841584158416,57.42574257425742,3.4472511144130755
h2_hit_3_4h,daily+1h,3,2.0,20200,3365,404,206,16.65841584158416,50.99009900990099,3.0609212481426447
h2_hit_3_4h,daily+15m,1,0.5,17296,1822,86,50,10.53422756706753,58.139534883720934,5.519107548566615
h2_hit_3_4h,daily+15m,1,1.0,17296,1822,172,95,10.53422756706753,55.23255813953488,5.243152171138283
h2_hit_3_4h,daily+15m,1,2.0,17296,1822,345,172,10.53422756706753,49.85507246376812,4.732674716428833
h2_hit_3_4h,daily+15m,2,0.5,19527,3781,97,54,19.362933374302248,55.670103092783506,2.87508622875637
h2_hit_3_4h,daily+15m,2,1.0,19527,3781,195,105,19.362933374302248,53.84615384615385,2.7808882469025287
h2_hit_3_4h,daily+15m,2,2.0,19527,3781,390,215,19.362933374302248,55.12820512820513,2.8470998718287794
h2_hit_3_4h,daily+15m,3,0.5,20200,3365,101,71,16.65841584158416,70.29702970297029,4.219910846953937
h2_hit_3_4h,daily+15m,3,1.0,20200,3365,202,129,16.65841584158416,63.86138613861386,3.8335809806835064
h2_hit_3_4h,daily+15m,3,2.0,20200,3365,404,234,16.65841584158416,57.920792079207914,3.476968796433878
h2_hit_3_4h,daily+1h+15m,1,0.5,17296,1822,86,48,10.53422756706753,55.81395348837209,5.29834324662395
h2_hit_3_4h,daily+1h+15m,1,1.0,17296,1822,172,93,10.53422756706753,54.06976744186046,5.1327700201669515
h2_hit_3_4h,daily+1h+15m,1,2.0,17296,1822,345,185,10.53422756706753,53.62318840579711,5.090376875228687
h2_hit_3_4h,daily+1h+15m,2,0.5,19527,3781,97,55,19.362933374302248,56.70103092783505,2.9283285663259324
h2_hit_3_4h,daily+1h+15m,2,1.0,19527,3781,195,116,19.362933374302248,59.48717948717949,3.072219396578032
h2_hit_3_4h,daily+1h+15m,2,2.0,19527,3781,390,213,19.362933374302248,54.61538461538461,2.820615221858279
h2_hit_3_4h,daily+1h+15m,3,0.5,20200,3365,101,62,16.65841584158416,61.386138613861384,3.6849925705794946
h2_hit_3_4h,daily+1h+15m,3,1.0,20200,3365,202,123,16.65841584158416,60.89108910891089,3.6552748885586923
h2_hit_3_4h,daily+1h+15m,3,2.0,20200,3365,404,231,16.65841584158416,57.17821782178218,3.432392273402674
h2_hit_3_4h,daily+all,1,0.5,17296,1822,86,45,10.53422756706753,52.32558139534884,4.967196793709953
h2_hit_3_4h,daily+all,1,1.0,17296,1822,172,93,10.53422756706753,54.06976744186046,5.1327700201669515
h2_hit_3_4h,daily+all,1,2.0,17296,1822,345,187,10.53422756706753,54.20289855072464,5.1454079765825105
h2_hit_3_4h,daily+all,2,0.5,19527,3781,97,55,19.362933374302248,56.70103092783505,2.9283285663259324
h2_hit_3_4h,daily+all,2,1.0,19527,3781,195,114,19.362933374302248,58.46153846153847,3.0192500966370313
h2_hit_3_4h,daily+all,2,2.0,19527,3781,390,209,19.362933374302248,53.58974358974359,2.7676459219172784
h2_hit_3_4h,daily+all,3,0.5,20200,3365,101,68,16.65841584158416,67.32673267326733,4.041604754829123
h2_hit_3_4h,daily+all,3,1.0,20200,3365,202,126,16.65841584158416,62.37623762376238,3.744427934621099
h2_hit_3_4h,daily+all,3,2.0,20200,3365,404,229,16.65841584158416,56.683168316831676,3.4026745913818717
h5_tail_20,daily,1,0.5,17296,196,86,10,1.133209990749306,11.627906976744185,10.261034646416707
h5_tail_20,daily,1,1.0,17296,196,172,12,1.133209990749306,6.976744186046512,6.156620787850024
h5_tail_20,daily,1,2.0,17296,196,345,22,1.133209990749306,6.3768115942028984,5.627210884353741
h5_tail_20,daily,2,0.5,19527,522,97,7,2.6732216930404054,7.216494845360824,2.6995497096812415
h5_tail_20,daily,2,1.0,19527,522,195,11,2.6732216930404054,5.641025641025641,2.1101974653698794
h5_tail_20,daily,2,2.0,19527,522,390,22,2.6732216930404054,5.641025641025641,2.1101974653698794
h5_tail_20,daily,3,0.5,20200,429,101,12,2.123762376237624,11.881188118811881,5.594405594405594
h5_tail_20,daily,3,1.0,20200,429,202,16,2.123762376237624,7.920792079207921,3.7296037296037294
h5_tail_20,daily,3,2.0,20200,429,404,26,2.123762376237624,6.435643564356436,3.0303030303030303
h5_tail_20,daily+4h,1,0.5,17296,196,86,10,1.133209990749306,11.627906976744185,10.261034646416707
h5_tail_20,daily+4h,1,1.0,17296,196,172,14,1.133209990749306,8.13953488372093,7.182724252491695
h5_tail_20,daily+4h,1,2.0,17296,196,345,23,1.133209990749306,6.666666666666667,5.882993197278911
h5_tail_20,daily+4h,2,0.5,19527,522,97,3,2.6732216930404054,3.0927835051546393,1.156949875577675
h5_tail_20,daily+4h,2,1.0,19527,522,195,8,2.6732216930404054,4.102564102564102,1.5346890657235486
h5_tail_20,daily+4h,2,2.0,19527,522,390,24,2.6732216930404054,6.153846153846154,2.302033598585323
h5_tail_20,daily+4h,3,0.5,20200,429,101,12,2.123762376237624,11.881188118811881,5.594405594405594
h5_tail_20,daily+4h,3,1.0,20200,429,202,20,2.123762376237624,9.900990099009901,4.662004662004662
h5_tail_20,daily+4h,3,2.0,20200,429,404,31,2.123762376237624,7.673267326732673,3.6130536130536126
h5_tail_20,daily+1h,1,0.5,17296,196,86,8,1.133209990749306,9.30232558139535,8.208827717133365
h5_tail_20,daily+1h,1,1.0,17296,196,172,14,1.133209990749306,8.13953488372093,7.182724252491695
h5_tail_20,daily+1h,1,2.0,17296,196,345,20,1.133209990749306,5.797101449275362,5.115646258503402
h5_tail_20,daily+1h,2,0.5,19527,522,97,8,2.6732216930404054,8.24742268041237,3.0851996682071334
h5_tail_20,daily+1h,2,1.0,19527,522,195,14,2.6732216930404054,7.179487179487179,2.68570586501621
h5_tail_20,daily+1h,2,2.0,19527,522,390,26,2.6732216930404054,6.666666666666667,2.4938697318007663
h5_tail_20,daily+1h,3,0.5,20200,429,101,12,2.123762376237624,11.881188118811881,5.594405594405594
h5_tail_20,daily+1h,3,1.0,20200,429,202,21,2.123762376237624,10.396039603960396,4.895104895104894
h5_tail_20,daily+1h,3,2.0,20200,429,404,35,2.123762376237624,8.663366336633663,4.079254079254079
h5_tail_20,daily+15m,1,0.5,17296,196,86,8,1.133209990749306,9.30232558139535,8.208827717133365
h5_tail_20,daily+15m,1,1.0,17296,196,172,16,1.133209990749306,9.30232558139535,8.208827717133365
h5_tail_20,daily+15m,1,2.0,17296,196,345,20,1.133209990749306,5.797101449275362,5.115646258503402
h5_tail_20,daily+15m,2,0.5,19527,522,97,6,2.6732216930404054,6.185567010309279,2.31389975115535
h5_tail_20,daily+15m,2,1.0,19527,522,195,14,2.6732216930404054,7.179487179487179,2.68570586501621
h5_tail_20,daily+15m,2,2.0,19527,522,390,26,2.6732216930404054,6.666666666666667,2.4938697318007663
h5_tail_20,daily+15m,3,0.5,20200,429,101,16,2.123762376237624,15.841584158415841,7.459207459207459
h5_tail_20,daily+15m,3,1.0,20200,429,202,21,2.123762376237624,10.396039603960396,4.895104895104894
h5_tail_20,daily+15m,3,2.0,20200,429,404,35,2.123762376237624,8.663366336633663,4.079254079254079
h5_tail_20,daily+1h+15m,1,0.5,17296,196,86,11,1.133209990749306,12.790697674418606,11.287138111058377
h5_tail_20,daily+1h+15m,1,1.0,17296,196,172,17,1.133209990749306,9.883720930232558,8.7218794494542
h5_tail_20,daily+1h+15m,1,2.0,17296,196,345,28,1.133209990749306,8.115942028985506,7.161904761904761
