rule,n_fire,hit,base,lift,recall,n_pos_total,fold,n_val,bn_coverage_val
baseline_roc7,2896,0.04765193370165746,0.013628620102214651,3.4964606353591163,0.5390625,256,1,18784,0.7161946337308348
base_AND_bn_up,1302,0.06451612903225806,0.013628620102214651,4.733870967741935,0.328125,256,1,18784,0.7161946337308348
base_AND_bn_volsurge,973,0.07297019527235354,0.013628620102214651,5.354188078108941,0.27734375,256,1,18784,0.7161946337308348
base_AND_catchup,998,0.04809619238476954,0.013628620102214651,3.529058116232465,0.1875,256,1,18784,0.7161946337308348
bn_only_surge+mom,705,0.07659574468085106,0.013628620102214651,5.620212765957446,0.2109375,256,1,18784,0.7161946337308348
baseline_roc7,3106,0.025112685125563427,0.010767160161507403,2.332340631036703,0.3611111111111111,216,2,20061,0.7158666068491102
base_AND_bn_up,1448,0.0324585635359116,0.010767160161507403,3.01458908839779,0.2175925925925926,216,2,20061,0.7158666068491102
base_AND_bn_volsurge,815,0.05521472392638037,0.010767160161507403,5.1280674846625764,0.20833333333333334,216,2,20061,0.7158666068491102
base_AND_catchup,1276,0.023510971786833857,0.010767160161507403,2.1835815047021945,0.1388888888888889,216,2,20061,0.7158666068491102
bn_only_surge+mom,545,0.062385321100917435,0.010767160161507403,5.794036697247707,0.1574074074074074,216,2,20061,0.7158666068491102
baseline_roc7,3258,0.04511970534069982,0.019429097605893186,2.322274881516588,0.34834123222748814,422,3,21720,0.7052025782688766
base_AND_bn_up,1355,0.05092250922509225,0.019429097605893186,2.6209405222014306,0.16350710900473933,422,3,21720,0.7052025782688766
base_AND_bn_volsurge,904,0.06305309734513274,0.019429097605893186,3.245292119280292,0.13507109004739337,422,3,21720,0.7052025782688766
base_AND_catchup,1079,0.04355885078776645,0.019429097605893186,2.241938955237648,0.11137440758293839,422,3,21720,0.7052025782688766
bn_only_surge+mom,891,0.07407407407407407,0.019429097605893186,3.812532912058978,0.15639810426540285,422,3,21720,0.7052025782688766
baseline_roc7,3258,0.04941682013505218,0.019244935543278083,2.5677830940988837,0.38516746411483255,418,4,21720,0.7337937384898711
base_AND_bn_up,1356,0.049410029498525077,0.019244935543278083,2.5674302409281453,0.16028708133971292,418,4,21720,0.7337937384898711
base_AND_bn_volsurge,882,0.07142857142857142,0.019244935543278083,3.7115516062884484,0.1507177033492823,418,4,21720,0.7337937384898711
base_AND_catchup,1266,0.04186413902053712,0.019244935543278083,2.175332773985805,0.12679425837320574,418,4,21720,0.7337937384898711
bn_only_surge+mom,720,0.06805555555555555,0.019244935543278083,3.5362838915470496,0.11722488038277512,418,4,21720,0.7337937384898711
baseline_roc7,3259,0.041423749616446764,0.018876611418047883,2.1944483943151796,0.32926829268292684,410,5,21720,0.7866942909760589
base_AND_bn_up,1462,0.04719562243502052,0.018876611418047883,2.50021687631377,0.16829268292682928,410,5,21720,0.7866942909760589
base_AND_bn_volsurge,995,0.06934673366834171,0.018876611418047883,3.673685500674102,0.16829268292682928,410,5,21720,0.7866942909760589
base_AND_catchup,1237,0.03556992724333064,0.018876611418047883,1.8843385846954672,0.1073170731707317,410,5,21720,0.7866942909760589
bn_only_surge+mom,771,0.0933852140077821,0.018876611418047883,4.94713865426592,0.17560975609756097,410,5,21720,0.7866942909760589
