krw_market,binance_market,mappable,binance_db_has,n_rows,n_rows_with_binance,coverage
KRW-0G,BINANCE-0GUSDT,True,True,299,299,1.0
KRW-1INCH,BINANCE-1INCHUSDT,True,True,1270,1177,0.926771653543307
KRW-2Z,BINANCE-2ZUSDT,True,True,289,289,1.0
KRW-A,BINANCE-AUSDT,True,True,1270,422,0.33228346456692914
KRW-AAVE,BINANCE-AAVEUSDT,True,True,1270,1177,0.926771653543307
KRW-ADA,BINANCE-ADAUSDT,True,True,1270,1177,0.926771653543307
KRW-AERGO,BINANCE-AERGOUSDT,True,False,1270,0,0.0
KRW-AERO,BINANCE-AEROUSDT,True,False,330,0,0.0
KRW-AGLD,BINANCE-AGLDUSDT,True,True,612,612,1.0
KRW-AHT,BINANCE-AHTUSDT,True,False,1270,0,0.0
KRW-AKT,BINANCE-AKTUSDT,True,False,816,0,0.0
KRW-ALGO,BINANCE-ALGOUSDT,True,True,1270,1177,0.926771653543307
KRW-ALT,BINANCE-ALTUSDT,True,True,397,397,1.0
KRW-ANIME,BINANCE-ANIMEUSDT,True,True,540,540,1.0
KRW-ANKR,BINANCE-ANKRUSDT,True,True,1270,1177,0.926771653543307
KRW-API3,BINANCE-API3USDT,True,True,333,333,1.0
KRW-APT,BINANCE-APTUSDT,True,True,1270,1177,0.926771653543307
KRW-AQT,BINANCE-AQTUSDT,True,False,1270,0,0.0
KRW-ARB,BINANCE-ARBUSDT,True,True,1206,1177,0.9759535655058044
KRW-ARDR,BINANCE-ARDRUSDT,True,True,1270,1163,0.915748031496063
KRW-ARK,BINANCE-ARKUSDT,True,True,1270,1036,0.815748031496063
KRW-ARKM,BINANCE-ARKMUSDT,True,True,494,494,1.0
KRW-ARX,BINANCE-ARXUSDT,True,False,25,0,0.0
KRW-ASTR,BINANCE-ASTRUSDT,True,True,943,943,1.0
KRW-ATH,BINANCE-ATHUSDT,True,False,703,0,0.0
KRW-ATOM,BINANCE-ATOMUSDT,True,True,1270,1177,0.926771653543307
KRW-AUCTION,BINANCE-AUCTIONUSDT,True,True,780,780,1.0
KRW-AVAX,BINANCE-AVAXUSDT,True,True,1270,1177,0.926771653543307
KRW-AVNT,BINANCE-AVNTUSDT,True,True,306,306,1.0
KRW-AWE,BINANCE-AWEUSDT,True,True,1270,429,0.33779527559055117
KRW-AXL,BINANCE-AXLUSDT,True,True,403,403,1.0
KRW-AXS,BINANCE-AXSUSDT,True,True,1270,1177,0.926771653543307
KRW-AZTEC,BINANCE-AZTECUSDT,True,False,148,0,0.0
KRW-B3,BINANCE-B3USDT,True,False,72,0,0.0
KRW-BABY,BINANCE-BABYUSDT,True,True,43,43,1.0
KRW-BARD,BINANCE-BARDUSDT,True,True,303,303,1.0
KRW-BAT,BINANCE-BATUSDT,True,True,1270,1177,0.926771653543307
KRW-BCH,BINANCE-BCHUSDT,True,True,1270,1177,0.926771653543307
KRW-BEAM,BINANCE-BEAMUSDT,True,False,778,0,0.0
KRW-BERA,BINANCE-BERAUSDT,True,True,527,527,1.0
KRW-BIGTIME,BINANCE-BIGTIMEUSDT,True,True,681,469,0.6886930983847284
KRW-BIO,BINANCE-BIOUSDT,True,True,271,271,1.0
KRW-BIRB,BINANCE-BIRBUSDT,True,False,165,0,0.0
KRW-BLAST,BINANCE-BLASTUSDT,True,False,752,0,0.0
KRW-BLEND,BINANCE-BLENDUSDT,True,False,80,0,0.0
KRW-BLUR,BINANCE-BLURUSDT,True,True,1117,973,0.8710832587287377
KRW-BONK,BINANCE-BONKUSDT,True,True,605,605,1.0
KRW-BORA,BINANCE-BORAUSDT,True,False,1270,0,0.0
KRW-BOUNTY,BINANCE-BOUNTYUSDT,True,False,1270,0,0.0
KRW-BREV,BINANCE-BREVUSDT,True,True,192,192,1.0
KRW-BSV,BINANCE-BSVUSDT,True,False,1270,0,0.0
KRW-BTC,BINANCE-BTCUSDT,True,True,1270,1177,0.926771653543307
KRW-BTT,BINANCE-BTTUSDT,True,False,1270,0,0.0
KRW-CARV,BINANCE-CARVUSDT,True,False,641,0,0.0
KRW-CBK,BINANCE-CBKUSDT,True,False,1270,0,0.0
KRW-CC,BINANCE-CCUSDT,True,False,94,0,0.0
KRW-CELO,BINANCE-CELOUSDT,True,True,1270,1177,0.926771653543307
KRW-CFG,BINANCE-CFGUSDT,True,True,142,130,0.9154929577464789
KRW-CHIP,BINANCE-CHIPUSDT,True,True,88,88,1.0
KRW-CHZ,BINANCE-CHZUSDT,True,True,1270,1177,0.926771653543307
KRW-CKB,BINANCE-CKBUSDT,True,True,673,673,1.0
KRW-COMP,BINANCE-COMPUSDT,True,True,473,473,1.0
KRW-COW,BINANCE-COWUSDT,True,True,508,508,1.0
KRW-CPOOL,BINANCE-CPOOLUSDT,True,False,269,0,0.0
KRW-CRO,BINANCE-CROUSDT,True,False,1270,0,0.0
KRW-CTC,BINANCE-CTCUSDT,True,False,949,0,0.0
KRW-CVC,BINANCE-CVCUSDT,True,True,1270,1169,0.9204724409448819
