tok,D,ret_1d,ret_3d,ret_5d,ret_7d,ret_14d,ho_1d,co_1d,vol_7d,vol_21d,range_contraction,qv_ratio_1_5,qv_ratio_5_20,qv_ratio_1_20,qv_up_streak,close_vs_high20,drawdown_5d,uni_rank,btc_ret_1d,btc_ret_7d
ID,2026-05-29,-0.04379562043795626,-0.14750542299349245,-0.1708860759493671,-0.1227678571428571,-0.20445344129554655,0.0048661800486617945,-0.04379562043795626,0.03840099261070331,0.03566115490137736,1.097349397703131,1.4343937153767552,0.8547131604323281,1.2259951857739357,3.0,0.7304832713754511,-0.14935064935066789,141.0,-0.009895115427799417,-0.05812832692190795
GMT,2026-05-23,-0.03205128205128205,0.006666666666666599,-0.03821656050955413,-0.12716763005780352,-0.13714285714285712,0.03205128205128216,-0.03205128205128205,0.03537896938797348,0.03773090994239973,0.9411147039166484,0.9336632434701546,0.7999093488471609,0.7468459571267396,1.0,0.7475247524752106,-0.04430379746841495,170.0,-0.015708715775579862,-0.03761249787739851
VTHO,2026-05-30,0.012820512820512775,-0.0378890392422192,-0.06692913385826782,-0.07301173402868322,-0.12760736196319022,0.014184397163120588,0.008510638297872353,0.01845486513899791,0.020863427471273358,0.8457549334157843,0.5687518983142504,0.21951624925340069,0.12485028347369581,0.0,0.7277379733871774,-0.058278145696611605,232.0,0.002996358272253641,-0.04022937803264226
META,2026-05-22,-0.007092198581560294,-0.05405405405405406,-0.07284768211920523,-0.05405405405405406,-0.014084507042253502,0.0,-0.007092198581560294,0.06279466735675537,0.036617762271348525,1.9564205713726586,0.10891440974672849,1.9787580606680086,0.21551526620923733,1.0,0.76086956521735,-0.146341463414686,28.0,0.0018268971456907313,-0.03912455777317936
ERA,2026-05-25,-0.02051282051282055,-0.025510204081632626,0.026881720430107503,0.03243243243243232,-0.1357466063348416,0.00512820512820511,-0.02051282051282055,0.027498063979461244,0.028467365717074714,0.810679566831315,0.5239193130417924,0.3461574975027711,0.18135859829591777,1.0,0.7732793522267175,-0.025510204081637622,204.0,0.004457251303658927,-0.0009784058046304889
PROVE,2026-05-21,0.033132530120481896,-0.005797101449275366,-0.072972972972973,-0.10909090909090913,-0.10209424083769636,0.1227544910179641,0.026946107784431073,0.028256322280028046,0.025343573518332423,1.2558380632127923,4.649877845919608,1.6929939320711966,7.872214978014183,2.0,0.7921478060046171,-0.04456824512535096,88.0,0.004158185773064371,-0.024649142158942428
ALT,2026-05-22,-0.00917431192660545,0.0821643286573146,0.05882352941176494,-0.018181818181818077,-0.09999999999999998,0.09999999999999987,-0.018181818181818077,0.04763436314480681,0.03156530545408966,1.4515514667524727,3.377526071556656,1.6991797650260334,5.739023956636941,2.0,0.8571428571427891,-0.009174311926696377,102.0,0.0018268971456907313,-0.03912455777317936
PRL,2026-05-27,-0.07751937984496127,-0.17361111111111116,-0.1877133105802048,-0.20134228187919467,-0.37368421052631584,0.007751937984496138,-0.07751937984496127,0.03443845174035403,0.043319975566638406,0.8241528096068541,1.2938143387019942,0.5198382472361526,0.6725741780798465,2.0,0.5288888888888876,-0.17361111111111405,103.0,-0.021463822231506335,-0.017890681645453488
XLM,2026-05-28,0.10550458715596323,0.09049773755656099,0.12093023255813962,0.13145539906103276,0.016877637130801704,0.1461187214611872,0.10045662100456632,0.04025001599364792,0.03086521992250506,1.1942090107898673,3.145341676421321,1.1977664141583426,3.7673846210699558,3.0,0.9450980392156826,-4.107825191113079e-15,17.0,-0.025581498776962475,-0.046977355174903646
WLD,2026-05-26,0.12072892938496582,0.21182266009852224,0.3369565217391304,0.3666666666666667,0.19999999999999996,0.1477272727272727,0.11818181818181817,0.05357483070789708,0.04656150427996804,1.383136709783265,0.8009767506934412,2.3155755445715416,1.8547221756761092,1.0,0.9742574257425722,-2.1094237467877974e-15,14.0,-0.004246799733058304,0.004924427961654265
