policy,param,gate,cand_per_day,n,n_days,pct_sl,deep_loss_freq_noSL,net_mean,net_median,hit,precision_pump20,deep_loss_freq,cvar95,worst,mdd,cum,sharpe,sortino,pct_tp,pct_eod
R1_champion,full_top100_rr,none,,1531,765,0.4559111691704768,0.13455258001306336,-0.002843470284278759,-0.01408992805755399,0.3912475506205095,0.036577400391900716,0.0,-0.031499999999999986,-0.0315,-0.8716060817391548,-0.8640067909209826,-2.5025486594843245,-4.488529747246515,0.2194644023514043,0.3246244284781189
C2_dipbuy,rsi<=40.0;ret7<=-0.08;sort=rr,oversold,13.79,994,380,0.5362173038229376,0.15492957746478872,-0.004087837064835448,-0.0315,0.3682092555331992,0.025150905432595575,0.0,-0.0315,-0.0315,-0.8436301879363196,-0.7451178482049587,-3.14589338136519,-6.538040607120089,0.2454728370221328,0.21830985915492956
C2_dipbuy,rsi<=40.0;ret7<=-0.08;sort=bounce,oversold,13.79,994,380,0.5492957746478874,0.158953722334004,-0.003912822021321232,-0.0315,0.3672032193158954,0.028169014084507043,0.0,-0.0315,-0.0315,-0.8364957587644599,-0.7298194338140349,-3.0122626494530094,-6.126294990492302,0.2595573440643863,0.19114688128772636
C2_dipbuy,rsi<=40.0;ret7<=-0.12;sort=rr,oversold,9.62,839,343,0.5470798569725864,0.16448152562574495,-0.003524493366134189,-0.0315,0.3742550655542312,0.027413587604290822,0.0,-0.03150000000000001,-0.0315,-0.7339329276185446,-0.6671042800096812,-2.6081621094043252,-5.633498323845809,0.26102502979737785,0.19189511323003575
C2_dipbuy,rsi<=40.0;ret7<=-0.12;sort=bounce,oversold,9.62,839,343,0.5566150178784267,0.16090584028605484,-0.003656079572958059,-0.0315,0.3742550655542312,0.027413587604290822,0.0,-0.03150000000000001,-0.0315,-0.7560874613732755,-0.6808070100631773,-2.646815620865063,-5.898161877445277,0.26460071513706795,0.17878426698450536
C2_dipbuy,rsi<=40.0;ret7<=-0.18;sort=rr,oversold,5.16,571,268,0.5884413309982487,0.20140105078809106,-0.004923961153647314,-0.0315,0.3502626970227671,0.0297723292469352,0.0,-0.03149999999999999,-0.0315,-0.7758338874660249,-0.736472945999858,-3.372835729915534,-8.005737629565001,0.2609457092819615,0.15061295971978983
C2_dipbuy,rsi<=40.0;ret7<=-0.18;sort=bounce,oversold,5.16,571,268,0.5954465849387041,0.1978984238178634,-0.004949763680223633,-0.0315,0.34851138353765326,0.028021015761821366,0.0,-0.03149999999999999,-0.0315,-0.7716285826927273,-0.7386986720314161,-3.334521332540689,-8.328107262533642,0.26444833625218916,0.14010507880910683
C2_dipbuy,rsi<=35.0;ret7<=-0.08;sort=rr,oversold,11.59,938,368,0.5277185501066098,0.16417910447761194,-0.0032629100821481983,-0.0315,0.3742004264392324,0.02771855010660981,0.0,-0.031500000000000014,-0.0315,-0.8088067390728002,-0.6979363803211506,-2.429977321984728,-5.323122382702281,0.255863539445629,0.21641791044776118
C2_dipbuy,rsi<=35.0;ret7<=-0.08;sort=bounce,oversold,11.59,938,368,0.535181236673774,0.1631130063965885,-0.0030424942447288225,-0.0315,0.373134328358209,0.029850746268656716,0.0,-0.031500000000000014,-0.0315,-0.8233583625913615,-0.6772895464049824,-2.2384285386818625,-4.9075771843684555,0.26865671641791045,0.19616204690831557
C2_dipbuy,rsi<=35.0;ret7<=-0.12;sort=rr,oversold,8.43,786,329,0.5458015267175572,0.17302798982188294,-0.003061648940830475,-0.0315,0.3791348600508906,0.029262086513994912,0.0,-0.0315,-0.0315,-0.7332154547158688,-0.6228104982664597,-2.1859938075377485,-4.8806077760213595,0.26717557251908397,0.18702290076335878
C2_dipbuy,rsi<=35.0;ret7<=-0.12;sort=bounce,oversold,8.43,786,329,0.5597964376590331,0.1717557251908397,-0.00337958638026394,-0.0315,0.3753180661577608,0.027989821882951654,0.0,-0.0315,-0.0315,-0.7611313995539121,-0.6548266716575376,-2.362481333372024,-5.543076475736091,0.27099236641221375,0.1692111959287532
C2_dipbuy,rsi<=35.0;ret7<=-0.18;sort=rr,oversold,4.77,521,253,0.5796545105566219,0.19769673704414586,-0.0039387222485357835,-0.0315,0.36084452975047987,0.028790786948176585,0.0,-0.0315,-0.0315,-0.7180829097675312,-0.6211300877213803,-2.600665085929006,-6.493939881890403,0.2763915547024952,0.14395393474088292
C2_dipbuy,rsi<=35.0;ret7<=-0.18;sort=bounce,oversold,4.77,521,253,0.5796545105566219,0.19769673704414586,-0.003314803430459882,-0.0315,0.3666026871401152,0.026871401151631478,0.0,-0.0315,-0.0315,-0.6828006623073728,-0.578975343356986,-2.156022731679154,-5.707772485109864,0.28790786948176583,0.1324376199616123
C2_dipbuy,rsi<=30.0;ret7<=-0.08;sort=rr,oversold,9.01,869,349,0.5132336018411968,0.1611047180667434,-0.00251776330536348,-0.0315,0.3866513233601841,0.02761795166858458,0.0,-0.03150000000000001,-0.0315,-0.7854955599542155,-0.5975328770301095,-1.8239441880140914,-3.9902922578381474,0.26237054085155354,0.2243958573072497
C2_dipbuy,rsi<=30.0;ret7<=-0.08;sort=bounce,oversold,9.01,869,349,0.520138089758343,0.1611047180667434,-0.0025267388044707124,-0.0315,0.39010356731875717,0.028768699654775604,0.0,-0.03150000000000001,-0.0315,-0.8016647720252786,-0.5984091647408376,-1.8342473831687993,-4.014735643020407,0.26582278481012656,0.2140391254315305
C2_dipbuy,rsi<=30.0;ret7<=-0.12;sort=rr,oversold,6.8,713,316,0.541374474053296,0.1697054698457223,-0.0028308915498325062,-0.0315,0.38429172510518933,0.030855539971949508,0.0,-0.03150000000000001,-0.0315,-0.7534108134997308,-0.5784744032359252,-1.9438803608118251,-4.459179936134248,0.26928471248246844,0.18934081346423562
C2_dipbuy,rsi<=30.0;ret7<=-0.12;sort=bounce,oversold,6.8,713,316,0.5497896213183731,0.17251051893408134,-0.0030814189864061684,-0.0315,0.3814866760168303,0.03225806451612903,0.0,-0.03150000000000001,-0.0315,-0.7919947629853198,-0.6034778702870222,-2.104407460858881,-5.017668155280184,0.26928471248246844,0.18092566619915848
C2_dipbuy,rsi<=30.0;ret7<=-0.18;sort=rr,oversold,4.22,470,234,0.5851063829787234,0.20638297872340425,-0.004570623345020908,-0.0315,0.3574468085106383,0.029787234042553193,0.0,-0.0315,-0.0315,-0.7110656715046821,-0.5763828371416523,-2.9378580859965813,-7.745413601490743,0.26382978723404255,0.15106382978723404
C2_dipbuy,rsi<=30.0;ret7<=-0.18;sort=bounce,oversold,4.22,470,234,0.5936170212765958,0.21063829787234042,-0.0045505456872453635,-0.0315,0.35319148936170214,0.027659574468085105,0.0,-0.0315,-0.0315,-0.7102281011835578,-0.5752898861511392,-2.917530659566864,-8.019202389650754,0.2702127659574468,0.13617021276595745
