tag,n,net_mean,sharpe,noSL_deep,corr_with_R1,overlap_days
C2_rsi30_ret7-8_rr,869,-0.00251776330536348,-1.8239441880140914,0.1611047180667434,0.33609842730248257,349
C2_rsi30_ret7-8_bounce,869,-0.0025267388044707124,-1.8342473831687993,0.1611047180667434,0.31652010007141385,349
C2_rsi30_ret7-12_rr,713,-0.0028308915498325062,-1.9438803608118251,0.1697054698457223,0.2658635654749026,316
C2_rsi35_ret7-8_bounce,938,-0.0030424942447288225,-2.2384285386818625,0.1631130063965885,0.3180463348240959,368
C2_rsi35_ret7-12_rr,786,-0.003061648940830475,-2.1859938075377485,0.17302798982188294,0.2661646302643435,329
C2_rsi30_ret7-12_bounce,713,-0.0030814189864061684,-2.104407460858881,0.17251051893408134,0.26011050327185253,316
C2_rsi35_ret7-8_rr,938,-0.0032629100821481983,-2.429977321984728,0.16417910447761194,0.3585746893077499,368
C2_rsi35_ret7-18_bounce,521,-0.003314803430459882,-2.156022731679154,0.19769673704414586,0.21497622868698155,253
C2_rsi35_ret7-12_bounce,786,-0.00337958638026394,-2.362481333372024,0.1717557251908397,0.26775521099425525,329
C2_rsi40_ret7-12_rr,839,-0.003524493366134189,-2.6081621094043252,0.16448152562574495,0.24790634088851074,343
C2_rsi40_ret7-12_bounce,839,-0.003656079572958059,-2.646815620865063,0.16090584028605484,0.24544282925097533,343
C2_rsi40_ret7-8_bounce,994,-0.003912822021321232,-3.0122626494530094,0.158953722334004,0.31538410427248387,380
C2_rsi35_ret7-18_rr,521,-0.0039387222485357835,-2.600665085929006,0.19769673704414586,0.20913277645568576,253
C2_rsi40_ret7-8_rr,994,-0.004087837064835448,-3.14589338136519,0.15492957746478872,0.36928711257545105,380
C2_rsi30_ret7-18_bounce,470,-0.0045505456872453635,-2.917530659566864,0.21063829787234042,0.22883411547802537,234
C2_rsi30_ret7-18_rr,470,-0.004570623345020908,-2.9378580859965813,0.20638297872340425,0.22085777689107514,234
C2_rsi40_ret7-18_rr,571,-0.004923961153647314,-3.372835729915534,0.20140105078809106,0.209607433386438,268
C2_rsi40_ret7-18_bounce,571,-0.004949763680223633,-3.334521332540689,0.1978984238178634,0.2234857366167102,268
