axis,param,feats,n_estimators,max_depth,learning_rate,min_child_weight,reg_lambda,universe,cal_buckets,rr_eps,tie_break,n,n_days,net_mean,net_median,sharpe,sortino,mdd,cum,hit,pct_sl,deep_loss_noSL,precision_pump20,cvar95,worst,pct_tp,pct_eod,fold_net_min,fold_net_pos_frac,d_net_mean,d_sharpe,d_sortino,d_mdd,d_hit,d_pct_sl,d_deep_loss_noSL,d_precision_pump20,d_cvar95
A_feats,drop_streak,drop_streak,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.002181998737725034,-0.011571415491668234,-1.9163309275885962,-3.516227491697293,-0.829352644406579,-0.8093862646448245,0.3964728935336381,0.44284781188765515,0.12736773350751143,0.039190071848465055,-0.031499999999999986,-0.0315,0.22534291312867408,0.3318092749836708,-0.0034961071083556383,0.16666666666666666,0.0006614715465537249,0.5862177318957282,0.9723022555492222,0.042253437332575805,0.00522534291312865,-0.013063357282821653,-0.007184846505551928,0.002612671456564339,0.0
A_feats,drop_rsi,drop_rsi,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0027902410897084956,-0.012912268188302432,-2.4818242370316326,-4.436141635638779,-0.8703789355762884,-0.8597379696717493,0.3892880470280862,0.4487263226649249,0.1247550620509471,0.03527106466361855,-0.031499999999999986,-0.0315,0.21750489875898105,0.33376877857609405,-0.003905147864312311,0.16666666666666666,5.3229194570263236e-05,0.020724422452691904,0.05238811160773604,0.0012271461628663438,-0.0019595035924232507,-0.007184846505551901,-0.009797517962116267,-0.0013063357282821694,0.0
A_feats,add_all_extra,add_all_extra,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0028675232270542863,-0.013020737327188945,-2.5296366730956885,-4.546792799071334,-0.8740566327103156,-0.865557312710372,0.3958197256694971,0.44937949052906595,0.13324624428478118,0.033311561071195296,-0.031499999999999986,-0.0315,0.20901371652514697,0.34160679294578705,-0.004301817403291129,0.16666666666666666,-2.4052942775527452e-05,-0.027088013611364037,-0.05826305182481928,-0.0024505509711608697,0.004572175048987603,-0.006531678641410854,-0.0013063357282821764,-0.00326583932070542,0.0
A_feats,add_range_contraction,add_range_contraction,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.002920701984623093,-0.013951038672323555,-2.594909808811384,-4.6566027971756245,-0.8788208598092385,-0.8688462532392086,0.3919007184846506,0.4487263226649249,0.1338994121489223,0.031352057478772045,-0.031499999999999986,-0.0315,0.2122795558458524,0.33899412148922276,-0.004616089395655314,0.16666666666666666,-7.723170034433426e-05,-0.09236114932705952,-0.16807304992910943,-0.007214778070083749,0.0006531678641411021,-0.007184846505551901,-0.0006531678641410743,-0.005225342913128671,0.0
A_feats,drop_xs_decile,drop_xs_decile,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.003209820041856783,-0.013951038672323555,-2.8386593910594113,-5.121548871936796,-0.8929547618440631,-0.8870509058581386,0.38602220770738077,0.45917700849118226,0.13520574787720444,0.037883736120182886,-0.031499999999999986,-0.0315,0.21097322011757022,0.32984977139124755,-0.005077744378934419,0.16666666666666666,-0.0003663497575780244,-0.33611073157508686,-0.6330191246902812,-0.021348680104908313,-0.0052253429131287055,0.003265839320705455,0.0006531678641410743,0.0013063357282821694,0.0
A_feats,add_dist_high,add_dist_high,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0032920222379031797,-0.0145434782608696,-2.9252358222971524,-5.246637478131109,-0.8975994129280805,-0.8915385974965416,0.3853690398432397,0.457217504898759,0.13585891574134554,0.031352057478772045,-0.031499999999999986,-0.0315,0.21097322011757022,0.3318092749836708,-0.005801110938488367,0.16666666666666666,-0.0004485519536244209,-0.4226871628128279,-0.7581077308845936,-0.025993331188925772,-0.005878510777269752,0.0013063357282822041,0.0013063357282821764,-0.005225342913128671,0.0
A_feats,add_bb_squeeze,add_bb_squeeze,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.0033213152967100216,-0.014727696922564202,-2.9403963482698408,-5.25367711217153,-0.8995554028301382,-0.8932895949315728,0.3866753755715219,0.4611365120836055,0.13063357282821686,0.03069888961463096,-0.031499999999999986,-0.0315,0.20901371652514697,0.32984977139124755,-0.006747759456133949,0.16666666666666666,-0.0004778450124312628,-0.4378476887855163,-0.7651473649250153,-0.02794932109098347,-0.004572175048987603,0.0052253429131287055,-0.003919007184846501,-0.0058785107772697555,0.0
A_feats,add_qvspike,add_qvspike,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.003548069709508969,-0.015198630136986356,-3.1739915736031583,-5.687597962839094,-0.9101909584710453,-0.9046291824689326,0.3768778576094056,0.45917700849118226,0.13324624428478118,0.028086218158066622,-0.031499999999999986,-0.0315,0.21097322011757022,0.32984977139124755,-0.0059446034796140105,0.16666666666666666,-0.0007045994252302102,-0.6714429141188338,-1.199068215592579,-0.03858487673189048,-0.014369693011103857,0.003265839320705455,-0.0013063357282821764,-0.008491182233834094,0.0
A_feats,drop_momentum_long,drop_momentum_long,180,4,0.05,5,1.5,100,10,0.001,True,1531,765,-0.003755618831182954,-0.015366739135098837,-3.337975710015188,-5.985631475884845,-0.9192210894272995,-0.9144400028950702,0.37949052906597,0.465055519268452,0.13128674069235793,0.033964728935336384,-0.031499999999999986,-0.0315,0.20836054866100587,0.32658393207054215,-0.007015356728126397,0.16666666666666666,-0.0009121485469041953,-0.8354270505308636,-1.49710172863833,-0.04761500768814475,-0.011757021554539504,0.009144350097975207,-0.003265839320705427,-0.002612671456564332,0.0
B_hp,max_depth=6,baseline,180,6,0.05,5,1.5,100,10,0.001,True,1531,765,-0.002270153142911956,-0.012068656041027746,-1.9778553746874485,-3.6129609532054205,-0.8359953363837023,-0.8182953933642398,0.3964728935336381,0.4487263226649249,0.12932723709993468,0.03200522534291313,-0.031499999999999986,-0.0315,0.22730241672109733,0.3239712606139778,-0.003926541206379565,0.16666666666666666,0.0005733171413668026,0.5246932847968759,0.8755687940410946,0.0356107453554525,0.00522534291312865,-0.007184846505551901,-0.005225342913128678,-0.0045721750489875895,0.0
