date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,exp_downside,net,outcome,pump20_hit,eod_ret,up_high_ret,down_low_ret,next_close_ret,R1,policy,sort_col,p_lab_sus3,lab_sus3,rr_sus3,p_lab_sus5,lab_sus5,rr_sus5,p_lab_sus_net,lab_sus_net,rr_sus_net,p_lab_fwd1,lab_fwd1,rr_fwd1
2024-04-03,KRW-BTC,bull_volatile,0,0.0,0.15482652820391787,0.0,-0.030308094293182323,0.0031745026183461213,eod,0,0.004674502618346121,0.012982415957856652,-0.014273369910361988,0.029626328988000328,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-04,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,0.028126328988000326,eod,0,0.029626328988000328,0.03533605521129091,-0.00936768149882905,-0.009732188685701582,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-05,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.012068656041027746,eod,0,-0.010568656041027746,0.002252501382673744,-0.026597616773090693,0.006392666219484866,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-06,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.017021176676591924,0.004984728363063575,eod,0,0.006484728363063574,0.015276719012044415,-0.006505056665142006,0.0034941377255788275,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-07,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,0.002227272727272801,eod,0,0.0037272727272728012,0.014646464646464574,-0.0002424242424242662,0.027493483883303638,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-08,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,0.025993483883303636,eod,0,0.027493483883303638,0.03738590506093442,-0.0027070816854350976,-0.026943908482776835,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-09,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.0315,sl,0,-0.02645761881430675,0.0034198922097010698,-0.03576678098971098,0.01258178158027179,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-10,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,0.010480806566809888,eod,0,0.011980806566809887,0.023549175627961327,-0.01805671518675367,-0.0005864811133200476,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-11,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.002096415542589046,eod,0,-0.0005964155425890461,0.008459160445721148,-0.0056659476545958265,-0.007608836196178692,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-12,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.009118706610172831,eod,0,-0.007618706610172832,0.008792345487457887,-0.01548606552485532,-0.026328976908274515,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-13,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.0315,sl,0,-0.025048923679060642,0.009272918861960022,-0.04661548497164936,0.01807532758957886,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-14,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.017021176676591924,0.017162519440124424,eod,0,0.018662519440124425,0.021494855447869554,-0.01924958544900246,-0.024043273848642688,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-15,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.0315,sl,0,-0.024299764482315966,0.0056504028059960465,-0.03263890994733698,-0.009634610005490707,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-16,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,-0.019048495931124277,-0.0315,sl,0,-0.009665388998238877,0.004257743706619799,-0.03138920542836421,-0.04370430034415307,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-17,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.017021176676591924,-0.0315,sl,0,-0.04370430034415307,0.009445903114114529,-0.056455746519242234,0.02118815563504306,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-18,KRW-BTC,bull_volatile,0,0.0,0.15482652820391787,0.0,-0.030308094293182323,0.01946479620293312,eod,0,0.020964796202933123,0.030194993383567237,-0.015737267467929472,0.0003641972663781523,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-19,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.017021176676591924,-0.0315,sl,0,-2.141511050202105e-05,0.027475586774027727,-0.052381360287819034,0.015151515151515138,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-20,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,-0.019048495931124277,0.013651515151515138,eod,0,0.015151515151515138,0.023664203876218037,-0.008298533033515354,0.0006645219134011615,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-21,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.0012047659215521076,eod,0,0.0002952340784478924,0.012115141290594655,-0.0055672711935892405,0.024497196104060315,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-22,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,0.02253304148096641,eod,0,0.02403304148096641,0.028616282622667466,-0.0030449579079347977,-0.011801382829862539,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-23,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.013779023848455916,eod,0,-0.012279023848455917,0.003630230668764556,-0.020495891566141178,-0.026143995002342657,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-24,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.0315,sl,0,-0.026407552747447216,0.005787386412132722,-0.03473472744116335,-0.008435435242799438,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-25,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.00978699743370398,eod,0,-0.00828699743370398,0.008543627031651013,-0.02466852010265186,-0.008561108415548024,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-26,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.01023211802373841,eod,0,-0.008732118023738411,0.0025765138366338203,-0.013971388837981435,-0.004915661602375221,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-27,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.006458947311184847,eod,0,-0.004958947311184847,0.0023924745799575042,-0.018084932847588497,-0.010590279675187664,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-28,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.015401363027692594,-0.012090279675187663,eod,0,-0.010590279675187664,0.012360790828314983,-0.014710543284626065,0.00961007400861602,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-29,KRW-BTC,bull_quiet,0,0.0,0.0370545197073401,0.0,-0.019048495931124277,0.008076618470612975,eod,0,0.009576618470612974,0.016204036097334784,-0.022455900058542144,-0.046641137855579884,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-04-30,KRW-BTC,bull_quiet,0,0.0,0.0219443133553563,0.0,-0.017021176676591924,-0.0315,sl,0,-0.046641137855579884,0.01247264770240708,-0.06339168490153169,-0.041750347154480894,0.0,R1_baseline,R1,,,,,,,,,,,,
2024-05-01,KRW-BTC,bull_quiet,0,0.0,0.2846353552041539,0.0,-0.040028920136941586,-0.0315,sl,0,-0.041915274463007135,0.005427299430879273,-0.08200615017440793,-0.005041976550617333,0.0,R1_baseline,R1,,,,,,,,,,,,
