variant,feature,gain_share,is_new
BREADTH,f_bounce_off_7d_low,0.2128,False
BREADTH,f_atr_pct_14,0.0974,False
BREADTH,f_rv_7d,0.0552,False
BREADTH,f_ret_1d,0.047,False
BREADTH,f_drawdown_7d,0.0403,False
BREADTH,f_atr_xs_decile,0.0377,False
BREADTH,mb_breadth20_lag1,0.0348,True
BREADTH,mb_breadth20_ma3,0.0298,True
BREADTH,mb_qv_zscore_30,0.0277,True
BREADTH,f_qv_surge_30d,0.0265,False
BREADTH,f_vol_surge_7d,0.0252,False
BREADTH,f_qv_surge_7d,0.0243,False
LIQ,f_bounce_off_7d_low,0.2024,False
LIQ,f_atr_pct_14,0.1101,False
LIQ,f_rv_7d,0.08,False
LIQ,liq_qv_ratio_med_14d,0.0549,True
LIQ,f_ret_1d,0.0473,False
LIQ,f_ret_7d,0.0453,False
LIQ,f_atr_xs_decile,0.0366,False
LIQ,f_drawdown_7d,0.0316,False
LIQ,f_ret_3d,0.0278,False
LIQ,liq_qv_zscore_30d,0.0268,True
LIQ,f_ret_14d,0.0266,False
LIQ,f_roc_7d,0.0265,False
BREADTH_LIQ,f_bounce_off_7d_low,0.193,False
BREADTH_LIQ,f_atr_pct_14,0.0976,False
BREADTH_LIQ,f_roc_7d,0.0704,False
BREADTH_LIQ,liq_qv_ratio_med_14d,0.0419,True
BREADTH_LIQ,f_rv_7d,0.0388,False
BREADTH_LIQ,f_ret_1d,0.0377,False
BREADTH_LIQ,mb_breadth20_lag1,0.0287,True
BREADTH_LIQ,f_atr_xs_decile,0.0285,False
BREADTH_LIQ,mb_breadth20_ma3,0.0272,True
BREADTH_LIQ,f_drawdown_7d,0.0263,False
BREADTH_LIQ,f_rv_21d,0.0231,False
BREADTH_LIQ,mb_qv_zscore_30,0.0228,True
