n_hold,variant,vfamily,n,n_blocks,n_entry_days,avg_hold_days,net_mean,net_median,hit,deep_loss_freq,worst,cvar95,mdd,cum,sharpe_block,sortino_block,sharpe_nom,sortino_nom,pct_tp,pct_sl,excess_mkt_mean,excess_mkt_pos_frac,tp,sl,trail_dd
1,bracket_tp0.08_sl0.05,bracket,1531,765,765,1.0,-0.004397820456992194,-0.008715537389138937,0.40169823644676683,0.29784454604833444,-0.051500000000000004,-0.05149999999999999,-0.9522396039618408,-0.9492015048001715,-2.3511952830895315,-3.754092246902864,-2.965398687796374,-4.7347748198116735,0.13520574787720444,0.29784454604833444,-0.005759568436626545,0.37491835401698237,0.08,0.05,
1,bracket_tp0.08_sl0.08,bracket,1531,765,765,1.0,-0.002229979057124951,-0.004848321056156122,0.4395819725669497,0.16002612671456565,-0.0815,-0.08150000000000002,-0.8364683430739005,-0.8260658876709632,-1.1270907226747642,-1.5748871893693706,-1.3885561847158294,-1.9402336502592283,0.15218811234487264,0.10516002612671456,-0.0035917270367593025,0.3892880470280862,0.08,0.08,
1,bracket_tp0.12_sl0.05,bracket,1531,765,765,1.0,-0.0035825840132671016,-0.009749562937062915,0.3919007184846506,0.29784454604833444,-0.051500000000000004,-0.05149999999999999,-0.9270013183980454,-0.9223577799901841,-1.8298082682110959,-3.147492565341607,-2.272536402436824,-3.909038753077098,0.07838014369693011,0.29784454604833444,-0.004944331992901453,0.364467668190725,0.12,0.05,
1,bracket_tp0.12_sl0.08,bracket,1531,765,765,1.0,-0.002090232690326714,-0.006045454545454519,0.4232527759634226,0.16067929457870672,-0.0815,-0.08150000000000002,-0.8246682210580111,-0.8135151449781551,-0.969257015654708,-1.4434823598988864,-1.2216413640549475,-1.819350007949117,0.08491182233834095,0.10516002612671456,-0.0034519806699610652,0.3729588504245591,0.12,0.08,
1,bracket_tp0.2_sl0.05,bracket,1531,765,765,1.0,-0.0036776269309872875,-0.009796910882287567,0.3879817112998041,0.29784454604833444,-0.051500000000000004,-0.05149999999999999,-0.93336270937483,-0.9291238270878723,-1.7639381530485336,-3.268003099789302,-2.198674307380722,-4.07342765364495,0.03200522534291313,0.29784454604833444,-0.005039374910621639,0.3605486610058785,0.2,0.05,
1,bracket_tp0.2_sl0.08,bracket,1531,765,765,1.0,-0.0024603495823725947,-0.0065324675324675546,0.41802743305029394,0.1619856303069889,-0.0815,-0.08150000000000002,-0.8608611713954417,-0.8520103746348493,-1.0600188512160302,-1.6783739206596215,-1.3670781569165686,-2.164554265652943,0.033964728935336384,0.10516002612671456,-0.003822097562006946,0.3683866753755715,0.2,0.08,
2,bracket_tp0.08_sl0.05,bracket,1531,383,765,1.564990202482038,-0.005701531934176407,-0.018099669999889267,0.3840627041149575,0.41672109732201174,-0.051500000000000004,-0.05149999999999999,-0.97803382381277,-0.9759052311168733,-2.137153477094953,-3.7213703348736997,-3.261945891424025,-5.652511061764294,0.18811234487263226,0.4160679294578707,-0.008607424912314941,0.3892880470280862,0.08,0.05,
2,bracket_tp0.08_sl0.08,bracket,1531,383,765,1.7406923579359896,-0.0035258802074236107,-0.006663511187607605,0.44284781188765515,0.256041802743305,-0.0815,-0.08150000000000002,-0.92736369459989,-0.9175268006494235,-1.1162992998334569,-1.716011693778538,-1.7718382688385763,-2.6536000810220908,0.22468974526453298,0.1952971913781842,-0.0064317731855621455,0.40169823644676683,0.08,0.08,
2,bracket_tp0.12_sl0.05,bracket,1531,383,765,1.6218158066623123,-0.004254140802809573,-0.021889017449496506,0.3638145003265839,0.42521227955584584,-0.051500000000000004,-0.05149999999999999,-0.9557236867720966,-0.9514331704740012,-1.483083617188199,-2.727819813217591,-2.2192533102545355,-4.390157921277117,0.11952971913781842,0.4245591116917048,-0.007160033780948108,0.380143696930111,0.12,0.05,
2,bracket_tp0.12_sl0.08,bracket,1531,383,765,1.8079686479425212,-0.0030690369783861146,-0.009980104370515384,0.4114957544088831,0.26714565643370347,-0.0815,-0.08150000000000002,-0.9163948544140099,-0.9020493060760377,-0.8652092589116148,-1.3756447842398762,-1.4111427455173011,-2.270851761293638,0.1365120836054866,0.20117570215545394,-0.005974929956524649,0.3847158719790986,0.12,0.08,
2,bracket_tp0.2_sl0.05,bracket,1531,383,765,1.6681907250163293,-0.005047218203595808,-0.0238285486443382,0.34944480731548005,0.43435662965382105,-0.051500000000000004,-0.05149999999999999,-0.9708846185853754,-0.9680632450477524,-1.5924085865774467,-2.999965847726232,-2.4722348053387315,-5.228280791788704,0.045068582625734814,0.43305029392553884,-0.007953111181734343,0.36642717178314826,0.2,0.05,
2,bracket_tp0.2_sl0.08,bracket,1531,383,765,1.8589157413455257,-0.004648912476914901,-0.011821100917431214,0.39386022207707383,0.2762900065316786,-0.0815,-0.08150000000000002,-0.9652346194936893,-0.9573482369162813,-1.1901214918169178,-1.929100742409514,-2.0208753063322535,-3.44258088883335,0.049640757674722404,0.20966688438928804,-0.007554805455053436,0.36642717178314826,0.2,0.08,
3,bracket_tp0.08_sl0.05,bracket,1531,255,765,1.9575440888308295,-0.005646649326551007,-0.027854001120473815,0.3886348791639451,0.472893533638145,-0.051500000000000004,-0.05149999999999999,-0.9796442086801685,-0.9722410740847639,-1.6079501991350622,-2.9971922151853803,-2.9108987944349645,-5.470838134183407,0.21815806662312215,0.472893533638145,-0.010151527364374713,0.4069235793598955,0.08,0.05,
3,bracket_tp0.08_sl0.08,bracket,1531,255,765,2.316786414108426,-0.0038665721838755866,-0.0060558086560364415,0.4611365120836055,0.30568256041802744,-0.0815,-0.08150000000000002,-0.9520780754425795,-0.9384711278221378,-0.9584501751371709,-1.62872104131561,-1.7000794750231651,-2.6801548049901442,0.26583932070542127,0.2677988242978446,-0.008371450221699293,0.4232527759634226,0.08,0.08,
3,bracket_tp0.12_sl0.05,bracket,1531,255,765,2.0744611365120837,-0.00381953547812841,-0.03825538656527255,0.36316133246244287,0.49118223383409537,-0.051500000000000004,-0.05149999999999999,-0.9550456526374999,-0.9290968724382187,-0.9600405299301882,-1.832489502783747,-1.7851168832593522,-4.068994000311671,0.14761593729588504,0.49118223383409537,-0.008324413515952117,0.395166557805356,0.12,0.05,
3,bracket_tp0.12_sl0.08,bracket,1531,255,765,2.4663618549967343,-0.0032224069641654607,-0.011773972602739656,0.42259960809928154,0.3233180927498367,-0.0815,-0.08150000000000002,-0.941377639664876,-0.9157198231710232,-0.6675376290260574,-1.142726080891282,-1.2830670193629352,-2.186547733584409,0.17308948399738733,0.2802090137165251,-0.007727285001989167,0.40431090790333113,0.12,0.08,
3,bracket_tp0.2_sl0.05,bracket,1531,255,765,2.18680600914435,-0.003915502795614841,-0.051500000000000004,0.3448726322664925,0.5048987589810582,-0.051500000000000004,-0.05149999999999999,-0.9652875349182513,-0.9378661835419513,-0.8871812614031102,-1.8080431452127834,-1.657051166693031,-4.148004730215642,0.06792945787067277,0.5048987589810582,-0.008420380833438545,0.36969301110385366,0.2,0.05,
3,bracket_tp0.2_sl0.08,bracket,1531,255,765,2.5956890920966686,-0.00424678059771151,-0.015765335235377986,0.3990855649902025,0.3370346178967995,-0.0815,-0.08150000000000002,-0.9714920749946763,-0.9534867566206796,-0.8079770767187543,-1.4373752648735618,-1.567215370224803,-2.9135674016979523,0.07576747224036577,0.29327237099934683,-0.008751658635535217,0.37557152188112347,0.2,0.08,
5,bracket_tp0.08_sl0.05,bracket,1531,153,765,2.5062050947093404,-0.004506571294042217,-0.051500000000000004,0.387328543435663,0.5284128020901372,-0.051500000000000004,-0.05149999999999999,-0.9738797989591901,-0.9415196334224113,-0.8129798991637592,-1.6881359518596468,-2.0234359582732515,-4.243047779609333,0.2684519921619856,0.5284128020901372,-0.012071508668233866,0.43435662965382105,0.08,0.05,
5,bracket_tp0.08_sl0.08,bracket,1531,153,765,3.147615937295885,-0.00280354992854423,-0.00552684563758382,0.47877204441541477,0.3729588504245591,-0.0815,-0.08150000000000002,-0.9587097868719878,-0.921525256118998,-0.5045961331299931,-0.9218937940020104,-1.0571308607391703,-1.8234841586346984,0.33899412148922276,0.34225996080992815,-0.010368487302735882,0.43435662965382105,0.08,0.08,
5,bracket_tp0.12_sl0.05,bracket,1531,153,765,2.73481384715872,-0.0023901049850030918,-0.051500000000000004,0.3527106466361855,0.5532331809274984,-0.051500000000000004,-0.05149999999999999,-0.9338550913465669,-0.8206135523627176,-0.29799634092215327,-0.6954152220925469,-0.9702057483861564,-2.819136560092803,0.18027433050293926,0.5532331809274984,-0.009955042359194742,0.42978445460483344,0.12,0.05,
5,bracket_tp0.12_sl0.08,bracket,1531,153,765,3.4611365120836055,-0.0021755573695797824,-0.015870245139475936,0.4278249510124102,0.40561724363161333,-0.0815,-0.08150000000000002,-0.9534623673047881,-0.8914957555116029,-0.2896419154163604,-0.566404865325896,-0.7336809861760861,-1.3762477975563612,0.2240365774003919,0.372305682560418,-0.009740494743771436,0.4193337687785761,0.12,0.08,
5,bracket_tp0.2_sl0.05,bracket,1531,153,765,2.976485956890921,-0.0019965085812853572,-0.051500000000000004,0.32135858915741344,0.5793598954931417,-0.051500000000000004,-0.05149999999999999,-0.939315651308206,-0.7818598090742597,-0.13784030425787586,-0.32692570517743536,-0.7197222791753136,-2.3176297232599694,0.09732201175702156,0.5793598954931417,-0.009561445955477007,0.4036577400391901,0.2,0.05,
5,bracket_tp0.2_sl0.08,bracket,1531,153,765,3.7622468974526453,-0.0024591263119609075,-0.024080645161290326,0.3892880470280862,0.43043762246897455,-0.0815,-0.08150000000000002,-0.9681383961258532,-0.9184823328659024,-0.2647596508667426,-0.5225423862878402,-0.7489462168378801,-1.624141643946993,0.1201828870019595,0.3958197256694971,-0.01002406368615256,0.3853690398432397,0.2,0.08,
1,holdN,holdN,1531,765,765,1.0,-0.003516208704890568,-0.005767892317793786,0.4245591116917048,0.13455258001306336,-0.338150908186116,-0.11255857876396205,-0.9150180707119122,-0.9076395670433888,-1.3443529899960391,-1.9800091253012215,-1.900348008846869,-2.798897630878846,0.0,0.0,-0.0048779566845249195,0.372305682560418,,,
2,holdN,holdN,1531,383,765,1.9980404964075766,-0.008271676174284592,-0.010259114213438334,0.4036577400391901,0.22926192031352058,-0.472375850340136,-0.160095493534515,-0.9958535262345748,-0.9927643985352399,-1.7641521304341001,-2.4223798421615763,-3.2745092356113337,-4.693670754070196,0.0,0.0,-0.011177569152423126,0.37034617896799477,,,
3,holdN,holdN,1531,255,765,2.99412148922273,-0.008303007436700049,-0.009648854961832041,0.4245591116917048,0.2697583278902678,-0.6041785714285713,-0.1887929672097014,-0.9982431379662009,-0.9949845033384106,-1.1761466489017713,-1.81727800983693,-2.3877064644489403,-3.9255483992879836,0.0,0.0,-0.012807885474523757,0.36708033964728937,,,
5,holdN,holdN,1531,153,765,4.980404964075768,-0.011624018005465577,-0.013635885020367331,0.41802743305029394,0.3285434356629654,-0.6303265306122449,-0.23875981708037095,-0.9998713527389436,-0.998967182712676,-0.9905996000916493,-1.5118293807054612,-3.0013875130335568,-4.598459293313287,0.0,0.0,-0.019188955379657226,0.3572828216851731,,,
1,trail_dd0.08,trail,1531,765,765,1.0,-0.004717421323079648,-0.0065324675324675546,0.4160679294578707,0.1619856303069889,-0.08150000000000007,-0.08149999999999999,-0.9546363441556253,-0.9517507046671894,-1.9755217182793468,-3.0237535350603593,-2.730207439173552,-4.178883137179341,0.0,0.0,-0.006079169302714,0.36642717178314826,,,0.08
1,trail_dd0.12,trail,1531,765,765,1.0,-0.003736926117330208,-0.005868591781179209,0.4232527759634226,0.13716525146962769,-0.12150000000000011,-0.10931768306205587,-0.9279889890463657,-0.9234082776168709,-1.4882856292688753,-2.2442421173735467,-2.0294717691189956,-3.0603171398724895,0.0,0.0,-0.005098674096964561,0.372305682560418,,,0.12
2,trail_dd0.08,trail,1531,383,765,1.8928804702808621,-0.0029573302558434807,-0.010513664715708968,0.40561724363161333,0.248203788373612,-0.08150000000000007,-0.08149999999999999,-0.923326614825307,-0.9016009293264715,-0.8583536272033923,-1.475374990494946,-1.3299580773596826,-2.340791515151883,0.0,0.0,-0.005863223233982016,0.38994121489222733,,,0.08
2,trail_dd0.12,trail,1531,383,765,1.9666884389288046,-0.004897605699969276,-0.009217987815117566,0.41018941868060094,0.22468974526453298,-0.12150000000000011,-0.12076321272964935,-0.9734114335472371,-0.9648287926967313,-1.1893674785069095,-1.8153935974145108,-2.012198818449474,-3.2252695464263224,0.0,0.0,-0.007803498678107812,0.3807968647942521,,,0.12
3,trail_dd0.08,trail,1531,255,765,2.4598301763553234,-0.0017303740600781027,-0.012982719276240671,0.40431090790333113,0.2782495101241019,-0.08150000000000007,-0.08149999999999999,-0.9273642724472777,-0.8369542943407398,-0.38377656119943354,-0.7430382938333815,-0.6764982952638068,-1.3192163994551778,0.0,0.0,-0.00623525209790181,0.4023514043109079,,,0.08
3,trail_dd0.12,trail,1531,255,765,2.7557152188112344,-0.0046022697368594484,-0.009648854961832041,0.4245591116917048,0.26649248856956237,-0.12150000000000011,-0.12113838182595935,-0.9806428160698611,-0.9657172206176243,-0.8203211052317315,-1.4100038399689436,-1.5923060662501052,-2.7874466374854707,0.0,0.0,-0.009107147774683157,0.3834095362508165,,,0.12
5,trail_dd0.08,trail,1531,153,765,3.2612671456564337,0.0007076783714132141,-0.016479691307879796,0.4023514043109079,0.3200522534291313,-0.08150000000000007,-0.08149999999999999,-0.897553080121088,-0.4635917622633733,0.16596252746960583,0.37129841184204465,0.23842386631963203,0.5302024157154207,0.0,0.0,-0.006857259002778437,0.418680600914435,,,0.08
5,trail_dd0.12,trail,1531,153,765,4.004572175048987,-0.0036377397308924313,-0.014182926829268304,0.4232527759634226,0.32984977139124755,-0.12150000000000011,-0.12135982078516024,-0.9859684208735111,-0.9540708855902577,-0.3616645673573888,-0.6845294822737823,-1.0807146433632322,-2.027448778653942,0.0,0.0,-0.011202677105084083,0.3990855649902025,,,0.12
