policy,regime,n,n_days,pct_sl,deep_loss_freq_noSL,net_mean,hit,precision_pump20,cvar95,worst,mdd,cum,sharpe,sortino,pct_tp,pct_eod
R1_baseline,bull_quiet,666,326,0.4339339339339339,0.12012012012012012,-0.002466530775925143,0.3993993993993994,0.028528528528528527,-0.03150000000000001,-0.0315,-0.6064120171733037,-0.5681048346536122,-2.1986755917590464,-3.97273381271531,0.2087087087087087,0.35735735735735735
R1_baseline,bull_volatile,157,135,0.2802547770700637,0.08280254777070063,-0.0025945375989636582,0.4012738853503185,0.0,-0.0315,-0.0315,-0.3889115964930974,-0.342487338491847,-2.3123567200182897,-4.101827122326903,0.10191082802547771,0.6178343949044586
R1_baseline,bear_quiet,208,100,0.42788461538461536,0.15384615384615385,-0.0025008761853521763,0.41346153846153844,0.02403846153846154,-0.03149999999999999,-0.0315,-0.33088812698899894,-0.07476278231872602,-2.433121295322269,-3.989109257345583,0.1971153846153846,0.375
R1_baseline,bear_volatile,500,204,0.552,0.162,-0.003566237717748174,0.368,0.064,-0.0315,-0.0315,-0.5216969896312675,-0.48241501953680055,-2.9195937728620636,-5.425270674748934,0.28,0.168
R1_baseline,ALL,1531,765,0.4559111691704768,0.13455258001306336,-0.002843470284278759,0.3912475506205095,0.036577400391900716,-0.031499999999999986,-0.0315,-0.8716060817391548,-0.8640067909209826,-2.5025486594843245,-4.488529747246515,0.2194644023514043,0.3246244284781189
A2a_regime_rank,bull_quiet,666,326,0.36036036036036034,0.08858858858858859,-0.002251639627545808,0.4099099099099099,0.018018018018018018,-0.03150000000000001,-0.0315,-0.5586179443882807,-0.5448618725562437,-2.0715612720448893,-3.7512233177245218,0.16816816816816818,0.47147147147147145
A2a_regime_rank,bull_volatile,157,135,0.2229299363057325,0.050955414012738856,-0.0034728257960657117,0.3821656050955414,0.0,-0.0315,-0.0315,-0.4018334221442811,-0.3701427165527682,-3.266772784300636,-5.636156261956195,0.05732484076433121,0.7197452229299363
A2a_regime_rank,bear_quiet,208,100,0.20673076923076922,0.04807692307692308,-0.0008433889255513025,0.4519230769230769,0.009615384615384616,-0.03149999999999999,-0.0315,-0.2434032581209173,0.04007837628431754,-0.867575089604058,-1.5721666088112873,0.11057692307692307,0.6826923076923077
A2a_regime_rank,bear_volatile,500,204,0.348,0.086,-0.0028630501228797804,0.42,0.028,-0.0315,-0.0315,-0.4819573116137707,-0.41123555720524196,-2.6279156523489418,-4.785180990445086,0.152,0.5
A2a_regime_rank,ALL,1531,765,0.32135858915741344,0.07838014369693011,-0.0023852224688977047,0.4160679294578707,0.018288700195950358,-0.031499999999999986,-0.0315,-0.8332856425362151,-0.8244531603885124,-2.2321753170234464,-4.005133433831904,0.14369693011103854,0.534944480731548
A2b_abstain,bull_quiet,88,88,0.14772727272727273,0.0,-0.0006269420644476824,0.45454545454545453,0.0,-0.0315,-0.0315,-0.28094486056934914,-0.07137567016156177,-0.5739759598109374,-1.0351657437979873,0.056818181818181816,0.7954545454545454
A2b_abstain,bull_volatile,91,91,0.18681318681318682,0.01098901098901099,-0.001563338462491878,0.45054945054945056,0.0,-0.0315,-0.0315,-0.2681261023848264,-0.15021722722240538,-1.4020278557857164,-2.6218807709355727,0.03296703296703297,0.7802197802197802
A2b_abstain,bear_quiet,208,100,0.42788461538461536,0.15384615384615385,-0.0025008761853521763,0.41346153846153844,0.02403846153846154,-0.03149999999999999,-0.0315,-0.33088812698899894,-0.07476278231872602,-2.433121295322269,-3.989109257345583,0.1971153846153846,0.375
A2b_abstain,bear_volatile,227,113,0.4933920704845815,0.14977973568281938,-0.0026733824970852143,0.3876651982378855,0.05286343612334802,-0.03149999999999999,-0.0315,-0.2872753715834698,-0.2152066119328685,-2.14027362198033,-4.0822793326968325,0.2555066079295154,0.2511013215859031
A2b_abstain,ALL,614,392,0.3762214983713355,0.10912052117263844,-0.00215712504096051,0.4153094462540717,0.02768729641693811,-0.03149999999999999,-0.0315,-0.4901548345448676,-0.4269976409936739,-1.9164293102890995,-3.4638580860924746,0.1742671009771987,0.4495114006514658
A2c_both,bull_quiet,88,88,0.14772727272727273,0.0,-0.0006269420644476824,0.45454545454545453,0.0,-0.0315,-0.0315,-0.28094486056934914,-0.07137567016156177,-0.5739759598109374,-1.0351657437979873,0.056818181818181816,0.7954545454545454
A2c_both,bull_volatile,91,91,0.18681318681318682,0.01098901098901099,-0.001563338462491878,0.45054945054945056,0.0,-0.0315,-0.0315,-0.2681261023848264,-0.15021722722240538,-1.4020278557857164,-2.6218807709355727,0.03296703296703297,0.7802197802197802
A2c_both,bear_quiet,208,100,0.20673076923076922,0.04807692307692308,-0.0008433889255513025,0.4519230769230769,0.009615384615384616,-0.03149999999999999,-0.0315,-0.2434032581209173,0.04007837628431754,-0.867575089604058,-1.5721666088112873,0.11057692307692307,0.6826923076923077
A2c_both,bear_volatile,227,113,0.4933920704845815,0.14977973568281938,-0.0026733824970852143,0.3876651982378855,0.05286343612334802,-0.03149999999999999,-0.0315,-0.2872753715834698,-0.2152066119328685,-2.14027362198033,-4.0822793326968325,0.2555066079295154,0.2511013215859031
A2c_both,ALL,614,392,0.30130293159609123,0.0732899022801303,-0.0015956309855230811,0.42833876221498374,0.02280130293159609,-0.03149999999999999,-0.0315,-0.4901548345448676,-0.35587614530257417,-1.4326823588239388,-2.6351920619241525,0.1449511400651466,0.5537459283387622
