gate,dir,fold,n_fire,fold_base,fired_net,delta
top1_R1,ge,0,1,-0.0034961071083556387,0.0099081114790762,0.013404218587431838
top1_R1,ge,1,0,0.0018311398413061563,,
top1_R1,ge,2,0,-0.002624401892221218,,
top1_R1,ge,3,59,-0.0013654526774578666,0.001487297418206947,0.0028527500956648136
top1_R1,ge,4,10,-0.0034363058391597813,0.004880432251364318,0.0083167380905241
top1_R1,ge,5,26,-0.005148093512971383,-0.008689979084451188,-0.003541885571479805
top1_pup10,ge,0,0,-0.0034961071083556387,,
top1_pup10,ge,1,0,0.0018311398413061563,,
top1_pup10,ge,2,0,-0.002624401892221218,,
top1_pup10,ge,3,128,-0.0013654526774578666,-0.0013654526774578666,0.0
top1_pup10,ge,4,0,-0.0034363058391597813,,
top1_pup10,ge,5,0,-0.005148093512971383,,
mean_pup10,ge,0,127,-0.0034961071083556387,-0.0034961071083556387,0.0
mean_pup10,ge,1,128,0.0018311398413061563,0.0018311398413061563,0.0
mean_pup10,ge,2,127,-0.002624401892221218,-0.002624401892221218,0.0
mean_pup10,ge,3,128,-0.0013654526774578666,-0.0013654526774578666,0.0
mean_pup10,ge,4,127,-0.0034363058391597813,-0.0034363058391597813,0.0
mean_pup10,ge,5,128,-0.005148093512971383,-0.005148093512971383,0.0
max_pdn5,le,0,122,-0.0034961071083556387,-0.0025249077805236902,0.0009711993278319485
max_pdn5,le,1,125,0.0018311398413061563,0.0014665092020866952,-0.0003646306392194611
max_pdn5,le,2,123,-0.002624401892221218,-0.002621824242128802,2.5776500924162317e-06
max_pdn5,le,3,34,-0.0013654526774578666,0.0021448147369278314,0.0035102674143856977
max_pdn5,le,4,43,-0.0034363058391597813,0.004332771507562816,0.007769077346722597
max_pdn5,le,5,21,-0.005148093512971383,-0.006693372024140329,-0.0015452785111689463
mean_pdn5,le,0,117,-0.0034961071083556387,-0.0028371386347119656,0.0006589684736436731
mean_pdn5,le,1,125,0.0018311398413061563,0.0014665092020866952,-0.0003646306392194611
mean_pdn5,le,2,123,-0.002624401892221218,-0.002621824242128802,2.5776500924162317e-06
mean_pdn5,le,3,23,-0.0013654526774578666,0.0010105539032489192,0.0023760065807067856
mean_pdn5,le,4,8,-0.0034363058391597813,0.009327897952249788,0.012764203791409568
mean_pdn5,le,5,35,-0.005148093512971383,-0.008674049007587382,-0.003525955494615999
max_pdn10,le,0,121,-0.0034961071083556387,-0.0027819244111462653,0.0007141826972093734
max_pdn10,le,1,94,0.0018311398413061563,0.0016193400344698243,-0.00021179980683633205
max_pdn10,le,2,118,-0.002624401892221218,-0.00262717594787278,-2.77405565156201e-06
max_pdn10,le,3,9,-0.0013654526774578666,0.0003769554271691547,0.0017424081046270212
max_pdn10,le,4,0,-0.0034363058391597813,,
max_pdn10,le,5,15,-0.005148093512971383,-0.005164827647792778,-1.6734134821395387e-05
worst_expdown,ge,0,117,-0.0034961071083556387,-0.0028371386347119656,0.0006589684736436731
worst_expdown,ge,1,125,0.0018311398413061563,0.0014665092020866952,-0.0003646306392194611
worst_expdown,ge,2,123,-0.002624401892221218,-0.002621824242128802,2.5776500924162317e-06
worst_expdown,ge,3,18,-0.0013654526774578666,-0.0005782511467961461,0.0007872015306617205
worst_expdown,ge,4,4,-0.0034363058391597813,0.012412067971187341,0.01584837381034712
worst_expdown,ge,5,33,-0.005148093512971383,-0.007909688757108459,-0.0027615952441370764
