date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2023-11-07,KRW-1INCH,mid,bull_volatile,-0.03483333333333333,False,,,,,,,,,,
2024-01-02,KRW-1INCH,mid,bull_volatile,-0.02914976958525345,False,,,,,,,,,,
2024-01-05,KRW-1INCH,low,bull_quiet,0.05703658536585371,False,,,,,,,,,,
2024-01-06,KRW-1INCH,mid,bull_quiet,-0.035294162826420894,False,,,,,,,,,,
2024-01-12,KRW-1INCH,mid,bull_volatile,-0.059573654390934816,False,,,,,,,,,,
2024-01-30,KRW-1INCH,low,bull_volatile,0.002770462633451988,False,,,,,,,,,,
2024-02-03,KRW-1INCH,mid,bull_volatile,-0.001145390070921903,False,,,,,,,,,,
2023-12-17,KRW-A,low,bull_volatile,-0.006045454545454519,False,,,,,,,,,,
2023-09-17,KRW-AAVE,low,bear_quiet,-2.2466300548240874e-06,False,,,,,,,,,,
2023-09-29,KRW-AAVE,low,bear_quiet,0.004238073807380673,False,,,,,,,,,,
2023-10-02,KRW-AAVE,mid,bull_quiet,-0.036859229271292426,False,,,,,,,,,,
2023-10-22,KRW-AAVE,low,bull_quiet,0.12586297391488002,False,,,,,,,,,,
2023-10-23,KRW-AAVE,mid,bull_quiet,0.05655243445692887,False,,,,,,,,,,
2023-10-24,KRW-AAVE,high,bull_quiet,-0.01647137824746808,False,,,,,,,,,,
2023-10-30,KRW-AAVE,low,bull_quiet,-0.012824041811846652,False,,,,,,,,,,
2023-12-15,KRW-AAVE,mid,bull_volatile,0.02141381668946646,False,,,,,,,,,,
2023-12-29,KRW-AAVE,mid,bull_volatile,-0.052097108736643576,False,,,,,,,,,,
2023-11-07,KRW-ADA,low,bull_volatile,-0.03048550724637683,False,,,,,,,,,,
2023-12-09,KRW-ADA,high,bull_volatile,0.06848654104979818,False,,,,,,,,,,
2023-12-10,KRW-ADA,high,bull_volatile,0.021141509433962258,False,,,,,,,,,,
2023-12-14,KRW-ADA,high,bull_volatile,-0.04808721560130008,False,,,,,,,,,,
2023-12-22,KRW-ADA,low,bull_volatile,-0.021244483159117252,False,,,,,,,,,,
2024-01-11,KRW-ADA,low,bull_volatile,0.033474093264248606,False,,,,,,,,,,
2024-01-30,KRW-ADA,mid,bull_volatile,-0.019327298050139163,False,,,,,,,,,,
2024-02-09,KRW-ADA,low,bull_volatile,0.004289110957960198,False,,,,,,,,,,
2024-02-15,KRW-ADA,low,bull_quiet,0.06682139201637655,False,,,,,,,,,,
2024-02-16,KRW-ADA,mid,bull_quiet,-0.010117594254937244,False,,,,,,,,,,
2023-10-21,KRW-AERGO,low,bull_quiet,-0.026344720496894458,False,,,,,,,,,,
2023-10-31,KRW-AERGO,low,bull_quiet,-0.023005376344086,False,,,,,,,,,,
2023-11-03,KRW-AERGO,mid,bull_volatile,-0.02120443349753692,False,,,,,,,,,,
2023-11-15,KRW-AERGO,high,bull_volatile,-0.11874137931034484,False,,,,,,,,,,
2023-11-25,KRW-AERGO,mid,bull_volatile,-0.013744897959183709,False,,,,,,,,,,
2023-11-30,KRW-AERGO,mid,bull_volatile,0.03493724696356277,False,,,,,,,,,,
2023-09-24,KRW-AHT,mid,bear_quiet,-0.08617741935483876,False,,,,,,,,,,
2023-09-29,KRW-AHT,low,bear_quiet,-0.01769433198380571,False,,,,,,,,,,
2023-11-03,KRW-AHT,low,bull_volatile,-0.03786363636363638,False,,,,,,,,,,
2024-02-04,KRW-AHT,high,bull_volatile,-0.03445668549905839,False,,,,,,,,,,
2023-11-13,KRW-ALGO,mid,bull_volatile,-0.07329487179487176,False,,,,,,,,,,
2023-12-03,KRW-ALGO,mid,bull_volatile,0.03403299492385786,False,,,,,,,,,,
2023-12-08,KRW-ALGO,mid,bull_volatile,0.1190357142857142,False,,,,,,,,,,
2023-12-10,KRW-ALGO,high,bull_volatile,0.00948901098901095,False,,,,,,,,,,
2023-12-15,KRW-ALGO,mid,bull_volatile,-0.07946610169491525,False,,,,,,,,,,
2023-12-22,KRW-ALGO,mid,bull_volatile,0.06428947368421062,False,,,,,,,,,,
2023-12-23,KRW-ALGO,mid,bull_volatile,-0.019961538461538416,False,,,,,,,,,,
2023-10-07,KRW-ANKR,low,bull_quiet,0.005880073800737908,False,,,,,,,,,,
2023-12-01,KRW-ANKR,mid,bull_volatile,-0.012928571428571343,False,,,,,,,,,,
2023-12-05,KRW-ANKR,low,bull_volatile,0.049990514905149,False,,,,,,,,,,
2023-12-06,KRW-ANKR,low,bull_volatile,-0.03491902313624668,False,,,,,,,,,,
2023-12-15,KRW-ANKR,low,bull_volatile,-0.039961538461538444,False,,,,,,,,,,
2024-01-09,KRW-ANKR,low,bull_volatile,-0.053978134110787064,False,,,,,,,,,,
2024-02-15,KRW-ANKR,low,bull_quiet,0.06446159198441409,False,,,,,,,,,,
2023-10-22,KRW-APT,low,bull_quiet,0.10538042752171013,False,,,,,,,,,,
2023-10-23,KRW-APT,mid,bull_quiet,-0.000896135265700592,False,,,,,,,,,,
2023-10-26,KRW-APT,mid,bull_quiet,-0.05669828510182213,False,,,,,,,,,,
2023-11-07,KRW-APT,low,bull_volatile,-0.019176767676767625,False,,,,,,,,,,
2023-12-08,KRW-APT,low,bull_volatile,0.06008088235294112,False,,,,,,,,,,
2023-12-13,KRW-APT,mid,bull_volatile,-0.06553162055335965,False,,,,,,,,,,
2023-12-23,KRW-APT,mid,bull_volatile,0.003288507581803713,False,,,,,,,,,,
2023-12-26,KRW-APT,mid,bull_volatile,0.0389332129963898,False,,,,,,,,,,
2024-01-05,KRW-APT,mid,bull_quiet,-0.06840647482014389,False,,,,,,,,,,
2024-01-14,KRW-APT,mid,bull_volatile,-0.03638372093023251,False,,,,,,,,,,
2024-01-24,KRW-APT,mid,bull_volatile,-0.02785914332784184,False,,,,,,,,,,
2024-02-16,KRW-APT,mid,bull_quiet,-0.029396995708154516,False,,,,,,,,,,
2023-09-23,KRW-AQT,mid,bear_quiet,0.020640221402213943,False,,,,,,,,,,
2023-09-29,KRW-AQT,mid,bear_quiet,-0.036465034965035,False,,,,,,,,,,
2023-10-21,KRW-AQT,low,bull_quiet,0.020239130434782704,False,,,,,,,,,,
2023-10-23,KRW-AQT,mid,bull_quiet,-0.06361180124223602,False,,,,,,,,,,
2023-11-05,KRW-AQT,mid,bull_volatile,0.001247252747252737,False,,,,,,,,,,
2023-11-12,KRW-AQT,mid,bull_volatile,-0.08228602620087339,False,,,,,,,,,,
2024-01-07,KRW-AQT,low,bull_quiet,-0.05085064935064936,False,,,,,,,,,,
2024-01-14,KRW-AQT,mid,bull_volatile,-0.0241757369614512,False,,,,,,,,,,
2024-01-16,KRW-AQT,mid,bull_volatile,-0.03620715835141003,False,,,,,,,,,,
2023-09-29,KRW-ARB,mid,bear_quiet,0.006764462809917328,False,,,,,,,,,,
