strat,group,n,net,hit,deep,p25
ALL,low,1670,0.0016575699387278207,0.46706586826347307,0.16347305389221556,-0.03621884433672701
ALL,mid,1670,-4.6340468304278596e-05,0.4221556886227545,0.20778443113772455,-0.042549132979976347
ALL,high,1670,-0.010866259786264466,0.4041916167664671,0.3215568862275449,-0.06508347218508082
regime=bull_volatile,low,630,-0.0003577477276678279,0.4253968253968254,0.1492063492063492,-0.03621884433672701
regime=bull_volatile,mid,613,0.0013785341483519343,0.4355628058727569,0.19249592169657423,-0.04083170901496697
regime=bull_volatile,high,567,-0.00973129099036781,0.4144620811287478,0.31393298059964725,-0.06159418313712489
regime=bull_quiet,low,790,0.0017619031214014952,0.47468354430379744,0.1860759493670886,-0.03828605466268087
regime=bull_quiet,mid,805,-0.002555631115740806,0.3950310559006211,0.23229813664596274,-0.047152672631337544
regime=bull_quiet,high,830,-0.012548341281985584,0.38433734939759034,0.3349397590361446,-0.06760347207475048
regime=bear_quiet,low,140,0.013436178263558649,0.6285714285714286,0.07142857142857142,-0.016329519122236513
regime=bear_quiet,mid,141,-0.003914130565976452,0.425531914893617,0.1702127659574468,-0.03790957051567839
regime=bear_quiet,high,144,-0.007571447225778895,0.4861111111111111,0.22916666666666666,-0.04764823014926309
regime=bear_volatile,low,110,-0.002540414151810909,0.44545454545454544,0.2,-0.04232245854691649
regime=bear_volatile,mid,111,0.015195904891586915,0.5405405405405406,0.16216216216216217,-0.040183459733314664
regime=bear_volatile,high,129,-0.008710078968704781,0.3953488372093023,0.37209302325581395,-0.06634641638225253
