ledger,exit,n_picks_all,n_picks_on,n_picks_off,n_dates,n_on_dates,silence_rate,net_mean_all,net_mean_on,net_mean_off,net_sum_all,net_sum_on,improve_mean
distribution,realized/TP5SL3,164,138,26,32,27,0.156,-1.836,-1.81,-1.977,-301.18,-249.77,0.026
distribution,TP10_noSL,164,138,26,32,27,0.156,-0.502,-0.242,-1.881,-82.35,-33.44,0.26
distribution,TP5_noSL,164,138,26,32,27,0.156,-0.294,0.014,-1.927,-48.22,1.88,0.308
distribution,EOD,164,138,26,32,27,0.156,-0.993,-0.723,-2.427,-162.84,-99.75,0.27
recommend_R1,realized/TP5SL3,165,138,27,55,46,0.164,-0.656,-0.709,-0.383,-108.23,-97.89,-0.053
recommend_R1,TP10_noSL,6,6,0,55,46,0.164,-1.688,-1.688,,-10.13,-10.13,0.0
recommend_R1,TP5_noSL,6,6,0,55,46,0.164,0.858,0.858,,5.15,5.15,0.0
recommend_R1,EOD,6,6,0,55,46,0.164,-1.688,-1.688,,-10.13,-10.13,0.0
recommend_R2,realized/TP5SL3,165,138,27,55,46,0.164,-0.537,-0.557,-0.436,-88.63,-76.85,-0.02
recommend_R2,TP10_noSL,6,6,0,55,46,0.164,-0.899,-0.899,,-5.39,-5.39,0.0
recommend_R2,TP5_noSL,6,6,0,55,46,0.164,-0.241,-0.241,,-1.44,-1.44,0.0
recommend_R2,EOD,6,6,0,55,46,0.164,-0.899,-0.899,,-5.39,-5.39,0.0
recommend_sustain,realized/TP5SL3,162,135,27,54,45,0.167,-0.653,-0.73,-0.268,-105.74,-98.51,-0.077
recommend_sustain,TP10_noSL,6,6,0,54,45,0.167,-1.094,-1.094,,-6.56,-6.56,0.0
recommend_sustain,TP5_noSL,6,6,0,54,45,0.167,0.322,0.322,,1.93,1.93,0.0
recommend_sustain,EOD,6,6,0,54,45,0.167,-1.094,-1.094,,-6.56,-6.56,0.0
pump_hunter,realized/TP5SL3,780,645,135,52,43,0.173,-0.398,-0.266,-1.028,-310.4,-171.57,0.132
pump_hunter,TP10_noSL,780,645,135,52,43,0.173,-0.91,-0.756,-1.644,-709.53,-487.59,0.154
pump_hunter,TP5_noSL,780,645,135,52,43,0.173,-0.389,-0.191,-1.335,-303.43,-123.15,0.198
pump_hunter,EOD,780,645,135,52,43,0.173,-1.828,-1.785,-2.036,-1425.96,-1151.07,0.044
