policy,k,param,n,realized_pump10,realized_pump20,hit_eod_pos,p_min_le_5,p_min_le_10,deep_dump_rate,mean_min_ret,median_min_ret,mean_eod_net,median_eod_net,cvar95_eod,worst_eod,mdd,cum_eod_net,sortino,sharpe
upside_only,3,-,2400,0.215,0.06916666666666667,0.3975,0.5383333333333333,0.155,0.28708333333333336,-0.06257320761697137,-0.052784945113949544,-0.00707547817610844,-0.017808061686213517,-0.16291052647323945,-0.6799428752776902,-0.9992069804914329,-0.9991985861211845,-3.6985465563464097,-2.2533922404736346
R1_ratio,3,-,2400,0.135,0.03958333333333333,0.44458333333333333,0.33541666666666664,0.0675,0.15958333333333333,-0.04410413553488516,-0.03535805684418397,-0.0010236441810506217,-0.006733547106214597,-0.1130925124402962,-0.2937853107345031,-0.9071374518493482,-0.848271154752956,-0.7060987943945018,-0.35318276346563704
R2_penalized,3,lam=0.5,2400,0.16583333333333333,0.04958333333333333,0.43333333333333335,0.3725,0.06708333333333333,0.17375,-0.04656297216537948,-0.039986675549635975,-0.0002786181804465876,-0.009459816605829006,-0.11458089701651594,-0.2937853107345031,-0.8825882517073281,-0.7469691941249671,-0.1897656859998456,-0.09282732103311683
R2_penalized,3,lam=1.0,2400,0.07,0.017916666666666668,0.4666666666666667,0.16458333333333333,0.02,0.07416666666666667,-0.02865052195842704,-0.020726064526531973,-0.0003289828095598146,-0.002786661980129167,-0.07634163904487513,-0.16783105747856586,-0.7997333532619475,-0.48509406630281515,-0.342922682307012,-0.1955341246844003
R2_penalized,3,lam=2.0,2400,0.02666666666666667,0.005416666666666667,0.4775,0.08333333333333333,0.012916666666666667,0.042083333333333334,-0.02206505471454803,-0.0158730158730207,-0.000810915530760579,-0.0015000000000243694,-0.06254845452585128,-0.15625000000000522,-0.6865579929230847,-0.5843003735060198,-0.9848439578969468,-0.6464284383118449
R2_penalized,3,lam=3.0,2400,0.0225,0.005,0.47791666666666666,0.07875,0.0125,0.04,-0.02170181405789247,-0.015685891124532392,-0.0009603492645273042,-0.0015000000000188183,-0.061791860127064197,-0.15625000000000522,-0.7021303305181515,-0.6293825982768142,-1.1819306053082306,-0.7737099433346679
R3_gate,3,qcut=0.6,2378,0.12321278385197645,0.02943650126156434,0.4339781328847771,0.30613961312026916,0.04709840201850295,0.1488645920941968,-0.04158360975115387,-0.03445714254089777,-0.0028167909523035806,-0.008105065920108621,-0.10316023955567226,-0.2907268170426067,-0.9498640618910209,-0.9450025837821134,-2.01730032795014,-1.2685938231127187
R3_gate,3,qcut=0.7,2390,0.1414225941422594,0.036401673640167366,0.4309623430962343,0.34853556485355647,0.05815899581589958,0.1682008368200837,-0.044656319207761246,-0.03760373696888447,-0.003966446296445521,-0.009436346042085984,-0.11069397083079614,-0.2907268170426067,-0.980393713990852,-0.9781447658866943,-2.87005242779071,-1.7545970946262177
R3_gate,3,qcut=0.8,2399,0.16673614005835766,0.05085452271779908,0.42767819924968736,0.39891621508962066,0.0712796998749479,0.1838265944143393,-0.048474527961595744,-0.04225352112743497,-0.0016146040396368899,-0.010577155824509852,-0.1150440759436575,-0.2907268170426067,-0.9486889544485232,-0.8890593632827085,-1.1029855043456736,-0.6312984232481603
upside_only,5,-,4000,0.21125,0.067,0.40225,0.526,0.15225,0.282,-0.0618736850473105,-0.052030579971678814,-0.006726878576816177,-0.01672991325655443,-0.16025870690558047,-0.6799428752776902,-0.9985653831943646,-0.9985302434520421,-4.000250790556547,-2.4143811499539582
R1_ratio,5,-,4000,0.138,0.04025,0.44625,0.34025,0.06675,0.162,-0.04429692235057854,-0.03578542161918624,-0.0011838457960316737,-0.006672492899660818,-0.11199437983213283,-0.2937853107345031,-0.892668508332105,-0.8228125469863354,-0.8613030346742733,-0.49755011293982976
R2_penalized,5,lam=0.5,4000,0.157,0.04875,0.43375,0.3585,0.06225,0.1675,-0.04534782003563373,-0.0386775365492239,-0.0009753182068961775,-0.008208195119446036,-0.1120879359123894,-0.2937853107345031,-0.9065294562453066,-0.7965041620798547,-0.7159226303448384,-0.40344427917841547
R2_penalized,5,lam=1.0,4000,0.06475,0.01675,0.46225,0.169,0.025,0.076,-0.02932703464262826,-0.02111408970976547,-0.0005949486541146813,-0.002982292729123924,-0.07976172892275733,-0.1685340252388351,-0.8010625766440871,-0.576483426575026,-0.6193507591687162,-0.3635399014681007
R2_penalized,5,lam=2.0,4000,0.03375,0.007,0.46775,0.109,0.0185,0.05,-0.02441672393961652,-0.017331980778317047,-0.0009568862173297421,-0.0020340084387180366,-0.06841743391920932,-0.1673184357541907,-0.7558199740875828,-0.6432566018529258,-1.0885994301442359,-0.7076893083690097
R2_penalized,5,lam=3.0,4000,0.02975,0.006,0.46875,0.10325,0.0185,0.04825,-0.024021473604163825,-0.017001984929950753,-0.0011580556927535176,-0.001969955947230205,-0.06761382859698357,-0.157692307692324,-0.7643091221017259,-0.6912245208141834,-1.3377394927102837,-0.8856992319243284
