market,date,regime,p_lab_up_05,p_lab_up_10,p_lab_up_15,p_lab_up_20,p_lab_dn_03,p_lab_dn_05,p_lab_dn_10,p_lab_close_neg,exp_downside,med_downside,rr_ratio,rr_pen_lam2,upside_only_rank,rr_rank
KRW-PEPE,2026-05-31,bear_quiet,0.08162424841446339,0.010954616588419406,0.003953545836422041,8.236553825879252e-05,0.23630672926447574,0.025615682398484475,0.010707519973643028,0.5246684787085084,-0.016243882875023045,-0.012380416432189123,0.42765273311897106,-0.04027674820854955,84,1
KRW-ADA,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.005106663372045136,0.5479406919275124,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-BTC,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.0004118276912939626,0.506548060291574,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-AVAX,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,0.0019767729182110206,0.0,0.13129066798451527,0.025615682398484475,0.010707519973643028,0.571287373362985,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-SHIB,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.005106663372045136,0.5246684787085084,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-SOL,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.005106663372045136,0.5479406919275124,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-TRX,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.0004118276912939626,0.571287373362985,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-XRP,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.0004118276912939626,0.5479406919275124,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-ETH,2026-05-31,bear_quiet,0.03574664360431595,0.002882793839057738,8.236553825879252e-05,0.0,0.13129066798451527,0.025615682398484475,0.0013178486121406803,0.5246684787085084,-0.016243882875023045,-0.012380416432189123,0.112540192926045,-0.048348570957911216,93,2
KRW-UNI,2026-05-31,bear_quiet,0.1146528292562392,0.01828514949345194,0.007412898443291327,0.0014825796886582653,0.23630672926447574,0.07182274936166708,0.01927353595255745,0.5479406919275124,-0.022604814543442178,-0.017482517482531157,0.2545871559633028,-0.1253603492298822,73,10
