cohort,challenger,metric,n_paired_dates,delta_challenger_minus_r1,ci95_lo,ci95_hi,p_delta_gt_zero,direction,bootstrap_draws,seed,stream_seed
d1_conservative_all_oos,veto_within_day_top_third,net,800,0.0024217961440579864,0.0014569264553179538,0.003447812159647339,1.0,higher_better,5000,42,12918468834675974033
d1_conservative_all_oos,veto_within_day_top_third,hit_rate,800,0.03666666666666667,0.0225,0.05125,1.0,higher_better,5000,42,10763101962083861453
d1_conservative_all_oos,veto_within_day_top_third,sl_first_rate,800,-0.06708333333333333,-0.0825,-0.051666666666666666,0.0,lower_better,5000,42,7543109558534054455
d1_conservative_all_oos,veto_within_day_top_third,tp_first_rate,800,0.0025,-0.010416666666666664,0.01583333333333333,0.645,higher_better,5000,42,8723119371984958305
d1_conservative_all_oos,veto_within_day_top_third,mfe10_rate,800,-0.02083333333333333,-0.03208333333333333,-0.009583333333333334,0.0002,higher_better,5000,42,11277075441317933006
d1_conservative_all_oos,veto_within_day_top_third,dn5_rate,800,-0.045,-0.05833333333333333,-0.03208333333333333,0.0,lower_better,5000,42,115494722270693182
d1_conservative_all_oos,veto_within_day_top_third,safe_up10_rate,800,-0.017916666666666664,-0.028333333333333332,-0.0075,0.0008,higher_better,5000,42,12582447914691381073
d1_conservative_all_oos,veto_within_day_top_third,eod_deep_loss_rate,800,-0.020416666666666666,-0.03125,-0.00958333333333333,0.0004,lower_better,5000,42,17503099875547226256
d1_conservative_all_oos,veto_train_cal50,net,800,0.00024824758132394384,-5.389878280998206e-05,0.0005650291012618797,0.943,higher_better,5000,42,14968293405300257908
d1_conservative_all_oos,veto_train_cal50,hit_rate,800,0.003333333333333333,-0.0008333333333333333,0.0075,0.9428,higher_better,5000,42,14387765379463939200
d1_conservative_all_oos,veto_train_cal50,sl_first_rate,800,-0.004166666666666667,-0.008333333333333333,-0.00041666666666666637,0.0184,lower_better,5000,42,3059686801528906603
d1_conservative_all_oos,veto_train_cal50,tp_first_rate,800,0.0016666666666666663,-0.0025,0.005833333333333333,0.7742,higher_better,5000,42,17827732425706546752
d1_conservative_all_oos,veto_train_cal50,mfe10_rate,800,-0.003333333333333333,-0.0075,0.0004166666666666666,0.0304,higher_better,5000,42,2893248572777977672
d1_conservative_all_oos,veto_train_cal50,dn5_rate,800,-0.00375,-0.008333333333333335,0.0004166666666666667,0.04,lower_better,5000,42,12156068933693040075
d1_conservative_all_oos,veto_train_cal50,safe_up10_rate,800,-0.0016666666666666666,-0.005416666666666666,0.0016666666666666666,0.1474,higher_better,5000,42,4153626545449703765
d1_conservative_all_oos,veto_train_cal50,eod_deep_loss_rate,800,-0.0016666666666666666,-0.004999999999999999,0.00125,0.1074,lower_better,5000,42,9321723252382848691
d1_conservative_all_oos,lexicographic_risk_first,net,800,0.005557646736677937,0.004214184759803646,0.006897106546812236,1.0,higher_better,5000,42,16749405736196071515
d1_conservative_all_oos,lexicographic_risk_first,hit_rate,800,0.10625,0.0825,0.13083333333333333,1.0,higher_better,5000,42,8751573317165326900
d1_conservative_all_oos,lexicographic_risk_first,sl_first_rate,800,-0.36916666666666664,-0.3925,-0.34541666666666665,0.0,lower_better,5000,42,14361132242733430554
d1_conservative_all_oos,lexicographic_risk_first,tp_first_rate,800,-0.12583333333333332,-0.1433333333333333,-0.10875,0.0,higher_better,5000,42,16734496625092201367
d1_conservative_all_oos,lexicographic_risk_first,mfe10_rate,800,-0.11958333333333332,-0.13541666666666663,-0.10458333333333332,0.0,higher_better,5000,42,10169834068412646224
d1_conservative_all_oos,lexicographic_risk_first,dn5_rate,800,-0.2608333333333333,-0.2825,-0.23958333333333337,0.0,lower_better,5000,42,5000600123773376259
d1_conservative_all_oos,lexicographic_risk_first,safe_up10_rate,800,-0.10291666666666666,-0.1175,-0.08875,0.0,higher_better,5000,42,15861854440286418580
d1_conservative_all_oos,lexicographic_risk_first,eod_deep_loss_rate,800,-0.12375,-0.13875,-0.10875,0.0,lower_better,5000,42,3776808110818181590
