n,n_days,top3_coverage,avg_picks_per_day,replacement_rate_vs_r1,candidate_veto_rate,fallback_pick_rate,net_mean,daily_net_mean,hit_rate,sl_first_rate,tp_first_rate,mfe10_rate,mfe20_rate,dn5_rate,safe_up10_rate,eod_deep_loss_rate,mfe_mean,mae_mean,cvar95,cum_net,max_drawdown,sharpe_sqrt365,cohort,policy,segment,safe_up10_retention_vs_r1,up10_retention_vs_r1
2400,800,1.0,3.0,0.0,0.0,0.0,-0.00786135519894712,-0.00786135519894712,0.325,0.5854166666666667,0.19791666666666666,0.13666666666666666,0.04125,0.33,0.11916666666666667,0.15375,0.05399586011229843,-0.044264791460074934,-0.031499999999999986,-0.9985273357041805,-0.9985905619135205,-6.623527632618619,d1_conservative_all_oos,R1_baseline,ALL,1.0,1.0
2400,800,1.0,3.0,0.35124999999999995,0.33,0.0,-0.005439559054889133,-0.005439559054889134,0.3616666666666667,0.5183333333333333,0.20041666666666666,0.11583333333333333,0.034583333333333334,0.285,0.10125,0.13333333333333333,0.0491511740659718,-0.03949416102859104,-0.031499999999999986,-0.9898086248998611,-0.9908475234438288,-4.407764648299699,d1_conservative_all_oos,veto_within_day_top_third,ALL,0.8496503496503497,0.8475609756097561
2400,800,1.0,3.0,0.030416666666666647,0.1239875,0.0,-0.0076131076176231775,-0.007613107617623176,0.3283333333333333,0.58125,0.19958333333333333,0.13333333333333333,0.04083333333333333,0.32625,0.1175,0.15208333333333332,0.053341852992562507,-0.04370520732349841,-0.031499999999999986,-0.9982026272404253,-0.9982797942272815,-6.399801265101047,d1_conservative_all_oos,veto_train_cal50,ALL,0.9860139860139859,0.9756097560975611
2400,800,1.0,3.0,0.8454166666666667,0.0,0.0,-0.002303708462269183,-0.002303708462269183,0.43125,0.21625,0.07208333333333333,0.017083333333333332,0.004583333333333333,0.06916666666666667,0.01625,0.03,0.02119970312696556,-0.020299115938317656,-0.031499999999999986,-0.860279710476353,-0.8619310101220286,-2.5096215241284123,d1_conservative_all_oos,lexicographic_risk_first,ALL,0.13636363636363635,0.125
540,180,1.0,3.0,0.0,0.0,0.0,-0.012767296112334297,-0.012767296112334294,0.24259259259259258,0.687037037037037,0.18333333333333332,0.16111111111111112,0.05555555555555555,0.3907407407407407,0.13333333333333333,0.18333333333333332,0.06124335440138551,-0.04796677142707919,-0.0315,-0.9040974844725822,-0.9087374294753954,-13.11664416939324,d1_conservative_locked_180,R1_baseline,ALL,1.0,1.0
540,180,1.0,3.0,0.45185185185185184,0.33,0.0,-0.007842893940569537,-0.007842893940569537,0.31296296296296294,0.5740740740740741,0.20555555555555555,0.14814814814814814,0.05,0.32037037037037036,0.12962962962962962,0.14444444444444443,0.055938205911795845,-0.041362176423422325,-0.0315,-0.7667269689360731,-0.7897228039992377,-7.278209354440326,d1_conservative_locked_180,veto_within_day_top_third,ALL,0.9722222222222222,0.9195402298850573
540,180,1.0,3.0,0.0037037037037036535,0.10122222222222221,0.0,-0.01261914796418615,-0.012619147964186148,0.24444444444444444,0.6851851851851852,0.18518518518518517,0.15925925925925927,0.053703703703703705,0.3888888888888889,0.13333333333333333,0.18333333333333332,0.060041507984867036,-0.04779544462053168,-0.0315,-0.9014569058313179,-0.9062246070207512,-12.99512009708395,d1_conservative_locked_180,veto_train_cal50,ALL,1.0,0.9885057471264368
540,180,1.0,3.0,0.962962962962963,0.0,0.0,-0.002940612324833237,-0.0029406123248332367,0.42407407407407405,0.19074074074074074,0.06111111111111111,0.012962962962962963,0.001851851851851852,0.05740740740740741,0.012962962962962963,0.025925925925925925,0.018438671585951888,-0.018460160093657033,-0.0315,-0.4242715858837983,-0.4327023699094976,-3.586467771547507,d1_conservative_locked_180,lexicographic_risk_first,ALL,0.09722222222222222,0.08045977011494253
1257,419,1.0,3.0,0.0,0.0,0.0,-0.0031666629652781476,-0.0031666629652781467,0.38027048528241847,0.5186953062848051,0.26332537788385046,0.15513126491646778,0.042163882259347654,0.3333333333333333,0.14399363564041368,0.1662688941925219,0.05579682013846505,-0.04543215655302435,-0.03150000000000001,-0.757799780944078,-0.7585263415641212,-2.933818252804317,m15_common_complete_all,R1_baseline,ALL,1.0,1.0
1257,419,1.0,3.0,0.41925218774860784,0.33,0.0,-0.0015400881283054607,-0.0015400881283054602,0.4081145584725537,0.46459824980111375,0.25218774860779636,0.12967382657120127,0.03420843277645187,0.2840095465393795,0.12251392203659507,0.13046937151949084,0.05044315692997238,-0.03984157959932895,-0.03150000000000001,-0.5239011934784299,-0.6166381030748759,-1.3701025261770685,m15_common_complete_all,veto_within_day_top_third,ALL,0.850828729281768,0.8358974358974359
