rule,date,market,regime,gross,net,outcome,hold_h,low_excursion
baseline,2024-04-03,KRW-BTC,bull_volatile,0.004674502618346121,0.0031745026183461213,eod,24.0,-0.014273369910361988
baseline,2024-04-04,KRW-BTC,bull_volatile,0.029626328988000328,0.028126328988000326,eod,24.0,-0.00936768149882905
baseline,2024-04-05,KRW-BTC,bull_volatile,-0.010568656041027746,-0.012068656041027746,eod,24.0,-0.026597616773090693
baseline,2024-04-06,KRW-BTC,bull_volatile,0.006484728363063574,0.004984728363063575,eod,24.0,-0.006505056665142006
baseline,2024-04-07,KRW-BTC,bull_volatile,0.0037272727272728012,0.002227272727272801,eod,24.0,-0.0002424242424242662
baseline,2024-04-08,KRW-BTC,bull_volatile,0.027493483883303638,0.025993483883303636,eod,24.0,-0.0027070816854350976
baseline,2024-04-09,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,15.0,-0.031406173444390006
baseline,2024-04-10,KRW-BTC,bull_volatile,0.011980806566809887,0.010480806566809888,eod,24.0,-0.01805671518675367
baseline,2024-04-11,KRW-BTC,bull_volatile,-0.0005964155425890461,-0.002096415542589046,eod,24.0,-0.0056659476545958265
baseline,2024-04-12,KRW-BTC,bull_volatile,-0.007618706610172832,-0.009118706610172831,eod,24.0,-0.01548606552485532
baseline,2024-04-13,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,2.0,-0.03290681920818905
baseline,2024-04-14,KRW-BTC,bull_volatile,0.018662519440124425,0.017162519440124424,eod,24.0,-0.01924958544900246
baseline,2024-04-15,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,19.25,-0.03263890994733698
baseline,2024-04-16,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,10.75,-0.03138920542836421
baseline,2024-04-17,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,14.5,-0.03657018525685951
baseline,2024-04-18,KRW-BTC,bull_volatile,0.020964796202933123,0.01946479620293312,eod,24.0,-0.015737267467929472
baseline,2024-04-19,KRW-BTC,bull_volatile,-0.03,-0.0315,sl,2.0,-0.0309234195648449
baseline,2024-04-20,KRW-BTC,bull_volatile,0.015151515151515138,0.013651515151515138,eod,24.0,-0.008298533033515354
baseline,2024-04-21,KRW-BTC,bull_quiet,0.0002952340784478924,-0.0012047659215521076,eod,24.0,-0.0055672711935892405
baseline,2024-04-22,KRW-BTC,bull_quiet,0.02403304148096641,0.02253304148096641,eod,24.0,-0.0030449579079347977
