policy,kind,net_mean,p_loss_lt_5,cvar95,hit,mean_win,p90,mdd,h_gt_5,mean_n_sell,pct_eod
bestnet_tp5_sl8,path,-0.0016906246459915425,0.3159163987138264,-0.0815,0.5691318327974276,0.04612,0.0485,-0.7174089745685228,0.0,1.0,0.1948017148981779
ladder_246_fl5,ladder,-0.0041284833764136525,0.3033226152197213,-0.0515,0.5294748124330118,0.02988,0.0385,-0.8744611099064369,0.0,2.192,0.08252947481243302
tp4_sl3,path,-0.004353298986197791,0.0,-0.031499999999999986,0.3871918542336549,0.03815,0.0385,-0.8727964657188217,0.0,1.0,0.014469453376205787
champ_tp5_sl3,path,-0.004667947929466086,0.0,-0.031499999999999986,0.33735262593783494,0.04741,0.0485,-0.8895694890599922,0.0,1.0,0.02090032154340836
tp3_sl3,path,-0.004746079519067622,0.0,-0.031499999999999986,0.4442658092175777,0.02834,0.0285,-0.889286606029553,0.0,1.0,0.012057877813504822
ladder_246_fl3,ladder,-0.004973574945878327,0.0,-0.031499999999999986,0.3879957127545552,0.0305,0.0385,-0.8990521209737327,0.0,1.909,0.02572347266881029
tp2_sl3,path,-0.0050178155713627255,0.0,-0.031499999999999986,0.527599142550911,0.01847,0.0185,-0.9014428695289922,0.0,1.0,0.006430868167202572
ladder_123_fl3,ladder,-0.005679832151997315,0.0,-0.031499999999999986,0.447481243301179,0.01833,0.0185,-0.9202569643517597,0.0,2.13,0.012057877813504822
trail5,trail,-0.006092407355969264,0.06270096463022508,-0.05150000000000007,0.33440514469453375,0.0386,0.04032,-0.935540350437588,0.07931404072883172,1.0,0.03804930332261522
half5_rest10_fl5,ladder,-0.007182678987227333,0.49062165058949625,-0.0515,0.32315112540192925,0.05904,0.0735,-0.9657091323783741,0.22802786709539122,1.444,0.15166130760986066
half5_restEOD_fl3,ladder,-0.007672242272499742,0.0,-0.031499999999999986,0.33735262593783494,0.0385,0.04216,-0.9677676849581152,0.08360128617363344,1.328,0.1602357984994641
third5_rest_fl3,ladder,-0.008673673720177624,0.0,-0.031499999999999986,0.1489817792068596,0.08657,0.04004,-0.9797540931873154,0.08440514469453377,1.328,0.1602357984994641
hold_eod,path,-0.02143256804279109,0.4142550911039657,-0.22886526774210167,0.34646302250803857,0.08585,0.08909,-0.9999707899690571,0.15943193997856378,1.0,1.0
