scope,fold,policy,n,dates,safe_fp_rate,path_dn5_rate,path_up10_rate,sl_first_rate,bracket_net_mean
discovery_oof,0,R1_repaired,99,33,0.010101010101010102,0.0707070707070707,0.010101010101010102,0.21212121212121213,-0.006432728740432719
discovery_oof,0,fp_atr_head,99,33,0.09090909090909091,0.24242424242424243,0.10101010101010101,0.42424242424242425,-0.0024811135514106143
discovery_oof,0,fp_fixed_head,99,33,0.1414141414141414,0.42424242424242425,0.15151515151515152,0.6060606060606061,-0.005836419206503084
discovery_oof,1,R1_repaired,102,34,0.10784313725490197,0.30392156862745096,0.11764705882352941,0.47058823529411764,-0.008652463422401988
discovery_oof,1,fp_atr_head,102,34,0.16666666666666666,0.3627450980392157,0.18627450980392157,0.5,-0.005432115080706863
discovery_oof,1,fp_fixed_head,102,34,0.28431372549019607,0.5294117647058824,0.30392156862745096,0.6078431372549019,-0.004649187432231703
discovery_oof,2,R1_repaired,93,31,0.0967741935483871,0.34408602150537637,0.11827956989247312,0.5053763440860215,-0.0013132054820695924
discovery_oof,2,fp_atr_head,93,31,0.1827956989247312,0.3870967741935484,0.22580645161290322,0.5268817204301075,-0.0024363768018366237
discovery_oof,2,fp_fixed_head,93,31,0.21505376344086022,0.5161290322580645,0.27956989247311825,0.5698924731182796,0.001082485758591835
discovery_oof,3,R1_repaired,99,33,0.1717171717171717,0.2727272727272727,0.1717171717171717,0.494949494949495,4.515683910374516e-05
discovery_oof,3,fp_atr_head,99,33,0.0707070707070707,0.40404040404040403,0.09090909090909091,0.5858585858585859,-0.009359618317924378
discovery_oof,3,fp_fixed_head,99,33,0.20202020202020202,0.5959595959595959,0.23232323232323232,0.6464646464646465,-0.0040406985912373895
discovery_oof,4,R1_repaired,96,32,0.1875,0.3020833333333333,0.19791666666666666,0.4895833333333333,-9.506044429872538e-05
discovery_oof,4,fp_atr_head,96,32,0.28125,0.5,0.3229166666666667,0.5833333333333334,-0.0025337768325121445
discovery_oof,4,fp_fixed_head,96,32,0.3229166666666667,0.4583333333333333,0.3541666666666667,0.4895833333333333,0.005158505198813715
locked_holdout,-1,ATR_top3,495,165,0.1919191919191919,0.4080808080808081,0.21818181818181817,0.5434343434343434,-0.0015751131396022737
locked_holdout,-1,R1_repaired,495,165,0.1717171717171717,0.3111111111111111,0.18181818181818182,0.4727272727272727,-0.0011775212184706614
locked_holdout,-1,fp_fixed_head,495,165,0.23636363636363636,0.5797979797979798,0.2868686868686869,0.5777777777777777,0.0003086726695971065
locked_holdout,-1,liquidity_matched,495,165,0.09494949494949495,0.34545454545454546,0.11717171717171718,0.4888888888888889,-0.004683395123619133
locked_holdout,-1,monkey_seed42,495,165,0.07676767676767676,0.23434343434343435,0.08282828282828283,0.4626262626262626,-0.003379621121232972
locked_holdout,-1,safeup_head,495,165,0.18585858585858586,0.498989898989899,0.2202020202020202,0.5676767676767677,7.003808417824068e-05
