segment,threshold_pct,n_samples,n_hits,hit_rate_pct,first_15m_share_of_hits_pct,first_30m_share_of_hits_pct,first_1h_share_of_hits_pct,first_4h_share_of_hits_pct,median_first_hit_minute,p75_first_hit_minute
all_market_days,3.0,69234,27721,40.039575930901,12.228996067962916,16.39551242740161,21.492731142455177,40.29796904873562,360.0,795.0
all_market_days,5.0,69234,15838,22.87604356241153,11.497663846445258,15.551205960348529,20.501325924990528,35.24434903396894,465.0,870.0
all_market_days,10.0,69234,5510,7.958517491405957,10.399274047186932,14.337568058076226,18.8021778584392,32.66787658802178,510.0,900.0
all_market_days,20.0,69234,1402,2.025016610335962,8.98716119828816,11.982881597717546,16.904422253922966,33.309557774607704,480.0,810.0
distribution_alerts,3.0,1231,783,63.6068237205524,33.205619412515965,43.039591315453386,50.191570881226056,69.8595146871009,45.0,307.5
distribution_alerts,5.0,1231,583,47.35987002437043,25.38593481989708,32.24699828473413,40.13722126929674,58.83361921097771,135.0,517.5
distribution_alerts,10.0,1231,267,21.689683184402924,13.48314606741573,20.59925093632959,25.842696629213485,49.43820224719101,240.0,720.0
distribution_alerts,20.0,1231,90,7.311129163281885,4.444444444444445,8.88888888888889,14.444444444444443,35.55555555555556,435.0,896.25
alerts_S01,3.0,625,418,66.88,34.44976076555024,48.32535885167464,55.980861244019145,76.07655502392345,30.0,225.0
alerts_S01,5.0,625,315,50.4,23.809523809523807,33.01587301587301,42.53968253968254,63.49206349206349,105.0,457.5
alerts_S01,10.0,625,142,22.720000000000002,9.859154929577464,19.718309859154928,27.464788732394368,52.112676056338024,187.5,716.25
alerts_S01,20.0,625,48,7.68,4.166666666666666,10.416666666666668,14.583333333333334,37.5,397.5,840.0
alerts_S02,3.0,1181,750,63.50550381033023,33.33333333333333,42.93333333333334,50.0,69.73333333333333,52.5,315.0
alerts_S02,5.0,1181,558,47.24809483488569,25.627240143369175,32.795698924731184,40.50179211469534,58.96057347670251,135.0,525.0
alerts_S02,10.0,1181,258,21.8458933107536,13.565891472868216,20.930232558139537,26.356589147286826,50.3875968992248,225.0,720.0
alerts_S02,20.0,1181,87,7.366638441998306,4.597701149425287,9.195402298850574,14.942528735632186,36.7816091954023,405.0,892.5
alerts_S03,3.0,439,312,71.07061503416855,32.69230769230769,45.19230769230769,53.52564102564102,74.35897435897436,30.0,240.0
alerts_S03,5.0,439,226,51.48063781321185,23.451327433628318,32.30088495575221,41.150442477876105,63.27433628318584,105.0,446.25
alerts_S03,10.0,439,112,25.512528473804103,5.357142857142857,15.178571428571427,23.214285714285715,51.78571428571429,217.5,712.5
alerts_S03,20.0,439,38,8.656036446469248,2.631578947368421,7.894736842105263,13.157894736842104,42.10526315789473,337.5,821.25
