regime_subset,T,C,DD,H,n_total,n_hit,n_success,base_rate_pct,hit_rate_pct,avg_no_hit_eod_pct,worst5_no_hit_eod_pct,avg_post_hit_fail_eod_pct,avg_hit_time_h,avg_pre_hit_dd_pct_when_success
all,3,0,2,4,163546,25872,13936,8.521150012840424,15.819402492265173,-0.5410099505464525,-6.689310880348616,-1.1200929165750653,4.0,-0.6562238606907006
bull_quiet_bull_volatile,3,0,2,4,90861,14219,7550,8.309395670309595,15.649178415381737,-0.4747438861617946,-6.973522913925034,-1.0908899214934908,4.0,-0.6931164543787895
all,3,0,2,8,163546,35825,19651,12.015579714575715,21.905152067308283,-0.8129036891201582,-6.836964688204361,-0.5386148349920798,5.163299577629637,-0.7091074979786158
bull_quiet_bull_volatile,3,0,2,8,90861,20093,10798,11.8840866818547,22.1139983051034,-0.769465690249126,-7.166198548722745,-0.43853361387137973,5.203185775143545,-0.7505536209144512
all,3,0,2,12,163546,44292,24669,15.083829625915646,27.08228877502354,-1.0738276491724643,-6.976744186046506,-0.1743873651086838,6.553974624022052,-0.7494451969301839
bull_quiet_bull_volatile,3,0,2,12,90861,24872,13562,14.926095904733605,27.373680677078177,-1.0562121211914512,-7.314312581617803,-0.007305359446117353,6.58840878926412,-0.7883241140774618
all,3,0,2,24,163546,62855,34851,21.30960096853485,38.43261223142113,-1.8560576436278675,-7.426052226512303,0.7238261964851442,10.17049725976299,-0.8198450906868071
bull_quiet_bull_volatile,3,0,2,24,90861,36136,19384,21.33368551963989,39.770638667855295,-1.980618947733519,-7.856322406239251,1.0564194440375372,10.30685101114321,-0.8543495127051902
all,3,0,3,4,163546,25872,15602,9.539823658175681,15.819402492265173,-0.5410099505464525,-6.689310880348616,-2.2337421968856854,4.0,-0.8463864596334287
bull_quiet_bull_volatile,3,0,3,4,90861,14219,8536,9.394569727385788,15.649178415381737,-0.4747438861617946,-6.973522913925034,-2.2703128364863687,4.0,-0.8928767587387229
all,3,0,3,8,163546,35825,22208,13.579054211047655,21.905152067308283,-0.8129036891201582,-6.836964688204361,-1.6832580342210697,5.189841498559078,-0.9088626094831538
bull_quiet_bull_volatile,3,0,3,8,90861,20093,12389,13.635112974763649,22.1139983051034,-0.769465690249126,-7.166198548722745,-1.6784621875660415,5.244006780208249,-0.9671691394364298
all,3,0,3,12,163546,44292,28164,17.22084306555954,27.08228877502354,-1.0738276491724643,-6.976744186046506,-1.338788299272367,6.630024144297685,-0.9594562646792402
bull_quiet_bull_volatile,3,0,3,12,90861,24872,15752,17.33637094022738,27.373680677078177,-1.0562121211914512,-7.314312581617803,-1.2675301486115806,6.686389029964449,-1.0174702550323684
all,3,0,3,24,163546,62855,41210,25.197803676029984,38.43261223142113,-1.8560576436278675,-7.426052226512303,-0.39454567358094766,10.541907304052414,-1.0711393199851351
bull_quiet_bull_volatile,3,0,3,24,90861,36136,23387,25.73931609821596,39.770638667855295,-1.980618947733519,-7.856322406239251,-0.067774123809588,10.70013255227263,-1.127420324658982
