regime_subset,liq_tier,T,C,DD,H,n_total,n_hit,n_success,base_rate_pct,hit_rate_pct,lift_vs_all,avg_no_hit_eod_pct,worst5_no_hit_eod_pct,avg_post_hit_fail_eod_pct,worst5_post_hit_fail_eod_pct,avg_hit_time_h_success,avg_pre_hit_dd_pct_success,hit_bar_0_pct,hit_bar_1_pct,hit_bar_2_pct,hit_bar_3_pct,hit_bar_4_pct,hit_bar_5_pct
all,top50,3,0,2,4,55900,16409,8905,15.930232558139535,29.354203935599283,1.869493264891998,-0.3177428961652686,-7.9038466826143186,-1.0236337917839404,-10.884105843075718,4.0,-0.6510650462994854,100.0,0.0,0.0,0.0,0.0,0.0
all,top100,3,0,2,4,111713,22847,12291,11.002300537985732,20.451514147861037,1.291175548066457,-0.47304267711314646,-7.11411527481538,-1.1566603610141808,-9.993294590970045,4.0,-0.6632192863179652,100.0,0.0,0.0,0.0,0.0,0.0
all,top200,3,0,2,4,157504,25730,13857,8.797871800081268,16.33609305160504,1.032474699638412,-0.5373348712196224,-6.758313515051732,-1.1421975568003664,-9.72559339933248,4.0,-0.6565996245025155,100.0,0.0,0.0,0.0,0.0,0.0
all,all,3,0,2,4,163546,25872,13936,8.521150012840424,15.819402492265173,,-0.5410099505464525,-6.689310880348616,-1.1200929165750653,-9.697160014425945,4.0,-0.6562238606907006,100.0,0.0,0.0,0.0,0.0,0.0
bull_all,top50,3,0,2,4,33000,9605,5160,15.636363636363637,29.10606060606061,1.8350062623943222,-0.2643616429250653,-8.160569756276011,-0.9578906234382333,-10.883449140978597,4.0,-0.6788852052694625,100.0,0.0,0.0,0.0,0.0,0.0
bull_all,top100,3,0,2,4,66000,13204,7028,10.648484848484848,20.006060606060604,1.2496534895452807,-0.4372222478214733,-7.344914297079782,-1.0876209495479632,-10.024400540644141,4.0,-0.6955727887364389,100.0,0.0,0.0,0.0,0.0,0.0
bull_all,top200,3,0,2,4,90469,14214,7549,8.344294730791763,15.711459173860659,0.9792451392379948,-0.47230747492553565,-6.97084133545718,-1.0913901726179767,-9.870537512613216,4.0,-0.6932082700436959,100.0,0.0,0.0,0.0,0.0,0.0
bull_all,all,3,0,2,4,90861,14219,7550,8.309395670309595,15.649178415381737,0.9751495581920586,-0.4747438861617946,-6.973522913925034,-1.0908899214934908,-9.868463560258284,4.0,-0.6931164543787895,100.0,0.0,0.0,0.0,0.0,0.0
bull_quiet,top50,3,0,2,4,19500,5413,2791,14.312820512820512,27.75897435897436,1.6796817907503898,-0.4619404723392286,-8.289607580595328,-1.3679352807879626,-11.224440833561705,4.0,-0.6738657167895401,100.0,0.0,0.0,0.0,0.0,0.0
bull_quiet,top100,3,0,2,4,39000,7409,3808,9.764102564102565,18.997435897435896,1.1458667608702053,-0.5832657826160903,-7.413941678848962,-1.4389224604666457,-10.166406656266258,4.0,-0.6883106458703722,100.0,0.0,0.0,0.0,0.0,0.0
bull_quiet,top200,3,0,2,4,57986,8109,4139,7.137929845135033,13.984410030007243,0.8376721257552052,-0.5988510880828705,-6.900906274055535,-1.4117122811149285,-9.82520090003214,4.0,-0.6861033506044546,100.0,0.0,0.0,0.0,0.0,0.0
bull_quiet,all,3,0,2,4,58253,8112,4139,7.105213465400924,13.925463066279848,0.8338326933212252,-0.6030386088057601,-6.9099756690997545,-1.4111474151595975,-9.819222115075533,4.0,-0.6861033506044546,100.0,0.0,0.0,0.0,0.0,0.0
bull_volatile,top50,3,0,2,4,13500,4192,2369,17.548148148148147,31.051851851851854,2.0593638325466683,0.03465994817477564,-7.921045433400713,-0.3681280937777891,-10.448568046330937,4.0,-0.6847988364840949,100.0,0.0,0.0,0.0,0.0,0.0
bull_volatile,top100,3,0,2,4,27000,5795,3220,11.925925925925926,21.462962962962965,1.399567653187056,-0.21964802911377496,-7.26031793130355,-0.5963445453467298,-9.916915003987533,4.0,-0.7041610620389179,100.0,0.0,0.0,0.0,0.0,0.0
bull_volatile,top200,3,0,2,4,32483,6105,3410,10.497798848628513,18.7944463257704,1.2319697262469853,-0.23303172265286962,-7.119161411115489,-0.61952420945178,-9.892466357479561,4.0,-0.7018321004129099,100.0,0.0,0.0,0.0,0.0,0.0
bull_volatile,all,3,0,2,4,32608,6107,3411,10.460623159960745,18.72853287536801,1.2276069713827067,-0.23200490695002643,-7.1120689655172376,-0.6189377618735195,-9.891201122962489,4.0,-0.7016263448865501,100.0,0.0,0.0,0.0,0.0,0.0
all,top50,3,0,2,8,55900,20947,11323,20.25581395348837,37.47227191413238,1.6857958113262477,-0.8504472605805493,-8.183534012349986,-0.3614164089288785,-10.06070500793764,4.854190585533869,-0.7055027670830235,78.33579987587721,21.664200124122786,0.0,0.0,0.0,0.0
all,top100,3,0,2,8,111713,30624,16639,14.894416943417507,27.41310321985803,1.2395920377732226,-0.820197912743222,-7.299936742957875,-0.5618773109862948,-9.142242703533029,5.045255123505019,-0.7172400385382751,74.60488505747126,25.395114942528735,0.0,0.0,0.0,0.0
all,top200,3,0,2,8,157504,35576,19497,12.378733238520926,22.587362860625763,1.030223554133196,-0.8189827635239701,-6.906858320808008,-0.5568529366137924,-8.80893772354223,5.157101092475766,-0.7106303164346031,72.32403867776029,27.67596132223971,0.0,0.0,0.0,0.0
