K,cell,kind,floor,cost_tier,extra_slip,mean_n_sell,n,p_loss_lt_5,cvar95,worst,mdd,net_mean,cum,hit,sortino,mean_win,p90_net,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5
3,A,single,0.03,base,0.0,1.0,3732,0.0,-0.031499999999999986,-0.0315,-0.8895694890599922,-0.004667947929466086,-0.878082423863055,0.33735262593783494,-3.5013586434701387,0.04741,0.0485,0.0,0.0,0.662647374062165,0.33735262593783494,0.0
3,L3,ladder,0.03,base,0.0,1.909,3732,0.0,-0.031499999999999986,-0.03149999999999999,-0.8990521209737327,-0.004973574945878327,-0.8891816227124072,0.3879957127545552,-4.273843752289735,0.0305,0.0385,0.0,0.0,0.6120042872454448,0.3879957127545552,0.0
3,L5,ladder,0.05,base,0.0,2.192,3732,0.3033226152197213,-0.0515,-0.051500000000000004,-0.8744611099064369,-0.0041284833764136525,-0.8494405326371275,0.5294748124330118,-2.5949690639862024,0.02988,0.0385,0.0,0.3033226152197213,0.16720257234726688,0.5294748124330118,0.0
3,S5,single,0.05,base,0.0,1.0,3732,0.49062165058949625,-0.0515,-0.051500000000000004,-0.8861384719059772,-0.004224412656790916,-0.8669609038621666,0.4654340836012862,-2.221222355744778,0.04689,0.0485,0.0,0.49062165058949625,0.04394426580921758,0.4654340836012862,0.0
3,A,single,0.03,base,0.0002,1.0,3732,0.0,-0.031499999999999986,-0.0315,-0.8895694890599922,-0.004667947929466086,-0.878082423863055,0.33735262593783494,-3.5013586434701387,0.04741,0.0485,0.0,0.0,0.662647374062165,0.33735262593783494,0.0
3,L3,ladder,0.03,base,0.0002,1.909,3732,0.0,-0.031499999999999986,-0.03149999999999999,-0.9060543932420315,-0.005155407743305979,-0.8972663138837836,0.3879957127545552,-4.426410755339049,0.03011,0.0381,0.0,0.0,0.6120042872454448,0.3879957127545552,0.0
3,L5,ladder,0.05,base,0.0002,2.192,3732,0.3033226152197213,-0.0515,-0.051500000000000004,-0.8858099738250502,-0.004366961404280745,-0.8637019650849397,0.5286709539121115,-2.7424561369126526,0.02954,0.0381,0.0,0.3033226152197213,0.1680064308681672,0.5286709539121115,0.0
3,S5,single,0.05,base,0.0002,1.0,3732,0.49062165058949625,-0.0515,-0.051500000000000004,-0.8861384719059772,-0.004224412656790916,-0.8669609038621666,0.4654340836012862,-2.221222355744778,0.04689,0.0485,0.0,0.49062165058949625,0.04394426580921758,0.4654340836012862,0.0
3,A,single,0.03,base,0.0005,1.0,3732,0.0,-0.031499999999999986,-0.0315,-0.8895694890599922,-0.004667947929466086,-0.878082423863055,0.33735262593783494,-3.5013586434701387,0.04741,0.0485,0.0,0.0,0.662647374062165,0.33735262593783494,0.0
3,L3,ladder,0.03,base,0.0005,1.909,3732,0.0,-0.031499999999999986,-0.03149999999999999,-0.9156604631219917,-0.005428156939447458,-0.908304193112363,0.3879957127545552,-4.65469394415171,0.02951,0.0375,0.0,0.0,0.6120042872454448,0.3879957127545552,0.0
