K,cell,fold,n,net_mean,p_loss_lt_5,cvar95,mdd
3,A,1,633,-0.004492409862202451,0.0,-0.0315,-0.6418915096259624
3,A,2,1257,-0.004733301955122628,0.0,-0.03150000000000001,-0.8895694890599922
3,A,3,1233,-0.0047313548723350715,0.0,-0.03150000000000001,-0.8815640786846709
3,A,4,609,-0.004587134835492599,0.0,-0.03149999999999999,-0.6643897924419916
3,L3,1,633,-0.005081412508827985,0.0,-0.03149999999999999,-0.678096442533714
3,L3,2,1257,-0.005039303906484023,0.0,-0.03150000000000001,-0.8990521209737327
3,L3,3,1233,-0.005008168432373952,0.0,-0.03150000000000001,-0.8899881422382436
3,L3,4,609,-0.0046557814324504135,0.0,-0.031499999999999986,-0.6636031470579764
3,L5,1,633,-0.005001318927766861,0.31121642969984203,-0.051500000000000004,-0.6797761039393219
3,L5,2,1257,-0.004196244729060467,0.3038981702466189,-0.05149999999999998,-0.8744611099064369
3,L5,3,1233,-0.004101628044269587,0.3033252230332522,-0.05149999999999998,-0.8596943555933381
3,L5,4,609,-0.003135760388318421,0.2939244663382594,-0.05150000000000003,-0.5798784839810315
3,S5,1,633,-0.005142216623172013,0.49447077409162715,-0.051500000000000004,-0.7085167307054211
3,S5,2,1257,-0.004309484593983191,0.4916467780429594,-0.05149999999999998,-0.8861384719059772
3,S5,3,1233,-0.004220570775239221,0.4906731549067315,-0.05149999999999998,-0.8725097289922507
3,S5,4,609,-0.003102625635745463,0.48440065681444994,-0.05150000000000003,-0.5716967557616615
5,A,1,1055,-0.00424498505113856,0.0,-0.03150000000000001,-0.6112022777377082
5,A,2,2095,-0.0040893004163164845,0.0,-0.031499999999999986,-0.8457047280873387
5,A,3,2055,-0.0040618415436413785,0.0,-0.03149999999999998,-0.8359935401687691
5,A,4,1015,-0.0036464287125436983,0.0,-0.03150000000000001,-0.5644729633871473
5,L3,1,1055,-0.004716337431441807,0.0,-0.03150000000000001,-0.6434965708092425
5,L3,2,2095,-0.004450582216749153,0.0,-0.031499999999999986,-0.8634083420224243
5,L3,3,2055,-0.004435464661328769,0.0,-0.03149999999999998,-0.854215865452344
5,L3,4,1015,-0.003902200742776719,0.0,-0.0315,-0.5804521980178293
5,L5,1,1055,-0.004622466255239839,0.2966824644549763,-0.05149999999999999,-0.6437006105068881
5,L5,2,2095,-0.003994253820202044,0.2935560859188544,-0.0515,-0.8504237671459463
5,L5,3,2055,-0.004037295137845902,0.2934306569343066,-0.05149999999999999,-0.8457512538562707
5,L5,4,1015,-0.0031990739436969554,0.28866995073891627,-0.05149999999999999,-0.5484116588990396
5,S5,1,1055,-0.0049601051299544285,0.4777251184834123,-0.05149999999999999,-0.67641068443321
5,S5,2,2095,-0.004258537643610421,0.477326968973747,-0.0515,-0.872337818313785
5,S5,3,2055,-0.004332029163056346,0.4778588807785888,-0.05149999999999999,-0.8682169590435577
5,S5,4,1015,-0.003383769113368538,0.4748768472906404,-0.05149999999999999,-0.573938486230385
