label,feature,threshold,n_folds_ok,base_mean,prec_mean,lift_mean,lift_min,lift_std,recall_mean,sel_rate_mean,n_sel_total,folds_lift_gt1
pump15,qv_zscore_30d,3.0,5,0.0316495241344245,0.11285499275961844,3.6237695233064544,3.372458185907738,0.27090533675619277,0.12053396995163095,0.03348904077555638,5100,5
pump15,qv_ratio_med_30d,5.0,5,0.03143680752145912,0.10995247325360487,3.5762368242828257,2.9682608427309845,0.4157504789074102,0.2785801039781448,0.079180944789819,12285,5
pump15,qv_ratio_med_14d,5.0,5,0.03175720212668839,0.10992688237813038,3.5124992959021357,2.9328501093334958,0.35537495608179787,0.21904376790930596,0.06303360339503425,10041,5
pump15,qv_ratio_med_7d,5.0,5,0.032023998074162535,0.10452842795079931,3.2931827571731858,3.098312346731321,0.21215416274912333,0.16388716730372435,0.050124240686168796,8097,5
pump15,qv_zscore_30d,2.0,5,0.0316495241344245,0.09507153903678442,2.983563991528183,2.7818215305707668,0.13168910495910757,0.1712616073760636,0.057318402046321215,8630,5
pump15,qv_ratio_med_30d,3.0,5,0.03143680752145912,0.0890487049000817,2.8777621448987496,2.57983917500265,0.2419916765210725,0.3742626097650422,0.1315108451499035,20111,5
pump15,qv_ratio_med_14d,3.0,5,0.03175720212668839,0.08903654317807061,2.835715586160418,2.5967590491165216,0.1924218498749287,0.30332358911562796,0.10772239624236665,16873,5
pump15,qv_ratio_med_max_3d,8.0,5,0.03175720212668839,0.08722044951648278,2.815163838412078,2.2590328302097364,0.3601109198111923,0.2380029164037823,0.08622485103914944,13925,5
pump15,qv_ratio_med_7d,3.0,5,0.032023998074162535,0.08598204019206357,2.718296372569309,2.573256826662534,0.17341134733865896,0.23530397629788694,0.08706133098493994,13843,5
pump15,qv_ratio_med_max_3d,5.0,5,0.03175720212668839,0.07767687393150005,2.496755518583176,2.0745858950860416,0.2740638105316103,0.3286870838556452,0.13343294093424443,21246,5
pump15,qv_zscore_30d,1.0,5,0.0316495241344245,0.07743624254185491,2.4238498458581192,2.2745481926431563,0.10320825802862199,0.25793878017556204,0.1065086474584708,15943,5
pump15,qv_rank_jump_3d,0.3,5,0.03193573798703232,0.07271289622274614,2.3414139926614803,1.8378194924308306,0.37511269673397507,0.16726339284872815,0.0726291966173437,11403,5
pump15,qv_ratio_med_14d,2.0,5,0.03175720212668839,0.0725061343220586,2.306184932015919,2.166524758185066,0.1403973832793856,0.3945874346903896,0.17200634919020064,26670,5
pump15,qv_ratio_med_30d,2.0,5,0.03143680752145912,0.07198854595614622,2.2991393711362917,2.1760366895624266,0.10748175814326785,0.46006260993065506,0.20092202613056043,30542,5
pump15,qv_rank_xs,0.95,5,0.03221163338232962,0.07496791614552258,2.287852059509766,1.7951069834501476,0.377375564288959,0.12426072627310907,0.05424498433430125,8455,5
pump15,qv_ratio_med_7d,2.0,5,0.032023998074162535,0.07073288507446704,2.225821360110682,2.1543551555815648,0.08204064301362383,0.3229321862880434,0.14544097290290564,22847,5
pump15,qv_rank_xs,0.9,5,0.03221163338232962,0.07100058710966432,2.190851797129047,1.8626385806159735,0.25828863847302075,0.2277867238649681,0.10400684457109918,16306,5
pump15,qv_ratio_med_max_3d,3.0,5,0.03175720212668839,0.06390489149574731,2.048544190215438,1.79999689552942,0.18362122905218184,0.44454517303105356,0.21882841459304006,34313,5
pump15,qv_rank_jump_3d,0.2,5,0.03193573798703232,0.062152827368272115,1.9910011245019479,1.6729699735634205,0.24764054327579313,0.2335508695228164,0.11860487022778884,18600,5
