feature,direction,oos_base,oos_sel_prec,oos_lift,oos_sel_n,n_folds_used,lift_min_fold,lift_std
breadth15_lag1,high,0.3070588235294114,0.6235294117647034,2.03065134098955,255,5,1.3907914764046312,0.6728930995549302
breadth20_lag1,high,0.3070588235294114,0.6129032258064494,1.9960449882520537,279,5,1.4529914529880226,0.7418649682562707
breadth20_ma3,high,0.3070588235294114,0.5498392282958181,1.7906641534479844,311,5,1.304091266715543,0.6307377912685982
qv_zscore_30,high,0.3070588235294114,0.5349999999999974,1.7423371647452772,200,5,1.3117283950586314,0.41284307425609584
qv_trend_7_30,high,0.3070588235294114,0.5252525252525226,1.7105925151846393,198,5,1.0545905707167116,0.8124466740521346
breadth20_ma7,high,0.3070588235294114,0.5029069767441845,1.6378196560581044,344,5,1.1574074074046747,0.5782852962185169
breadth20_ma14,high,0.3070588235294114,0.47765363128491484,1.5555769601182219,358,5,1.2484035759868355,0.779533875025915
btc_ma_distance_d1,high,0.2960784313725484,0.4470588235294091,1.5099337748293316,170,3,0.979262672808375,0.5786513739423143
breadth20_mom_3_14,high,0.3070588235294114,0.4623655913978478,1.5057883244708474,279,5,1.2619731800736487,0.17466613672533993
n_pump20_ma3,high,0.3070588235294114,0.44936708860759395,1.4634560356904651,474,5,1.1187096774162875,0.6107609075008176
n_pump20_lag1,high,0.3070588235294114,0.4465020576131678,1.4541254749806787,486,5,1.1290322580614205,0.5678397490250687
adv_ratio_ma7,high,0.3070588235294114,0.4444444444444422,1.4474244359254638,198,5,1.3201911588972166,0.22245690005661542
btc_ret_14d_d1,high,0.3070588235294114,0.4343891402714913,1.4146772767416307,221,5,1.1111111111084877,0.5213560761373812
btc_intensity_d1,high,0.35576923076923017,0.4916666666666626,1.3819819819780885,120,4,1.0381125226831844,0.5164267476226082
adv_ratio_ma3,high,0.3070588235294114,0.418918918918917,1.3642953298081237,222,5,1.0545905707167116,0.39564981130585714
n_pump20_ma7,high,0.3070588235294114,0.4132553606237809,1.3458507912991196,513,5,1.0472670250867342,0.5620321807147062
