feature,direction,oos_base,oos_sel_prec,oos_lift,oos_sel_n,n_folds_used,lift_min_fold,lift_std
breadth15_lag1,high,0.2117647058823527,0.5706214689265504,2.6946013810293223,177,5,1.6190476190415026,1.6830623343296303
breadth20_lag1,high,0.2117647058823527,0.5365853658536559,2.5338753387414124,205,5,1.6075650118142581,1.3091144536168047
breadth20_ma3,high,0.2117647058823527,0.5072463768115918,2.395330112710097,207,5,1.2844444444395924,1.5549610260724358
qv_trend_7_30,high,0.20147058823529382,0.4374999999999961,2.171532846704534,112,4,1.3333333333282964,1.1122282568859758
breadth20_ma7,high,0.2117647058823527,0.4401913875598065,2.0786815523559397,209,5,1.3178294573593627,1.6313805971550426
qv_zscore_30,high,0.2117647058823527,0.42857142857142555,2.023809523799955,140,5,1.4825581395290226,0.6286313319349159
n_pump20_lag1,high,0.2117647058823527,0.4107648725212453,1.9397230091189452,353,5,1.416666666661315,1.472487744126746
breadth20_ma14,high,0.2117647058823527,0.39999999999999836,1.8888888888799635,245,5,1.2391530718451533,1.4661427941504086
breadth20_mom_3_14,high,0.2117647058823527,0.3947368421052611,1.8640350877104883,190,5,1.2252252252205968,0.577399777041598
n_pump20_ma3,high,0.2117647058823527,0.39106145251396535,1.8466790813072291,358,5,1.2483091787392455,1.2108296473112592
adv_ratio_ma7,high,0.2117647058823527,0.38571428571428296,1.8214285714199594,140,5,1.2354651162741854,0.5110423506927723
n_pump20_ma7,high,0.2117647058823527,0.38328530259365884,1.8099583733503997,347,5,1.1182222222179978,1.7013262469966217
btc_ret_3d_d1,high,0.2117647058823527,0.33812949640287526,1.5967226218949282,139,5,1.1497584541019368,0.6112628598217258
median_day_ret_raw_lag1,high,0.2117647058823527,0.33333333333333137,1.5740740740666335,171,5,1.0937499999941893,0.5683388778924854
adv_ratio_ma3,high,0.2117647058823527,0.3333333333333309,1.5740740740666312,135,5,0.7555555555527014,0.7959612903125265
btc_ret_1d_d1,high,0.2117647058823527,0.3291925465838489,1.5545203588608363,161,5,1.2073863636299493,0.5238318160902689
btc_ma_distance_d1,high,0.20196078431372508,0.29752066115702236,1.4731605552362175,121,3,0.608228980319599,0.8561776141086084
btc_ret_7d_d1,high,0.2117647058823527,0.29927007299269853,1.4132197891255156,137,5,0.6589147286795656,0.7438738696575523
btc_ret_14d_d1,high,0.20588235294117604,0.2909090909090883,1.41298701298014,110,3,1.1333333333290518,0.5595116853414681
adv_ratio_raw_lag1,high,0.2117647058823527,0.28387096774193366,1.3405017921083582,155,5,0.8568548387051254,0.3779258203647983
btc_rv_30d_d1,high,0.21764705882352908,0.2798165137614666,1.2856434416008333,218,4,0.8927231807916696,0.3638993689832189
btc_ret_14d_d1,low,0.2117647058823527,0.24663677130044734,1.164673642246614,223,5,0.13934426229389754,0.8338529084574665
btc_ret_7d_d1,low,0.2117647058823527,0.24120603015075257,1.1390284757065097,199,5,0.4811320754676085,0.40130535845624504
btc_intensity_d1,high,0.23717948717948667,0.2692307692307658,1.135135135130337,78,3,0.4444444444418766,0.5102175948213185
decouple_d1,high,0.2117647058823527,0.23837209302325443,1.1256459948267206,172,5,1.0050675675622283,0.10838694840626276
btc_ma_distance_d1,low,0.23529411764705846,0.2534246575342457,1.0770547945159683,292,4,0.22972972972875338,1.2807537080237439
btc_ret_3d_d1,low,0.2117647058823527,0.1874999999999991,0.8854166666624824,208,5,0.33333333333049997,0.3712739950460057
adv_ratio_ma7,low,0.2117647058823527,0.1780821917808211,0.8409436834054629,219,5,0.3541666666636562,0.36535055366901553
btc_ret_1d_d1,low,0.2117647058823527,0.17307692307692224,0.8173076923038298,208,5,0.5312499999977421,0.32471453396577865
median_day_ret_raw_lag1,low,0.2117647058823527,0.16355140186915812,0.7723260643784894,214,5,0.5047006432439226,0.2480498903419281
breadth20_mom_3_14,low,0.2117647058823527,0.14077669902912554,0.6647788565232877,206,5,0.25297619047484654,0.5452930503407594
btc_rv_30d_d1,low,0.20588235294117616,0.13147410358565684,0.6385885031272325,251,4,0.0,0.35146294980981047
adv_ratio_ma3,low,0.2117647058823527,0.13333333333333267,0.6296296296266539,195,5,0.22368421052441445,0.2944099567052041
qv_trend_7_30,low,0.2117647058823527,0.12408759124087501,0.5859691808569212,137,5,0.23097826086833814,0.29006096407948323
decouple_d1,low,0.2117647058823527,0.11374407582938335,0.5371248025251079,211,5,0.37777777777456667,0.09252364061482228
adv_ratio_raw_lag1,low,0.2117647058823527,0.10945273631840742,0.5168601437233727,201,5,0.3953488372077394,0.11005003378521946
qv_zscore_30,low,0.2117647058823527,0.1011235955056174,0.4775280898853833,178,5,0.2951388888873209,0.14068875283308907
btc_intensity_d1,low,0.20769230769230743,0.08411214953271001,0.40498442367406173,321,5,0.0,0.22239521317311362
breadth15_lag1,low,0.1985294117647056,0.03977272727272705,0.2003367003356904,176,4,0.0720338983047786,0.14529160023149099
breadth20_lag1,low,0.1985294117647056,0.034883720930232356,0.17571059431435965,172,4,0.0,0.2587715909534469
n_pump20_lag1,low,0.1985294117647056,0.034883720930232356,0.17571059431435965,172,4,0.0,0.2587715909534469
n_pump20_ma3,low,0.17647058823529357,0.018181818181818018,0.10303030302971858,110,2,0.09444444444404305,0.02568550273490662
breadth20_ma3,low,0.17647058823529357,0.018181818181818018,0.10303030302971858,110,2,0.09444444444404305,0.02568550273490662
n_pump20_ma7,low,0.17647058823529357,0.0,0.0,76,2,0.0,0.0
breadth20_ma14,low,0.17647058823529357,0.0,0.0,79,2,0.0,0.0
breadth20_ma7,low,0.17647058823529357,0.0,0.0,76,2,0.0,0.0
