strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
random_top100,TP10_SL5,0.15,1302,223,-0.10465800612741265,42.93394777265745,-21.776565353194954,-0.3995397079838587,-46.42842033635258,-5.15
setup_momentum,TP10_SL5,0.15,1265,187,-0.22362155875463255,37.94466403162055,-47.01714493001952,-1.7029721648814766,-64.07794515649042,-5.15
distribution_beta,TP10_SL5,0.15,1260,181,-0.1720486658282131,38.333333333333336,-50.278942219614194,-1.980440477483667,-63.187580769879425,-5.15
setup_only,TP10_SL5,0.15,1263,185,-0.21536994989970695,37.52969121140142,-54.557015416748165,-2.3028902255202834,-63.01850534432943,-5.15
momentum_1d,TP10_SL5,0.15,1263,185,-0.25504675446823694,37.13380839271576,-57.45903200718131,-2.5094478217316034,-64.76749617181387,-5.15
vol_momentum,TP10_SL5,0.15,1261,183,-0.34219543337204084,37.192704203013484,-64.5498421447663,-3.147784177997885,-69.33029972525932,-5.15
atr_14,TP10_SL5,0.15,1260,181,-0.5544963150629327,38.41269841269842,-76.6925995869264,-4.444888988597583,-77.80038539670849,-5.15
random_top100,TP10_SL5,0.2,1302,223,-0.15465800612741268,42.3195084485407,-30.04395199720896,-0.7121547861992751,-48.37219433620706,-5.2
setup_momentum,TP10_SL5,0.2,1265,187,-0.2736215587546326,37.78656126482213,-51.76531732880125,-1.999130099271982,-66.67576504308299,-5.2
distribution_beta,TP10_SL5,0.2,1260,181,-0.22204866582821317,38.17460317460317,-54.600148328512496,-2.2770995010644324,-65.41942462031983,-5.2
setup_only,TP10_SL5,0.2,1263,185,-0.265369949899707,37.29216152019003,-58.59114884370389,-2.6084703871670456,-65.69243760663088,-5.2
momentum_1d,TP10_SL5,0.2,1263,185,-0.30504675446823704,36.975455265241486,-61.236843121933624,-2.8140181700378455,-67.3157733866669,-5.2
vol_momentum,TP10_SL5,0.2,1261,183,-0.3921954333720409,37.03409992069786,-67.66857806232605,-3.45263934606539,-71.83382940700925,-5.2
atr_14,TP10_SL5,0.2,1260,181,-0.6044963150629328,37.857142857142854,-78.7263416225682,-4.741300761445097,-79.60573173321642,-5.2
random_top100,TP20_only,0.15,1302,223,-0.04163946728211325,44.16282642089094,-13.408890777186377,0.026230794507944823,-40.701894312287315,-20.328918914815787
vol_momentum,TP20_only,0.15,1261,183,-0.2709644906577313,40.52339413164155,-51.12009112033922,-1.1464099212939634,-62.43983289686638,-19.631353057332575
setup_momentum,TP20_only,0.15,1265,187,-0.34123930960868337,40.869565217391305,-62.92576336427215,-1.8407966988641826,-72.91865239602143,-21.45686335501135
distribution_beta,TP20_only,0.15,1260,181,-0.26055294942665297,41.42857142857143,-64.32730466706688,-1.9938939904449438,-69.93181828676427,-21.45686335501135
setup_only,TP20_only,0.15,1263,185,-0.32046393201094203,40.45922406967538,-67.88935135709693,-2.2556664070230403,-71.43081796305114,-21.45686335501135
momentum_1d,TP20_only,0.15,1263,185,-0.3425117190601542,40.06334125098971,-68.94673266510772,-2.344925765014111,-72.1975848060478,-21.45686335501135
atr_14,TP20_only,0.15,1260,181,-0.5090295535144851,41.50793650793651,-77.47243245852412,-2.893098308083933,-77.85364317797587,-24.957123524800995
random_top100,TP20_only,0.2,1302,223,-0.09163946728211324,43.54838709677419,-22.55887481551927,-0.2308565306801343,-43.051752762158685,-20.378918914815785
vol_momentum,TP20_only,0.2,1261,183,-0.3209644906577314,40.36478984932593,-55.41562576943981,-1.3503635309958721,-64.84130788434818,-19.681353057332572
setup_momentum,TP20_only,0.2,1265,187,-0.3912393096086834,40.71146245059288,-66.25595502947665,-2.0555383132608753,-74.89425584477713,-21.50686335501135
distribution_beta,TP20_only,0.2,1260,181,-0.3105529494266531,41.19047619047619,-67.43459550081327,-2.207715675167834,-72.12391446089335,-21.50686335501135
setup_only,TP20_only,0.2,1263,185,-0.3704639320109421,40.22169437846397,-70.74643963015849,-2.4746330853456873,-73.92218006299022,-21.50686335501135
