strategy,rule,cost_pct,date,daily_ret
distribution_beta,TP3_only,0.15,2023-09-15,0.023819400762771996
distribution_beta,TP3_only,0.15,2023-09-16,-0.004225635708828989
distribution_beta,TP3_only,0.15,2023-09-17,-0.04514177083372738
distribution_beta,TP3_only,0.15,2023-09-18,-0.04030488170110811
distribution_beta,TP3_only,0.15,2023-09-19,0.024403933434190596
distribution_beta,TP3_only,0.15,2023-09-20,0.025112903225806463
distribution_beta,TP3_only,0.15,2023-09-21,-0.04558613133658634
distribution_beta,TP3_only,0.15,2023-09-22,-0.009668103448275858
distribution_beta,TP3_only,0.15,2023-09-23,0.019981900866197257
distribution_beta,TP3_only,0.15,2023-09-24,-0.04216938810866692
distribution_beta,TP3_only,0.15,2023-09-26,0.018032640949554903
distribution_beta,TP3_only,0.15,2023-09-27,0.028499999999999998
distribution_beta,TP3_only,0.15,2023-09-28,0.028499999999999998
distribution_beta,TP3_only,0.15,2023-09-29,0.009856381475989297
distribution_beta,TP3_only,0.15,2023-09-30,-0.028298339618547216
distribution_beta,TP3_only,0.15,2023-10-01,0.007299999999999975
distribution_beta,TP3_only,0.15,2023-10-02,-0.009826169886033298
distribution_beta,TP3_only,0.15,2023-10-03,-0.013209203402938888
distribution_beta,TP3_only,0.15,2023-10-04,0.004325688073394493
distribution_beta,TP3_only,0.15,2023-10-05,0.007779149744805744
distribution_beta,TP3_only,0.15,2023-10-06,0.025224881414402746
distribution_beta,TP3_only,0.15,2023-10-07,0.0009550315430322219
distribution_beta,TP3_only,0.15,2023-10-08,0.028499999999999998
distribution_beta,TP3_only,0.15,2023-10-09,-0.07578608936885528
distribution_beta,TP3_only,0.15,2023-10-10,-0.11973361823361822
distribution_beta,TP3_only,0.15,2023-10-11,0.009817891373801908
distribution_beta,TP3_only,0.15,2023-10-12,0.028499999999999998
distribution_beta,TP3_only,0.15,2023-10-13,0.016052083333333307
distribution_beta,TP3_only,0.15,2023-10-14,0.02366624040920716
distribution_beta,TP3_only,0.15,2023-10-15,0.028499999999999998
distribution_beta,TP3_only,0.15,2023-10-16,0.021136631466176895
distribution_beta,TP3_only,0.15,2023-10-17,0.012435588201046507
distribution_beta,TP3_only,0.15,2023-10-18,0.01780769230769231
distribution_beta,TP3_only,0.15,2023-10-19,0.01741156462585033
distribution_beta,TP3_only,0.15,2023-10-20,0.02273681370565222
distribution_beta,TP3_only,0.15,2023-10-21,0.019366220735785956
distribution_beta,TP3_only,0.15,2023-10-22,0.020842049199601222
distribution_beta,TP3_only,0.15,2023-10-23,0.02120222929936305
distribution_beta,TP3_only,0.15,2023-10-24,-0.005859088693059844
distribution_beta,TP3_only,0.15,2023-10-25,0.0255
distribution_beta,TP3_only,0.15,2023-10-26,-0.014356942193889489
