strategy,rule,cost_pct,n_trades,n_days,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct
random_top100,TP10_SL5,0.15,5080,754,-0.1764459181719346,43.818897637795274,-92.35449909550523,-1.8536571305220293,-94.48033172458754,-5.15
distribution_beta,TP10_SL5,0.15,5080,754,-0.24467315503721412,38.582677165354326,-98.86548125438851,-3.0535880975430407,-99.05999135490539,-5.15
momentum_1d,TP10_SL5,0.15,5080,754,-0.30547805626359137,38.07086614173228,-99.16713857219406,-3.350774779874496,-99.28886250582273,-5.15
setup_momentum,TP10_SL5,0.15,5080,754,-0.3301160418546002,37.874015748031496,-99.25674306331435,-3.439859952151642,-99.37344230711368,-5.15
setup_only,TP10_SL5,0.15,5080,754,-0.32812432524185803,37.93307086614173,-99.24700585350283,-3.4440186350430633,-99.36155172377413,-5.15
vol_momentum,TP10_SL5,0.15,5080,754,-0.44604377750374347,36.71259842519685,-99.63324252563795,-3.929306083970839,-99.6849429993546,-5.15
atr_14,TP10_SL5,0.15,5080,754,-0.5361238166673812,38.64173228346457,-99.7040024102276,-4.016607319655212,-99.73573799902087,-5.15
random_top100,TP10_SL5,0.2,5080,754,-0.22644591817193466,43.346456692913385,-94.76398331277332,-2.1683746413395406,-95.93813416778086,-5.2
distribution_beta,TP10_SL5,0.2,5080,754,-0.2946731550372142,38.38582677165354,-99.22380006965177,-3.3383036930836556,-99.34720866773897,-5.2
momentum_1d,TP10_SL5,0.2,5080,754,-0.35547805626359147,37.854330708661415,-99.43026900346153,-3.6402563496003566,-99.51235531807288,-5.2
setup_momentum,TP10_SL5,0.2,5080,754,-0.38011604185460024,37.67716535433071,-99.4915932775954,-3.7294988871712773,-99.57038102499895,-5.2
setup_only,TP10_SL5,0.2,5080,754,-0.3781243252418581,37.73622047244095,-99.48492867427603,-3.7346645301306634,-99.56222315447971,-5.2
vol_momentum,TP10_SL5,0.2,5080,754,-0.4960437775037434,36.51574803149607,-99.74921892839598,-4.215834327262944,-99.7838081020976,-5.2
atr_14,TP10_SL5,0.2,5080,754,-0.5861238166673812,38.267716535433074,-99.79762603031023,-4.298565519686266,-99.81549480094853,-5.2
random_top100,TP20_only,0.15,5080,754,0.03150790069417696,46.2992125984252,-69.41127817154158,-0.45088600241668186,-86.48796787259381,-20.328918914815787
atr_14,TP20_only,0.15,5080,754,-0.15258192262173217,43.52362204724409,-91.52071259419655,-0.9010045371441793,-95.457654801153,-24.957123524800995
distribution_beta,TP20_only,0.15,5080,754,0.031489216232625294,43.4251968503937,-95.83710433357524,-1.196614863312039,-98.00640468891201,-21.45686335501135
momentum_1d,TP20_only,0.15,5080,754,-0.0012902178616610504,42.93307086614173,-96.47521747125681,-1.2949826503380184,-98.5084460528535,-21.45686335501135
vol_momentum,TP20_only,0.15,5080,754,-0.06323711350609267,42.322834645669296,-96.95566159888544,-1.3774886824614117,-98.54720951433605,-19.631353057332575
setup_only,TP20_only,0.15,5080,754,-0.03619283498049724,43.031496062992126,-97.02445073178049,-1.3865422604250297,-98.6033773053609,-21.45686335501135
setup_momentum,TP20_only,0.15,5080,754,-0.03887985207397438,42.952755905511815,-97.06653489010665,-1.3930160861682506,-98.69192331802836,-21.45686335501135
