artifact_schema,run_id,payload_sha256,asof,participant_id,source_id,policy_id,objective,description,n_closed,n_days,n_selected_days,net_sum_pct,net_mean_pct,deep_loss_freq_pct,sl_rate_pct,tp_rate_pct,pump20_precision_pct,post_send_pump20_precision_pct,post_send_label_n,pump20_recall_pct,pump20_captured,pump20_actual,pump_days,pump_days_any_captured,pump_day_capture_rate_pct,recall_date_basis,pump20_label_basis
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,pump_hunter:top_all,pump_hunter,top_all,baseline,Use every recorded pick from that source ledger.,45,3,3,-8.3956,-0.1866,0.0,55.5556,31.1111,8.8889,8.8889,45,28.5714,4,14,3,3,100.0,post_contract_validated_forward_decisions;legacy_dates_excluded,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,distribution_engine:top_all,distribution_engine,top_all,baseline,Use every recorded pick from that source ledger.,164,32,32,-162.8375,-0.9929,32.3171,0.0,0.0,10.9756,,0,14.2857,18,126,32,13,40.625,ledger_rows,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,pump_hunter_v2:top_all,pump_hunter_v2,top_all,baseline,Use every recorded pick from that source ledger.,4,1,1,4.8127,1.2032,0.0,25.0,50.0,25.0,25.0,4,11.1111,1,9,1,1,100.0,post_contract_validated_healthy_decisions(delivery_independent)+delivery_verified_closed_rows;legacy_dates_excluded,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_preopen:top_all,recommend_r1_preopen,top_all,baseline,Use every recorded pick from that source ledger.,12,4,4,-19.5903,-1.6325,0.0,66.6667,8.3333,8.3333,8.3333,12,6.6667,1,15,4,1,25.0,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_open:top_all,recommend_r1_open,top_all,baseline,Use every recorded pick from that source ledger.,174,58,58,-118.8337,-0.683,0.0,59.1954,24.7126,3.4483,0.0,12,1.9544,6,307,57,6,10.5263,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r2_open:top_all,recommend_r2_open,top_all,baseline,Use every recorded pick from that source ledger.,171,57,57,-92.0453,-0.5383,0.0,40.9357,18.1287,1.7544,0.0,9,0.9901,3,303,56,3,5.3571,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_sustain_open:top_all,recommend_r1_sustain_open,top_all,baseline,Use every recorded pick from that source ledger.,171,57,57,-112.4766,-0.6578,0.0,46.1988,15.7895,0.0,0.0,12,0.0,0,300,56,0,0.0,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,consensus_2of3,R1/R2/A1,consensus_2of3,consensus_precision,Send only coins selected by at least two of R1/R2/A1.,118,57,51,-46.0662,-0.3904,0.0,50.8475,25.4237,2.5424,0.0,7,1.0,3,300,56,3,5.3571,2of3_validated_source_observed_dates,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,pump_hunter_v2:no_dump_top3,pump_hunter_v2,no_dump_top3,downside_control,Send top-3 only when dump_risk_flag is false.,3,1,1,6.55,2.1833,0.0,33.3333,66.6667,33.3333,33.3333,3,11.1111,1,9,1,1,100.0,post_contract_validated_healthy_decisions(delivery_independent)+delivery_verified_closed_rows;legacy_dates_excluded,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_preopen:rr_ge_0_75,recommend_r1_preopen,rr_ge_0_75,downside_control,Send only picks with rr_ratio >= 0.75.,7,4,4,-7.9284,-1.1326,0.0,57.1429,14.2857,14.2857,14.2857,7,6.6667,1,15,4,1,25.0,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_open:rr_ge_0_75,recommend_r1_open,rr_ge_0_75,downside_control,Send only picks with rr_ratio >= 0.75.,143,58,54,-77.5624,-0.5424,0.0,56.6434,26.5734,3.4965,0.0,9,1.6287,5,307,57,5,8.7719,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r2_open:rr_ge_0_75,recommend_r2_open,rr_ge_0_75,downside_control,Send only picks with rr_ratio >= 0.75.,93,57,45,-38.1162,-0.4099,0.0,50.5376,25.8065,3.2258,0.0,5,0.9901,3,303,56,3,5.3571,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r1_open:no_dump_top3,recommend_r1_open,no_dump_top3,downside_control,Send top-3 only when dump_risk_flag is false.,103,58,51,-42.5769,-0.4134,0.0,53.3981,26.2136,2.9126,0.0,5,0.9772,3,307,57,3,5.2632,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
policy_competition.v2,policy-45a0216420863654924e18eb86f8bbc4,57c97cc25b9ca9d8b315022c3ca1fc0dd33ca30f71104a722cfb6b75ea6f902a,2026-08-03,recommend_r2_open:no_dump_top3,recommend_r2_open,no_dump_top3,downside_control,Send top-3 only when dump_risk_flag is false.,111,57,53,-68.1841,-0.6143,0.0,40.5405,18.018,0.9009,0.0,6,0.33,1,303,56,1,1.7857,ledger_rows+validated_score_snapshots,full_day_D1_high_over_open_proxy; not post-send tradeability
