target,feature_set,fold,topK_pct,n_val,n_pos,n_top,top_pos,base_pct,prec_pct,lift
first15_t3,prev_daily,1,0.5,16655,572,83,15,3.434404082858001,18.072289156626507,5.262132445867385
first15_t3,prev_daily,1,1.0,16655,572,166,27,3.434404082858001,16.265060240963855,4.735919201280646
first15_t3,prev_daily,1,2.0,16655,572,333,50,3.434404082858001,15.015015015015015,4.371941871941871
first15_t3,prev_daily,1,5.0,16655,572,832,89,3.434404082858001,10.697115384615383,3.1146932994889722
first15_t3,prev_daily,2,0.5,18056,1069,90,26,5.920469649977847,28.888888888888886,4.8794927762186875
first15_t3,prev_daily,2,1.0,18056,1069,180,49,5.920469649977847,27.22222222222222,4.5979835775906865
first15_t3,prev_daily,2,2.0,18056,1069,361,81,5.920469649977847,22.437673130193904,3.7898468291747536
first15_t3,prev_daily,2,5.0,18056,1069,902,137,5.920469649977847,15.188470066518848,2.5654164220866633
first15_t3,prev_daily,3,0.5,17264,986,86,24,5.7113067655236325,27.906976744186046,4.886268220199066
first15_t3,prev_daily,3,1.0,17264,986,172,44,5.7113067655236325,25.581395348837212,4.479079201849144
first15_t3,prev_daily,3,2.0,17264,986,345,84,5.7113067655236325,24.347826086956523,4.263091983420055
first15_t3,prev_daily,3,5.0,17264,986,863,160,5.7113067655236325,18.53997682502897,3.2461882343539568
first15_t3,preopen_15m,1,0.5,16655,572,83,28,3.434404082858001,33.734939759036145,9.822647232285785
first15_t3,preopen_15m,1,1.0,16655,572,166,44,3.434404082858001,26.506024096385545,7.717794253938832
first15_t3,preopen_15m,1,2.0,16655,572,333,87,3.434404082858001,26.126126126126124,7.607178857178856
first15_t3,preopen_15m,1,5.0,16655,572,832,155,3.434404082858001,18.629807692307693,5.42446585866057
first15_t3,preopen_15m,2,0.5,18056,1069,90,37,5.920469649977847,41.11111111111111,6.943893566157364
first15_t3,preopen_15m,2,1.0,18056,1069,180,80,5.920469649977847,44.44444444444444,7.506911963413366
first15_t3,preopen_15m,2,2.0,18056,1069,361,146,5.920469649977847,40.443213296398895,6.831081939006346
first15_t3,preopen_15m,2,5.0,18056,1069,902,282,5.920469649977847,31.263858093126384,5.280638182689335
first15_t3,preopen_15m,3,0.5,17264,986,86,36,5.7113067655236325,41.86046511627907,7.3294023302986
first15_t3,preopen_15m,3,1.0,17264,986,172,74,5.7113067655236325,43.02325581395349,7.53299683947356
first15_t3,preopen_15m,3,2.0,17264,986,345,138,5.7113067655236325,40.0,7.003651115618662
first15_t3,preopen_15m,3,5.0,17264,986,863,275,5.7113067655236325,31.86558516801854,5.579386027795863
first15_t3,prev_daily+preopen_15m,1,0.5,16655,572,83,26,3.434404082858001,31.32530120481928,9.1210295728368
first15_t3,prev_daily+preopen_15m,1,1.0,16655,572,166,44,3.434404082858001,26.506024096385545,7.717794253938832
first15_t3,prev_daily+preopen_15m,1,2.0,16655,572,333,79,3.434404082858001,23.723723723723726,6.907668157668157
first15_t3,prev_daily+preopen_15m,1,5.0,16655,572,832,154,3.434404082858001,18.509615384615387,5.389469304733727
first15_t3,prev_daily+preopen_15m,2,0.5,18056,1069,90,39,5.920469649977847,43.333333333333336,7.319239164328033
first15_t3,prev_daily+preopen_15m,2,1.0,18056,1069,180,75,5.920469649977847,41.66666666666667,7.037729965700031
first15_t3,prev_daily+preopen_15m,2,2.0,18056,1069,361,142,5.920469649977847,39.335180055401665,6.643929009170556
first15_t3,prev_daily+preopen_15m,2,5.0,18056,1069,902,271,5.920469649977847,30.044345898004433,5.074655842229823
first15_t3,prev_daily+preopen_15m,3,0.5,17264,986,86,39,5.7113067655236325,45.348837209302324,7.940185857823482
first15_t3,prev_daily+preopen_15m,3,1.0,17264,986,172,69,5.7113067655236325,40.116279069767444,7.024010566536157
first15_t3,prev_daily+preopen_15m,3,2.0,17264,986,345,131,5.7113067655236325,37.971014492753625,6.648393450333657
first15_t3,prev_daily+preopen_15m,3,5.0,17264,986,863,239,5.7113067655236325,27.69409038238702,4.848993675066223
first15_t5,prev_daily,1,0.5,16655,273,83,9,1.6391474031822277,10.843373493975903,6.615252217661856
