universe,K,label,precision_at_k,recall_all_pumps,n_recommended,n_days,avg_cand_per_day,total_pumps_oos
static,1,lab_pump20,0.11538461538461539,0.040955631399317405,1040,1040,1.0,2930
static,2,lab_pump20,0.10384615384615385,0.07372013651877134,2080,1040,2.0,2930
static,3,lab_pump20,0.09871794871794871,0.10511945392491467,3120,1040,3.0,2930
static,5,lab_pump20,0.08596153846153846,0.15255972696245734,5200,1040,5.0,2930
static,10,lab_pump20,0.06759615384615385,0.23993174061433448,10400,1040,10.0,2930
dynamic,1,lab_pump20,0.11538461538461539,0.040955631399317405,1040,1040,1.0,2930
dynamic,2,lab_pump20,0.10384615384615385,0.07372013651877134,2080,1040,2.0,2930
dynamic,3,lab_pump20,0.09871794871794871,0.10511945392491467,3120,1040,3.0,2930
dynamic,5,lab_pump20,0.08596153846153846,0.15255972696245734,5200,1040,5.0,2930
dynamic,10,lab_pump20,0.06769230769230769,0.2402730375426621,10400,1040,10.0,2930
static_poolmax,all_in_universe,lab_pump20,0.020134615384615386,0.7146757679180887,104000,1040,100.0,2930
dynamic_poolmax,all_in_universe,lab_pump20,0.020205604250177412,0.7191126279863481,104278,1040,100.2673076923077,2930
static,1,lab_pump15,0.18557692307692308,0.03434774870973483,1040,1040,1.0,5619
static,2,lab_pump15,0.17163461538461539,0.06353443673251469,2080,1040,2.0,5619
static,3,lab_pump15,0.15993589743589742,0.08880583733760455,3120,1040,3.0,5619
static,5,lab_pump15,0.14634615384615385,0.13543335113009433,5200,1040,5.0,5619
static,10,lab_pump15,0.11644230769230769,0.21551877558284394,10400,1040,10.0,5619
dynamic,1,lab_pump15,0.18557692307692308,0.03434774870973483,1040,1040,1.0,5619
dynamic,2,lab_pump15,0.17163461538461539,0.06353443673251469,2080,1040,2.0,5619
dynamic,3,lab_pump15,0.15993589743589742,0.08880583733760455,3120,1040,3.0,5619
dynamic,5,lab_pump15,0.14634615384615385,0.13543335113009433,5200,1040,5.0,5619
dynamic,10,lab_pump15,0.11653846153846154,0.21569674319273893,10400,1040,10.0,5619
static_poolmax,all_in_universe,lab_pump15,0.03907692307692308,0.7232603666132764,104000,1040,100.0,5619
dynamic_poolmax,all_in_universe,lab_pump15,0.039183720439594165,0.7271756540309664,104278,1040,100.2673076923077,5619
