date,K,scorer,n_hit,precision,picks
2026-07-12,3,cal_logit,0,0.0,ELSA(10.4%+12.7%) | ESP(10.4%+-0.0%) | IN(10.4%+0.3%)
2026-07-12,5,cal_logit,1,0.2,ELSA(10.4%+12.7%) | ESP(10.4%+-0.0%) | IN(10.4%+0.3%) | B3(10.4%+8.3%) | T(10.4%/HIT+28.5%)
2026-07-13,3,cal_logit,0,0.0,AGLD(10.4%+1.1%) | ARDR(10.4%+5.5%) | BLAST(10.4%+14.1%)
2026-07-13,5,cal_logit,0,0.0,AGLD(10.4%+1.1%) | ARDR(10.4%+5.5%) | BLAST(10.4%+14.1%) | T(10.4%+6.1%) | SKY(10.4%+2.3%)
2026-07-14,3,cal_logit,1,0.3333333333333333,BLAST(10.4%/HIT+24.3%) | BSV(10.4%+0.2%) | AQT(10.4%+1.0%)
2026-07-14,5,cal_logit,1,0.2,BLAST(10.4%/HIT+24.3%) | BSV(10.4%+0.2%) | AQT(10.4%+1.0%) | SKR(10.4%+0.7%) | XEC(10.4%+1.5%)
2026-07-15,3,cal_logit,0,0.0,B3(10.4%+5.0%) | BLAST(10.4%+14.9%) | BLEND(10.4%+-0.0%)
2026-07-15,5,cal_logit,1,0.2,B3(10.4%+5.0%) | BLAST(10.4%+14.9%) | BLEND(10.4%+-0.0%) | VANA(10.4%/HIT+21.6%) | KAITO(10.4%+5.2%)
2026-07-16,3,cal_logit,0,0.0,0G(10.4%+1.1%) | B3(10.4%+9.9%) | XEC(10.4%+5.9%)
2026-07-16,5,cal_logit,0,0.0,0G(10.4%+1.1%) | B3(10.4%+9.9%) | XEC(10.4%+5.9%) | ZBT(10.4%+3.0%) | MET2(10.4%+2.6%)
2026-07-17,3,cal_logit,0,0.0,B3(10.4%+2.8%) | T(10.4%+18.2%) | MANTRA(10.4%+-0.0%)
2026-07-17,5,cal_logit,0,0.0,B3(10.4%+2.8%) | T(10.4%+18.2%) | MANTRA(10.4%+-0.0%) | FLOCK(10.4%+7.1%) | KAITO(5.5%+11.8%)
2026-07-18,3,cal_logit,1,0.3333333333333333,XEC(10.4%/HIT+26.4%) | TRAC(10.4%+3.9%) | T(10.4%+16.2%)
2026-07-18,5,cal_logit,1,0.2,XEC(10.4%/HIT+26.4%) | TRAC(10.4%+3.9%) | T(10.4%+16.2%) | AERGO(5.5%+8.7%) | KAITO(5.5%+0.2%)
2026-07-19,3,cal_logit,1,0.3333333333333333,BLAST(10.4%+0.5%) | DOOD(10.4%+1.9%) | BONK(10.4%/HIT+26.6%)
2026-07-19,5,cal_logit,2,0.4,BLAST(10.4%+0.5%) | DOOD(10.4%+1.9%) | BONK(10.4%/HIT+26.6%) | G(10.4%/HIT+41.0%) | TOSHI(10.4%+3.9%)
2026-07-20,3,cal_logit,0,0.0,CBK(10.4%+4.3%) | EDGE(10.4%+1.0%) | G(10.4%+2.3%)
2026-07-20,5,cal_logit,0,0.0,CBK(10.4%+4.3%) | EDGE(10.4%+1.0%) | G(10.4%+2.3%) | BONK(10.4%+4.7%) | TRAC(10.4%+14.4%)
2026-07-21,3,cal_logit,0,0.0,BONK(10.4%+1.7%) | TRAC(10.4%+17.1%) | ZAMA(10.4%+2.4%)
2026-07-21,5,cal_logit,0,0.0,BONK(10.4%+1.7%) | TRAC(10.4%+17.1%) | ZAMA(10.4%+2.4%) | MET2(10.4%+1.2%) | B3(5.5%+3.7%)
2026-07-22,3,cal_logit,2,0.6666666666666666,ERA(10.4%/HIT+47.8%) | BONK(10.4%/HIT+30.6%) | TRAC(10.4%+0.4%)
2026-07-22,5,cal_logit,2,0.4,ERA(10.4%/HIT+47.8%) | BONK(10.4%/HIT+30.6%) | TRAC(10.4%+0.4%) | TREE(10.4%+9.9%) | KERNEL(10.4%+3.1%)
2026-07-23,3,cal_logit,1,0.3333333333333333,BONK(10.4%+16.4%) | ERA(10.4%+19.9%) | ZAMA(10.4%/HIT+25.4%)
2026-07-23,5,cal_logit,1,0.2,BONK(10.4%+16.4%) | ERA(10.4%+19.9%) | ZAMA(10.4%/HIT+25.4%) | MIRA(10.4%+8.4%) | HOLO(5.5%+2.4%)
2026-07-24,3,cal_logit,0,0.0,BLEND(10.4%+0.5%) | BONK(10.4%+5.1%) | ERA(10.4%+15.1%)
2026-07-24,5,cal_logit,0,0.0,BLEND(10.4%+0.5%) | BONK(10.4%+5.1%) | ERA(10.4%+15.1%) | ZKC(10.4%+1.1%) | PROS(10.4%+7.3%)
2026-07-25,3,cal_logit,0,0.0,BONK(10.4%+0.2%) | ERA(10.4%+7.2%) | BEAM(10.4%+2.1%)
2026-07-25,5,cal_logit,1,0.2,BONK(10.4%+0.2%) | ERA(10.4%+7.2%) | BEAM(10.4%+2.1%) | FLUID(10.4%+1.5%) | ZAMA(10.4%/HIT+20.4%)
