market,date,pump_prob,raw_score,regime,f_qv_surge_7d,f_qv_surge_30d,f_ret_3d,f_ret_7d,f_bounce_off_7d_low,f_atr_pct_14,f_rv_7d,f_qv_rank
KRW-BONK,2026-07-26,0.10404533291358413,0.8021111440177361,bear_quiet,0.08956791245818954,0.21134317262442168,-0.08376963350785327,-0.34944237918215615,0.03550295837564055,0.26761904756807253,0.08890936546325096,33.0
KRW-ERA,2026-07-26,0.10404533291358413,0.8713215733864351,bear_quiet,0.2826815659171258,1.1467782680818204,-0.1496598639455783,0.27032520325203246,0.4156285390713317,0.18211428571428426,0.16669705368645368,16.0
KRW-ZAMA,2026-07-26,0.10404533291358413,0.8824091857287281,bear_quiet,2.72251481310325,10.59971996565241,0.16666666666666674,0.5828460038986356,0.6207584830338997,0.08787825475017486,0.06696220688624245,1.0
KRW-ESP,2026-07-26,0.055721706280497406,0.7662478709790298,bear_quiet,4.942582233523756,3.9167547386332813,0.0092592592592593,0.028301886792452935,0.07920792079206862,0.06120576671035331,0.02930125147563299,36.0
KRW-TRAC,2026-07-26,0.055721706280497406,0.731608695379031,bear_quiet,0.07213488586547029,0.2337012473846692,-0.09292035398230092,0.05398457583547556,0.07329842931936881,0.15749128919860586,0.08359036269148,59.0
KRW-SHIB,2026-07-26,0.055721706280497406,0.7381179181797726,bear_quiet,4.498095009943856,7.530123905279187,0.15434083601286175,0.17512274959083474,0.19666666646722208,0.037306008749280896,0.06166438118917573,2.0
KRW-LA,2026-07-26,0.055721706280497406,0.7372949238458828,bear_quiet,0.6474735458716283,2.0147856144001377,0.18012422360248448,0.26835781041388507,0.33802816901406585,0.10616541353383349,0.08053120117201837,7.0
KRW-ZIL,2026-07-26,0.03794080604534005,0.6526462349313586,bear_quiet,0.30775430217188215,1.1828433354728265,0.0027548209366392573,-0.1291866028708133,0.042979942693110784,0.10361067503921802,0.06227536442138901,26.0
KRW-KAT,2026-07-26,0.03794080604534005,0.6439122835639758,bear_quiet,4.230301804337545,1.1306903468664904,0.0014285714285713347,-0.002844950213371278,0.03392330383465558,0.06409211330751073,0.02016113908395141,18.0
KRW-KAITO,2026-07-26,0.029120100739807964,0.6004952793613381,bear_quiet,0.4743876005256343,0.6656340183942981,0.029247910863509752,0.23475355054302427,0.23785594639865892,0.10733616856756227,0.06506887340744869,20.0
KRW-ORDER,2026-07-26,0.029120100739807964,0.5568625399480712,bear_quiet,0.9320799623994014,2.85196746391335,0.07081545064377681,0.048319327731092265,0.11383928571426094,0.08631548811909362,0.05903739391136852,19.0
KRW-VVV,2026-07-26,0.029120100739807964,0.5624045305224734,bear_quiet,1.6176629317296156,1.2701622788236866,0.08491620111731835,0.11353211009174302,0.16917519566526185,0.06480800353096955,0.050282077565557644,30.0
KRW-SOON,2026-07-26,0.022351644892176923,0.4842585089069531,bear_quiet,2.652593796323988,2.1090877567818302,0.05084745762711873,0.024793388429751984,0.10222222222221733,0.05184331797235003,0.023152328415741837,52.0
KRW-XEC,2026-07-26,0.022351644892176923,0.4918252532695444,bear_quiet,0.2223895340905975,0.21733472399001372,-0.1071428571428571,-0.21875,-1.000000082740371e-10,0.20214285712264282,0.042847157041825415,37.0
KRW-PLUME,2026-07-26,0.022351644892176923,0.47971159816492026,bear_quiet,1.0718339860587367,1.2807774017411744,0.029940119760478945,0.12418300653594772,0.17006802721080483,0.06353820598006275,0.03704485823101601,76.0
KRW-KERNEL,2026-07-26,0.022351644892176923,0.46188891012391725,bear_quiet,0.40446348332098275,1.0899154986766615,0.01587301587301604,0.007874015748031704,0.08016877637128528,0.08049665178571272,0.025701948217094088,49.0
KRW-MIRA,2026-07-26,0.02188287153652393,0.5057194886991941,bear_quiet,1.2791938984815292,1.836461948720785,-0.09749303621169914,0.08361204013377921,0.1509769094138338,0.08498677248677118,0.07796211826276171,5.0
