market,date,regime,rank,net_eod,net_sl5,sl5_outcome
KRW-TRUST,2025-11-22,bear_volatile,3,-0.46698672566371685,-0.051500000000000004,sl
KRW-WCT,2025-05-31,bull_quiet,4,-0.4320610561056106,-0.051500000000000004,sl
KRW-LAYER,2025-05-06,bull_volatile,4,-0.4139173748819642,-0.051500000000000004,sl
KRW-COMP,2025-12-01,bear_volatile,2,-0.4055697674418605,-0.051500000000000004,sl
KRW-SNT,2025-06-20,bull_quiet,2,-0.3993942213516161,-0.051500000000000004,sl
KRW-AWE,2026-02-19,bear_volatile,4,-0.3429965986394558,-0.051500000000000004,sl
KRW-FF,2025-09-30,bull_quiet,1,-0.32328217821782174,-0.051500000000000004,sl
KRW-MMT,2025-11-06,bull_volatile,1,-0.32117943009795197,-0.051500000000000004,sl
KRW-SAHARA,2025-07-24,bull_quiet,1,-0.3002141444114737,-0.051500000000000004,sl
KRW-DOOD,2025-10-10,bull_quiet,1,-0.29528531073446324,-0.051500000000000004,sl
KRW-MIRA,2025-09-29,bull_quiet,1,-0.2865092535471931,-0.051500000000000004,sl
KRW-ENSO,2026-02-25,bear_volatile,3,-0.28648467824310525,-0.051500000000000004,sl
KRW-BIRB,2026-02-05,bear_volatile,1,-0.28583734939759037,-0.051500000000000004,sl
KRW-WAL,2025-12-01,bear_volatile,4,-0.2789566473988439,-0.051500000000000004,sl
KRW-ARKM,2025-12-01,bear_volatile,5,-0.26296788990825687,-0.051500000000000004,sl
KRW-ELSA,2026-02-01,bear_volatile,2,-0.2628065326633166,-0.051500000000000004,sl
KRW-ANIME,2025-06-10,bull_quiet,2,-0.2597627470519848,-0.051500000000000004,sl
KRW-SOMI,2026-01-25,bear_volatile,3,-0.2560090180360722,-0.051500000000000004,sl
KRW-DEEP,2025-12-01,bear_volatile,1,-0.25538026607538805,-0.051500000000000004,sl
KRW-SUPER,2025-11-30,bear_volatile,1,-0.24899163879598657,-0.051500000000000004,sl
KRW-NEWT,2025-07-25,bull_quiet,2,-0.24646815286624196,-0.051500000000000004,sl
KRW-LPT,2025-06-05,bull_quiet,1,-0.2413345968297726,-0.051500000000000004,sl
KRW-ZKP,2026-01-08,bear_quiet,2,-0.23944212218649513,-0.051500000000000004,sl
KRW-ENSO,2026-01-25,bear_volatile,4,-0.239380496054115,-0.051500000000000004,sl
KRW-BARD,2026-03-06,bear_volatile,1,-0.23610764587525152,-0.051500000000000004,sl
