scope,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,preferred_direction,p_preferred_direction,bootstrap_draws
discovery_oof,semivol_joint_head,R1_repaired,bracket_net,158,-0.00062904324284400123,-0.004368940140613879,0.0030733227693961673,0.378,higher,0.378,5000
discovery_oof,semivol_joint_head,R1_repaired,path_dn5_rate,158,0.24472573839662451,0.19404008438818562,0.29746835443037972,1,lower,0,5000
discovery_oof,semivol_joint_head,R1_repaired,path_up10_rate,158,0.11603375527426162,0.071729957805907171,0.16033755274261602,1,higher,1,5000
discovery_oof,semivol_joint_head,R1_repaired,safe_fp_rate,158,0.099156118143459926,0.0590717299578059,0.14135021097046416,1,higher,1,5000
discovery_oof,semivol_joint_head,R1_repaired,sl_first_rate,158,0.17721518987341772,0.12025316455696203,0.23417721518987342,1,lower,0,5000
discovery_oof,semivol_joint_head,core_fp_head,bracket_net,158,-0.0021619290563060084,-0.0047649604558081008,0.00040849052719854715,0.050999999999999997,higher,0.050999999999999997,5000
discovery_oof,semivol_joint_head,core_fp_head,path_dn5_rate,158,1.4053456007913374e-18,-0.035864978902953586,0.035864978902953586,0.50280000000000002,lower,0.48859999999999998,5000
discovery_oof,semivol_joint_head,core_fp_head,path_up10_rate,158,-0.027426160337552741,-0.0590717299578059,0.0021097046413502121,0.038399999999999997,higher,0.038399999999999997,5000
discovery_oof,semivol_joint_head,core_fp_head,safe_fp_rate,158,-0.021097046413502105,-0.04852320675105485,0.0063291139240506354,0.073200000000000001,higher,0.073200000000000001,5000
discovery_oof,semivol_joint_head,core_fp_head,sl_first_rate,158,0.021097046413502109,-0.012658227848101262,0.054852320675105495,0.88780000000000003,lower,0.1084,5000
discovery_oof,semivol_joint_head,liquidity_matched,bracket_net,158,0.0012551454449858882,-0.0028159079670023891,0.0053473003348054179,0.73160000000000003,higher,0.73160000000000003,5000
discovery_oof,semivol_joint_head,liquidity_matched,path_dn5_rate,158,0.24472573839662445,0.19193037974683541,0.29746835443037972,1,lower,0,5000
discovery_oof,semivol_joint_head,liquidity_matched,path_up10_rate,158,0.15822784810126583,0.11392405063291139,0.20253164556962022,1,higher,1,5000
discovery_oof,semivol_joint_head,liquidity_matched,safe_fp_rate,158,0.13502109704641349,0.092827004219409273,0.17932489451476794,1,higher,1,5000
discovery_oof,semivol_joint_head,liquidity_matched,sl_first_rate,158,0.14556962025316456,0.088607594936708847,0.20464135021097044,1,lower,0,5000
discovery_oof,semivol_joint_head,lowest_ATR,bracket_net,158,-0.0011897283004058965,-0.0049943309599619883,0.0026559123710920584,0.27179999999999999,higher,0.27179999999999999,5000
discovery_oof,semivol_joint_head,lowest_ATR,path_dn5_rate,158,0.46835443037974683,0.41139240506329117,0.5253691983122355,1,lower,0,5000
discovery_oof,semivol_joint_head,lowest_ATR,path_up10_rate,158,0.22995780590717302,0.18776371308016876,0.27637130801687765,1,higher,1,5000
discovery_oof,semivol_joint_head,lowest_ATR,safe_fp_rate,158,0.20464135021097044,0.16244725738396623,0.24894514767932485,1,higher,1,5000
discovery_oof,semivol_joint_head,lowest_ATR,sl_first_rate,158,0.47890295358649804,0.42405063291139239,0.53375527426160341,1,lower,0,5000
locked_holdout,semivol_joint_head,R1_repaired,bracket_net,170,0.00072098919897542186,-0.0035904865724844829,0.0051112912345220862,0.63,higher,0.63,5000
locked_holdout,semivol_joint_head,R1_repaired,path_dn5_rate,170,0.26078431372549016,0.20392156862745101,0.31568627450980397,1,lower,0,5000
locked_holdout,semivol_joint_head,R1_repaired,path_up10_rate,170,0.094117647058823528,0.048970588235294127,0.13921568627450981,1,higher,1,5000
locked_holdout,semivol_joint_head,R1_repaired,safe_fp_rate,170,0.052941176470588228,0.0098039215686274508,0.096078431372548997,0.99019999999999997,higher,0.99019999999999997,5000
locked_holdout,semivol_joint_head,R1_repaired,sl_first_rate,170,0.10392156862745099,0.04313725490196077,0.16470588235294117,0.99980000000000002,lower,0.00020000000000000001,5000
locked_holdout,semivol_joint_head,core_fp_head,bracket_net,170,-0.00084372008886607949,-0.0034147718281807705,0.0017039884641891889,0.25940000000000002,higher,0.25940000000000002,5000
