feature,label,n,base_rate,top_decile_prec,bot_decile_prec,signal_dir,signal_decile_prec,signal_decile_n,lift,oos_prec,oos_base,oos_lift,oos_n,n_folds_used
f_qv_surge_30d,lab_pump15,183984,0.030785285677015394,0.0894613837708571,0.02309908147181912,high,0.0894613837708571,18399,2.905978677912672,0.09557611864621625,0.033466814065340605,2.8558475407791564,15778,5
f_bounce_off_7d_low,lab_pump15,189872,0.031789837364118986,0.0969033073520118,0.01653676005898462,high,0.0969033073520118,18988,3.0482479744104016,0.09647516594186313,0.035647995237117196,2.706327951968862,17476,5
f_ret_7d,lab_pump15,189616,0.03174837566450089,0.08648876700769961,0.04408817635270541,high,0.08648876700769961,18962,2.724195024075078,0.09207444039562727,0.03534264922972754,2.6051935098906305,15368,5
f_roc_7d,lab_pump15,189616,0.03174837566450089,0.08648876700769961,0.04408817635270541,high,0.08648876700769961,18962,2.724195024075078,0.09207444039562727,0.03534264922972754,2.6051935098906305,15368,5
f_ret7d_xs_decile,lab_pump15,189616,0.03174837566450089,0.08337728087754456,0.035966670182470205,high,0.08337728087754456,18962,2.62619044698945,0.08564093159728589,0.03311343414112375,2.5862896379849643,16359,5
f_ret_3d,lab_pump15,190640,0.03193978178766261,0.08912085606378514,0.042750734368443136,high,0.08912085606378514,19064,2.7902775496797503,0.08899987964857384,0.03487977088702456,2.5516188147234136,16618,5
f_roc_3d,lab_pump15,190640,0.03193978178766261,0.08912085606378514,0.042750734368443136,high,0.08912085606378514,19064,2.7902775496797503,0.08899987964857384,0.03487977088702456,2.5516188147234136,16618,5
f_ret_1d,lab_pump15,191152,0.032141960324767724,0.08903536304666249,0.04875496965892446,high,0.08903536304666249,19116,2.7700663602043667,0.08821034775233248,0.034625721533072744,2.547538183950287,17685,5
f_ret3d_xs_decile,lab_pump15,190640,0.03193978178766261,0.08156735207721359,0.041019723038187156,high,0.08156735207721359,19064,2.5537855148628674,0.08427274389129243,0.03336424166107584,2.525840231807475,16411,5
f_ret_14d,lab_pump15,187824,0.03135382059800664,0.08449129532023639,0.04658467763403077,high,0.08449129532023639,18783,2.6947687302136325,0.08795712484237074,0.035728036786520714,2.4618516088058535,15860,5
f_qv_surge_7d,lab_pump15,189872,0.031789837364118986,0.07847061301874868,0.03307352011796924,high,0.07847061301874868,18988,2.468418196669292,0.08291267036850075,0.03377300124420058,2.4549985880434098,15848,5
f_rv_7d,lab_pump15,190384,0.03192495167661148,0.09396501917117496,0.010294658332895635,high,0.09396501917117496,19039,2.9433096758612987,0.08568339490044148,0.03536257051091631,2.422996791876068,22198,5
f_vol_surge_7d,lab_pump15,189872,0.031789837364118986,0.077101327153992,0.03259953654939962,high,0.077101327153992,18988,2.4253451274656674,0.08064917298843427,0.033637605593560535,2.397589589547761,16082,5
f_atr_xs_decile,lab_pump15,189872,0.031789837364118986,0.07578470613018749,0.012639561828523278,high,0.07578470613018749,18988,2.383928714769874,0.07844095546459771,0.03316123476406161,2.365441336026723,16369,5
f_qv_ma7_vs_ma30,lab_pump15,183984,0.030785285677015394,0.07728680906571009,0.024457850970161423,high,0.07728680906571009,18399,2.5105113487192097,0.08027398906447154,0.03403514043892489,2.3585620047174767,16643,5
f_qvsurge_xs_decile,lab_pump15,189872,0.031789837364118986,0.07320412892353065,0.03834000421318728,high,0.07320412892353065,18988,2.3027525458861184,0.0757529476449386,0.03316123476406161,2.2843825986550907,16369,5
f_log_qv,lab_pump15,191408,0.03224525620663713,0.0731414241680163,0.02000940389739303,high,0.0731414241680163,19141,2.2682847889098614,0.07910344296387584,0.03480743922918974,2.272601625273806,12983,5
f_qv_rank,lab_pump15,191408,0.03224525620663713,0.024032182226633926,0.06640196436967766,low,0.06640196436967766,19141,2.059278547646024,0.07476790450928382,0.03290826036957834,2.2720102390584627,12064,5
f_qv_rank_pct,lab_pump15,191408,0.03224525620663713,0.07089493756857008,0.021890183375999163,high,0.07089493756857008,19141,2.1986160418219156,0.07390300230946882,0.033655536573929605,2.1958646283095034,16454,5
f_bb_width,lab_pump15,186544,0.031161549017926067,0.0803001876172608,0.009380863039399626,high,0.0803001876172608,18655,2.5768997417640285,0.0753291303541628,0.03442864094559219,2.1879786214392234,21572,5
f_rv_21d,lab_pump15,188848,0.03161802084215877,0.08594122319301033,0.009637278263171829,high,0.08594122319301033,18885,2.7181088791749484,0.07552551893623557,0.035786903227054204,2.1104234266109887,22787,5
f_rsi_14,lab_pump15,189872,0.031789837364118986,0.06704234253212556,0.03281019591320834,high,0.06704234253212556,18988,2.108923734469805,0.0706618962432916,0.034957204955810256,2.0213828975347425,14534,5
f_atr_pct_14,lab_pump15,189872,0.031789837364118986,0.0811038550663577,0.008005055824731409,high,0.0811038550663577,18988,2.5512510220608795,0.07197666053872592,0.036157717574998256,1.9906306416999937,25022,5
f_range_contraction_7d,lab_pump15,188080,0.03140684814972352,0.021746065504040835,0.058911101658868564,low,0.058911101658868564,18808,1.8757406466903674,0.06444600728853654,0.03295030082755359,1.9558548987402784,15641,5
f_bb_width_pctile_60,lab_pump15,179120,0.03023112996873604,0.06347699866011612,0.015855292541313085,high,0.06347699866011612,17912,2.0997229916897506,0.0637062607876981,0.033397049465608404,1.9075415884658165,19119,5
f_qv_rank_chg_3d,lab_pump15,190640,0.03193978178766261,0.06813890054553084,0.03173520772135963,high,0.06813890054553084,19064,2.1333552307439647,0.06188560288688871,0.03442024574175582,1.7979419249704593,24109,5
f_pos_in_20d_range,lab_pump15,186544,0.031161549017926067,0.05751809166443313,0.026588046100241222,high,0.05751809166443313,18655,1.8458033530793072,0.056812169312169314,0.033811742517047244,1.680249673128372,15120,5
f_drawdown_7d,lab_pump15,189872,0.031789837364118986,0.027122393090372867,0.06546239730356014,low,0.06546239730356014,18988,2.0592240392348526,0.05674474959612278,0.034118944708245044,1.6631449208453999,24760,5
f_dist_from_60d_high,lab_pump15,176304,0.03006171158907342,0.051500198513981056,0.047926946854971356,high,0.051500198513981056,17631,1.713149245058286,0.05376185923365448,0.03406765172940934,1.5780911364443666,13597,5
f_up_streak,lab_pump15,191408,0.03224525620663713,0.04900475419257092,0.01938247740452432,high,0.04900475419257092,19141,1.5197508085696072,0.04710547184773989,0.03390877129975522,1.38918250476625,18915,5
f_dist_from_20d_high,lab_pump15,186544,0.031161549017926067,0.03682658804610024,0.057464486732779416,low,0.057464486732779416,18655,1.844083126282402,0.0476420904451874,0.035999454345574416,1.3234114602918772,22732,5
f_qv_spiked_yday,lab_pump15,191408,0.03224525620663713,0.04566114623060446,0.021785695627187712,high,0.04566114623060446,19141,1.4160577896480133,0.03366545441473395,0.03366545441473395,1.0,166907,5
f_near_20d_high,lab_pump15,191408,0.03224525620663713,0.036675199832819604,0.022151402748027793,high,0.036675199832819604,19141,1.1373828012962306,0.03366545441473395,0.03366545441473395,1.0,166907,5
f_qv_surge_30d,lab_pump20,183984,0.01600682668058092,0.05147018859720637,0.011087559106473178,high,0.05147018859720637,18399,3.215514831534267,0.05488655089364938,0.017328532295901596,3.1674091005751657,15778,5
f_bounce_off_7d_low,lab_pump20,189872,0.016521656695036656,0.05492942911312408,0.0072677480514008845,high,0.05492942911312408,18988,3.3246925612263616,0.05424582284275578,0.018435158246844573,2.9425200541492877,17476,5
