threshold,kind,bin,pred_mean,actual_mean,n,brier
lab_up_3,up,0,0.27043926190372897,0.32382882882882885,22200,0.24170376557913156
lab_up_3,up,1,0.29530609663683133,0.35671171171171173,22200,0.24170376557913156
lab_up_3,up,2,0.3175114357395579,0.3713963963963964,22200,0.24170376557913156
lab_up_3,up,3,0.3311713853453127,0.4041441441441441,22200,0.24170376557913156
lab_up_3,up,4,0.34649781432603055,0.4163963963963964,22200,0.24170376557913156
lab_up_3,up,5,0.3609808333608124,0.42414414414414414,22200,0.24170376557913156
lab_up_3,up,6,0.38606916599219626,0.40306306306306305,22200,0.24170376557913156
lab_up_3,up,7,0.406445973052083,0.4479279279279279,22200,0.24170376557913156
lab_up_3,up,8,0.46123299764104225,0.5042342342342342,22200,0.24170376557913156
lab_up_3,up,9,0.5392980961811055,0.5858108108108108,22200,0.24170376557913156
lab_up_5,up,0,0.12529648397417523,0.15855855855855855,22200,0.18311607802430327
lab_up_5,up,1,0.1458818366547624,0.18923423423423424,22200,0.18311607802430327
lab_up_5,up,2,0.1645603691141901,0.1962162162162162,22200,0.18311607802430327
lab_up_5,up,3,0.17473950982617492,0.20945945945945946,22200,0.18311607802430327
lab_up_5,up,4,0.18808361457951078,0.22837837837837838,22200,0.18311607802430327
lab_up_5,up,5,0.19587519721589797,0.24527027027027026,22200,0.18311607802430327
lab_up_5,up,6,0.21596008176943018,0.23022522522522523,22200,0.18311607802430327
lab_up_5,up,7,0.24103925008404195,0.28495495495495493,22200,0.18311607802430327
lab_up_5,up,8,0.2993600737087347,0.3389189189189189,22200,0.18311607802430327
lab_up_5,up,9,0.38060227150415643,0.4186036036036036,22200,0.18311607802430327
lab_up_7,up,0,0.06425962593680624,0.08725225225225225,22200,0.12933778857446826
lab_up_7,up,1,0.07978881013140318,0.10400900900900902,22200,0.12933778857446826
lab_up_7,up,2,0.09242491082204231,0.11391891891891892,22200,0.12933778857446826
lab_up_7,up,3,0.10161840981342711,0.11995495495495495,22200,0.12933778857446826
lab_up_7,up,4,0.10725652748471465,0.13166666666666665,22200,0.12933778857446826
lab_up_7,up,5,0.11410202748765881,0.15900900900900902,22200,0.12933778857446826
lab_up_7,up,6,0.13055608837603663,0.14306306306306307,22200,0.12933778857446826
lab_up_7,up,7,0.1550430169246153,0.18036036036036035,22200,0.12933778857446826
lab_up_7,up,8,0.20689132402574031,0.235990990990991,22200,0.12933778857446826
lab_up_7,up,9,0.277329398955555,0.3016216216216216,22200,0.12933778857446826
lab_up_10,up,0,0.02821661057490962,0.0404054054054054,22200,0.07465780079711773
lab_up_10,up,1,0.03721915854198287,0.04752252252252252,22200,0.07465780079711773
lab_up_10,up,2,0.041135095392050125,0.05058558558558558,22200,0.07465780079711773
lab_up_10,up,3,0.04462523153218647,0.05855855855855856,22200,0.07465780079711773
lab_up_10,up,4,0.050848387419213804,0.06905405405405406,22200,0.07465780079711773
lab_up_10,up,5,0.05456894976643636,0.07522522522522522,22200,0.07465780079711773
lab_up_10,up,6,0.06399881522621423,0.07391891891891891,22200,0.07465780079711773
lab_up_10,up,7,0.07883385945140765,0.10022522522522523,22200,0.07465780079711773
lab_up_10,up,8,0.121087564286452,0.13166666666666665,22200,0.07465780079711773
lab_up_10,up,9,0.1727779936534011,0.18626126126126127,22200,0.07465780079711773
lab_up_15,up,0,0.011410842323828854,0.01635135135135135,22200,0.03722114061807014
lab_up_15,up,1,0.013872905872134888,0.02117117117117117,22200,0.03722114061807014
lab_up_15,up,2,0.01569858920734618,0.022792792792792792,22200,0.03722114061807014
lab_up_15,up,3,0.016921993357593642,0.02081081081081081,22200,0.03722114061807014
lab_up_15,up,4,0.020742678607700144,0.030315315315315314,22200,0.03722114061807014
lab_up_15,up,5,0.024044863475028252,0.034279279279279276,22200,0.03722114061807014
lab_up_15,up,6,0.027886777259256215,0.032747747747747746,22200,0.03722114061807014
lab_up_15,up,7,0.0365142696951804,0.04635135135135135,22200,0.03722114061807014
lab_up_15,up,8,0.0595853343438884,0.06707207207207207,22200,0.03722114061807014
lab_up_15,up,9,0.0901703039316846,0.1018018018018018,22200,0.03722114061807014
lab_up_20,up,0,0.00527204258726564,0.010855855855855856,22200,0.019757866858895596
lab_up_20,up,1,0.006314010638228672,0.008063063063063062,22200,0.019757866858895596
lab_up_20,up,2,0.007084559055284074,0.009189189189189189,22200,0.019757866858895596
lab_up_20,up,3,0.007985041862027266,0.013648648648648648,22200,0.019757866858895596
lab_up_20,up,4,0.008942546474415294,0.013738738738738739,22200,0.019757866858895596
lab_up_20,up,5,0.010179173100650772,0.013378378378378379,22200,0.019757866858895596
lab_up_20,up,6,0.013324951726173024,0.016846846846846848,22200,0.019757866858895596
lab_up_20,up,7,0.01699910285717345,0.02301801801801802,22200,0.019757866858895596
lab_up_20,up,8,0.03386042327483154,0.0377027027027027,22200,0.019757866858895596
lab_up_20,up,9,0.05433600428817641,0.057432432432432436,22200,0.019757866858895596
lab_up_30,up,0,0.0017281011236050935,0.004369369369369369,22200,0.007328679901390123
lab_up_30,up,1,0.002175118476054788,0.0035135135135135136,22200,0.007328679901390123
lab_up_30,up,2,0.0025131544507874803,0.004054054054054054,22200,0.007328679901390123
lab_up_30,up,3,0.0027637086576110313,0.00454954954954955,22200,0.007328679901390123
