market,rank,score,P_up_3,P_up_5,P_up_7,P_up_10,P_up_15,P_up_20,P_up_30,P_dn_5,P_dn_10,exp_downside,ds_adj_index,net_edge_5,rank_dsadj
KRW-ID,1,0.9779,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-XLM,2,0.968,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-INJ,3,0.9564,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-WLD,4,0.9454,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-POKT,5,0.9364,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-VTHO,6,0.9128,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-ALGO,7,0.9044,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-HBAR,8,0.886,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-XPL,9,0.8818,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-IOTA,10,0.8766,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-BAT,11,0.8613,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-CPOOL,12,0.8571,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-ZK,13,0.854,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-PYTH,14,0.8487,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-AVNT,15,0.8401,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-IN,16,0.8388,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-NXPC,17,0.8277,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-XTZ,18,0.8251,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-JTO,19,0.8146,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-AXS,20,0.8051,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-RENDER,21,0.8015,0.5849975243439511,0.42490509985146063,0.31028222478956924,0.1930186499422347,0.10604060075920119,0.06230401056279914,0.024591516751939265,0.48068988281894703,0.13145733619409145,-0.057824980274403866,0.2934477636573692,-0.0557847829674864,1
KRW-SEI,22,0.7768,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-ARKM,23,0.7421,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-BLAST,24,0.7413,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-ENS,25,0.7311,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-PLUME,26,0.7243,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-G,27,0.7227,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-SONIC,28,0.718,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-VET,29,0.7117,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-AZTEC,30,0.7117,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-CFG,31,0.7085,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-MMT,32,0.7054,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-OPEN,33,0.7043,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-ONDO,34,0.7006,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-FF,35,0.7006,0.46550585905264896,0.2985641194916653,0.2019310117181053,0.11181713153985806,0.05297903944545305,0.0273972602739726,0.01006766793200198,0.3311602574682291,0.05834296088463443,-0.043290137340111376,0.24022115860703086,-0.0325961379765638,22
KRW-TRUMP,36,0.6901,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-CVC,37,0.6807,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-SOPH,38,0.6675,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-AXL,39,0.6565,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-XRP,40,0.6502,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-ETHFI,41,0.6439,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-SAHARA,42,0.6408,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-LINK,43,0.6397,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-GRT,44,0.6345,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-MOVE,45,0.6334,0.4353387802261286,0.26013039531237103,0.16332425517867458,0.08426178096888669,0.038540892960303705,0.018568952711067097,0.006272179582404886,0.2805975076339028,0.04811421969134274,-0.039388996636873286,0.21201617562102829,-0.020467112321531755,36
KRW-PENGU,46,0.6203,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-VIRTUAL,47,0.6192,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-ORCA,48,0.6019,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-NEWT,49,0.5903,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-STX,50,0.5903,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-FIL,51,0.5898,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-ERA,52,0.5819,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-SHIB,53,0.5788,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-APT,54,0.5788,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-DOGE,55,0.5769,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-SAND,56,0.5759,0.40691533256312923,0.228585575177422,0.13880178247235517,0.06692523518732464,0.02970787258623535,0.015431589371183364,0.0056114870440666775,0.24938108598778677,0.04637728998184519,-0.037165877138023024,0.1822082851955768,-0.020795510810364765,46
KRW-DRIFT,57,0.5735,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-KITE,58,0.5735,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-ICP,59,0.5693,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-NEAR,60,0.5672,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-POL,61,0.5638,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-PROVE,62,0.5525,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-BSV,63,0.5488,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-BERA,64,0.5457,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-ADA,65,0.5436,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-AKT,66,0.542,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-ZORA,67,0.541,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-ZKP,68,0.5368,0.4058760419245688,0.22926466947264174,0.1379879508129075,0.07006684822975984,0.03160848394817199,0.015432862919864654,0.004704134686803664,0.25674671948502104,0.05545927209705372,-0.03815432328112987,0.173805397375588,-0.0274820500123793,57
KRW-ATH,69,0.5278,0.3699455355669252,0.19995048687902295,0.11577818121802277,0.056527479782142266,0.020960554546954942,0.00965505859052649,0.0030533091269186333,0.233619409143423,0.05009077405512461,-0.036316246038342555,0.14985971282389834,-0.03366892226440005,69
KRW-BIO,70,0.5226,0.3699455355669252,0.19995048687902295,0.11577818121802277,0.056527479782142266,0.020960554546954942,0.00965505859052649,0.0030533091269186333,0.233619409143423,0.05009077405512461,-0.036316246038342555,0.14985971282389834,-0.03366892226440005,69
KRW-PENDLE,71,0.5215,0.3699455355669252,0.19995048687902295,0.11577818121802277,0.056527479782142266,0.020960554546954942,0.00965505859052649,0.0030533091269186333,0.233619409143423,0.05009077405512461,-0.036316246038342555,0.14985971282389834,-0.03366892226440005,69
KRW-BARD,72,0.5192,0.3699455355669252,0.19995048687902295,0.11577818121802277,0.056527479782142266,0.020960554546954942,0.00965505859052649,0.0030533091269186333,0.233619409143423,0.05009077405512461,-0.036316246038342555,0.14985971282389834,-0.03366892226440005,69
KRW-ENA,73,0.5184,0.3699455355669252,0.19995048687902295,0.11577818121802277,0.056527479782142266,0.020960554546954942,0.00965505859052649,0.0030533091269186333,0.233619409143423,0.05009077405512461,-0.036316246038342555,0.14985971282389834,-0.03366892226440005,69
KRW-TRX,74,0.4869,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-UNI,75,0.4853,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-BCH,76,0.4842,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-MON,77,0.4816,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-CHZ,78,0.468,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-SOL,79,0.4674,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-FLOCK,80,0.4659,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-AAVE,81,0.4638,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-PEPE,82,0.4622,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-ETC,83,0.4611,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-ARB,84,0.4564,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-AVAX,85,0.4548,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-ENSO,86,0.4496,0.36449909225944876,0.19425647796666118,0.11148704406667767,0.04984320845023931,0.020795510810364747,0.009407492985641195,0.003961049678164714,0.21381416075259943,0.04480937448423832,-0.03455097973683938,0.14944710348242285,-0.019557682785938252,74
KRW-LAYER,87,0.4464,0.3478583807873236,0.17941734752826607,0.10118016010563671,0.04786663365519518,0.019229182140793926,0.007922753156721961,0.0030535611124865893,0.19674837005859536,0.03433193034579517,-0.032779075665699285,0.14508541718247092,-0.017331022530329282,87
KRW-BONK,88,0.4328,0.3478583807873236,0.17941734752826607,0.10118016010563671,0.04786663365519518,0.019229182140793926,0.007922753156721961,0.0030535611124865893,0.19674837005859536,0.03433193034579517,-0.032779075665699285,0.14508541718247092,-0.017331022530329282,87
KRW-ETH,89,0.4259,0.3478583807873236,0.17941734752826607,0.10118016010563671,0.04786663365519518,0.019229182140793926,0.007922753156721961,0.0030535611124865893,0.19674837005859536,0.03433193034579517,-0.032779075665699285,0.14508541718247092,-0.017331022530329282,87
KRW-SIGN,90,0.417,0.3478583807873236,0.17941734752826607,0.10118016010563671,0.04786663365519518,0.019229182140793926,0.007922753156721961,0.0030535611124865893,0.19674837005859536,0.03433193034579517,-0.032779075665699285,0.14508541718247092,-0.017331022530329282,87
KRW-TAO,91,0.4162,0.3478583807873236,0.17941734752826607,0.10118016010563671,0.04786663365519518,0.019229182140793926,0.007922753156721961,0.0030535611124865893,0.19674837005859536,0.03433193034579517,-0.032779075665699285,0.14508541718247092,-0.017331022530329282,87
